experiment,layer,level,cosine_similarity
row_shuffle,early,0,0.9997467398643494
row_shuffle,early,20,0.9988199472427368
row_shuffle,early,40,0.9994764924049377
row_shuffle,early,60,0.9988791942596436
row_shuffle,early,80,0.9994863867759705
row_shuffle,early,100,0.9997910261154175
row_shuffle,early,120,0.9998453259468079
row_shuffle,early,140,0.9993887543678284
row_shuffle,early,160,0.9997923970222473
row_shuffle,early,180,0.999789297580719
row_shuffle,early,200,0.9994906187057495
row_shuffle,early,220,0.9993299245834351
row_shuffle,early,240,0.9995734095573425
row_shuffle,early,260,0.9995563626289368
row_shuffle,early,280,0.9997637867927551
row_shuffle,early,300,0.999703586101532
row_shuffle,early,320,0.9996264576911926
row_shuffle,early,340,0.9993534684181213
row_shuffle,early,360,0.9998039603233337
row_shuffle,early,381,0.9991657733917236
col_shuffle,early,0,0.9998615384101868
col_shuffle,early,1,0.9994628429412842
col_shuffle,early,3,0.9997410774230957
col_shuffle,early,4,0.9996598958969116
col_shuffle,early,6,0.9998027682304382
col_shuffle,early,7,0.9995998740196228
col_shuffle,early,9,0.9998931884765625
col_shuffle,early,11,0.9997692704200745
col_shuffle,early,12,0.9995781779289246
col_shuffle,early,14,0.9994648098945618
col_shuffle,early,15,0.9995577931404114
col_shuffle,early,17,0.999518871307373
col_shuffle,early,18,0.9997971653938293
col_shuffle,early,20,0.9998271465301514
col_shuffle,early,22,0.9995740652084351
col_shuffle,early,23,0.9987661242485046
col_shuffle,early,25,0.9995938539505005
col_shuffle,early,26,0.9996554851531982
col_shuffle,early,28,0.9995039105415344
col_shuffle,early,30,0.9995039105415344
random_labels,early,0,0.9996820092201233
random_labels,early,20,0.999028205871582
random_labels,early,40,0.9979449510574341
random_labels,early,60,0.995714545249939
random_labels,early,80,0.9958370327949524
random_labels,early,100,0.9919799566268921
random_labels,early,120,0.9937060475349426
random_labels,early,140,0.9905956983566284
random_labels,early,160,0.9893990159034729
random_labels,early,180,0.9870944619178772
random_labels,early,200,0.9804198741912842
random_labels,early,220,0.9792734384536743
random_labels,early,240,0.9764370322227478
random_labels,early,260,0.9755136966705322
random_labels,early,280,0.9721285104751587
random_labels,early,300,0.9638176560401917
random_labels,early,320,0.9595416188240051
random_labels,early,340,0.9515739679336548
random_labels,early,360,0.9462852478027344
random_labels,early,381,0.9402981996536255
col_remove,early,0,0.9997551441192627
col_remove,early,1,0.9997803568840027
col_remove,early,3,0.9997282028198242
col_remove,early,4,0.99896240234375
col_remove,early,6,0.9996017813682556
col_remove,early,7,0.9994989633560181
col_remove,early,9,0.9986172914505005
col_remove,early,10,0.9993622303009033
col_remove,early,12,0.9994109869003296
col_remove,early,13,0.9984421133995056
col_remove,early,15,0.9980509281158447
col_remove,early,16,0.9974607229232788
col_remove,early,18,0.9970066547393799
col_remove,early,19,0.9973716139793396
col_remove,early,21,0.9961825609207153
col_remove,early,22,0.994959831237793
col_remove,early,24,0.9947749972343445
col_remove,early,25,0.9882737994194031
col_remove,early,27,0.9899365305900574
col_remove,early,29,0.9664025902748108
row_remove,early,0,0.9996991157531738
row_remove,early,19,0.9996702075004578
row_remove,early,39,0.9996519684791565
row_remove,early,59,0.9994780421257019
row_remove,early,79,0.9991933703422546
row_remove,early,99,0.9993476271629333
row_remove,early,119,0.999678909778595
row_remove,early,139,0.9992316961288452
row_remove,early,159,0.9994344711303711
row_remove,early,179,0.9991512894630432
row_remove,early,199,0.9994670748710632
row_remove,early,219,0.9994031190872192
row_remove,early,239,0.9993000626564026
row_remove,early,259,0.9988887310028076
row_remove,early,279,0.9987047910690308
row_remove,early,299,0.9982762336730957
row_remove,early,319,0.9966457486152649
row_remove,early,339,0.9962064027786255
row_remove,early,359,0.9893693327903748
row_remove,early,379,0.9509026408195496
value_noise,early,0,0.9985498189926147
value_noise,early,601,0.9992886185646057
value_noise,early,1203,0.9978165030479431
value_noise,early,1804,0.9968279600143433
value_noise,early,2406,0.9965804815292358
value_noise,early,3007,0.9962377548217773
value_noise,early,3609,0.995127260684967
value_noise,early,4211,0.9941505193710327
value_noise,early,4812,0.9928877949714661
value_noise,early,5414,0.9921891093254089
value_noise,early,6015,0.9914705157279968
value_noise,early,6617,0.9863143563270569
value_noise,early,7218,0.9838259220123291
value_noise,early,7820,0.9820398092269897
value_noise,early,8422,0.9803646802902222
value_noise,early,9023,0.9789760112762451
value_noise,early,9625,0.9681282043457031
value_noise,early,10226,0.9594390392303467
value_noise,early,10828,0.953745424747467
value_noise,early,11430,0.9421360492706299
alt_target,early,0,0.9121989607810974
alt_target,early,1,0.9313850402832031
alt_target,early,2,0.911645770072937
alt_target,early,3,0.9119079113006592
alt_target,early,4,0.9344756603240967
alt_target,early,5,0.9137786030769348
alt_target,early,6,0.9101154208183289
alt_target,early,7,0.909431517124176
alt_target,early,8,0.932192862033844
alt_target,early,9,0.958356499671936
alt_target,early,10,0.9215021133422852
alt_target,early,11,0.9542187452316284
alt_target,early,12,0.9203320145606995
alt_target,early,13,0.9181002378463745
alt_target,early,14,0.9664246439933777
alt_target,early,15,0.9268094301223755
alt_target,early,16,0.9204697012901306
alt_target,early,17,0.9242380261421204
alt_target,early,18,0.9614892601966858
alt_target,early,19,0.9363411664962769
alt_target,early,20,0.9085053205490112
alt_target,early,21,0.9315511584281921
alt_target,early,22,0.9063826203346252
alt_target,early,23,0.9068199396133423
alt_target,early,24,0.9359275102615356
alt_target,early,25,0.9180701971054077
alt_target,early,26,0.9128362536430359
alt_target,early,27,0.9087997674942017
alt_target,early,28,0.9350902438163757
alt_target,early,29,0.9355608224868774
row_shuffle,middle,0,0.9952511787414551
row_shuffle,middle,20,0.9941471219062805
row_shuffle,middle,40,0.9937354326248169
row_shuffle,middle,60,0.9922630786895752
row_shuffle,middle,80,0.987547755241394
row_shuffle,middle,100,0.9867625832557678
row_shuffle,middle,120,0.9907760620117188
row_shuffle,middle,140,0.9886440634727478
row_shuffle,middle,160,0.9889196753501892
row_shuffle,middle,180,0.993517279624939
row_shuffle,middle,200,0.9951180219650269
row_shuffle,middle,220,0.9917108416557312
row_shuffle,middle,240,0.9960829615592957
row_shuffle,middle,260,0.9888631105422974
row_shuffle,middle,280,0.9869561791419983
row_shuffle,middle,300,0.9917945265769958
row_shuffle,middle,320,0.9935427904129028
row_shuffle,middle,340,0.9902616739273071
row_shuffle,middle,360,0.9968578219413757
row_shuffle,middle,381,0.9882049560546875
col_shuffle,middle,0,0.9877806305885315
col_shuffle,middle,1,0.9946019649505615
col_shuffle,middle,3,0.9884033203125
col_shuffle,middle,4,0.9903496503829956
col_shuffle,middle,6,0.994644820690155
col_shuffle,middle,7,0.9924921989440918
col_shuffle,middle,9,0.9955994486808777
col_shuffle,middle,11,0.9931707382202148
col_shuffle,middle,12,0.9891253709793091
col_shuffle,middle,14,0.9931236505508423
col_shuffle,middle,15,0.9889331459999084
col_shuffle,middle,17,0.9938473701477051
col_shuffle,middle,18,0.9912383556365967
col_shuffle,middle,20,0.9852705597877502
