experiment,layer,level,value
row_shuffle,early,0,2.095926588272457
row_shuffle,early,20,2.0713164672709583
row_shuffle,early,40,1.871469698091376
row_shuffle,early,60,1.7756442238800627
row_shuffle,early,80,1.9419898818888468
row_shuffle,early,100,2.008121265837599
row_shuffle,early,120,2.078065173580863
row_shuffle,early,140,1.8620635297893489
row_shuffle,early,160,1.8836076860668372
row_shuffle,early,180,1.9934772763156205
row_shuffle,early,200,1.9264513565643218
row_shuffle,early,220,1.7828287739448851
row_shuffle,early,240,1.9234882534309126
row_shuffle,early,260,1.9679729705500155
row_shuffle,early,280,2.0342948640529412
row_shuffle,early,300,1.820149782744159
row_shuffle,early,320,1.7299724781044272
row_shuffle,early,340,2.0212140175173094
row_shuffle,early,360,1.9707478685785471
row_shuffle,early,381,1.5920482545024595
col_shuffle,early,0,2.015615743575746
col_shuffle,early,1,2.044666034781354
col_shuffle,early,3,1.8600406542814782
col_shuffle,early,4,2.171188315947279
col_shuffle,early,6,2.089463194657978
col_shuffle,early,7,1.9773829767050575
col_shuffle,early,9,1.9168165259244883
col_shuffle,early,11,2.009533227659545
col_shuffle,early,12,1.891841270592054
col_shuffle,early,14,1.82726923492739
col_shuffle,early,15,2.2315666150089464
col_shuffle,early,17,1.9007480794445066
col_shuffle,early,18,1.9926674388380827
col_shuffle,early,20,1.9629953948766319
col_shuffle,early,22,2.0665843922170977
col_shuffle,early,23,2.0070717473766058
col_shuffle,early,25,2.070849816207403
col_shuffle,early,26,1.763671507514987
col_shuffle,early,28,2.0216290205979304
col_shuffle,early,30,1.9866250659996507
random_labels,early,0,1.6556963812463315
random_labels,early,20,1.7686581487058928
random_labels,early,40,1.531247641392193
random_labels,early,60,1.5598377477447414
random_labels,early,80,1.336429119533583
random_labels,early,100,1.3583393901920235
random_labels,early,120,1.4375491601253554
random_labels,early,140,1.284132121356027
random_labels,early,160,1.0889907918635071
random_labels,early,180,1.056656661431386
random_labels,early,200,0.8661443673024924
random_labels,early,220,0.9448074118863898
random_labels,early,240,0.9581364650658302
random_labels,early,260,0.952567681320702
random_labels,early,280,0.6742887339724986
random_labels,early,300,0.7237932532615954
random_labels,early,320,0.713139299455196
random_labels,early,340,0.5037625722006216
random_labels,early,360,0.3409452052943339
random_labels,early,381,0.3396317296755659
col_remove,early,0,1.6543889276854076
col_remove,early,1,1.6756703892544902
col_remove,early,3,1.8034218382498386
col_remove,early,4,1.746518774123147
col_remove,early,6,1.8147885355833084
col_remove,early,7,1.9280687497830986
col_remove,early,9,1.3952170997911169
col_remove,early,10,1.6140112267163247
col_remove,early,12,1.5981953761411396
col_remove,early,13,1.2562256568371737
col_remove,early,15,1.3051851265654857
col_remove,early,16,1.2101793817052056
col_remove,early,18,1.08850927105942
col_remove,early,19,1.326912429365933
col_remove,early,21,1.1282211850048538
col_remove,early,22,0.816066542045426
col_remove,early,24,0.981247585383163
col_remove,early,25,0.6400227734499786
col_remove,early,27,0.9425866134497305
col_remove,early,29,0.6401665256185118
row_remove,early,0,2.2600592010383864
row_remove,early,19,2.485598896494249
row_remove,early,39,2.0347014880251573
row_remove,early,59,2.131077969399814
row_remove,early,79,1.9761927732167222
row_remove,early,99,1.9367487859353396
row_remove,early,119,2.118427954756855
row_remove,early,139,1.7907981212253066
row_remove,early,159,2.015177023604606
row_remove,early,179,1.7744530609868236
row_remove,early,199,1.8481938382684469
row_remove,early,219,1.9586583547285479
row_remove,early,239,1.6143293533426124
row_remove,early,259,1.5621210417207463
row_remove,early,279,1.6148223998574358
row_remove,early,299,1.49843175326334
row_remove,early,319,1.3819673378873047
row_remove,early,339,1.2820241901899871
row_remove,early,359,0.8670025080104873
row_remove,early,379,0.35122431814982236
value_noise,early,0,1.7937221748652528
value_noise,early,601,1.6964526364216441
value_noise,early,1203,1.6872195242599342
value_noise,early,1804,1.5713449685020304
value_noise,early,2406,1.5274142845452956
value_noise,early,3007,1.493470737083315
value_noise,early,3609,1.433398854826395
value_noise,early,4211,1.3961884091175107
value_noise,early,4812,1.2865290347066545
value_noise,early,5414,1.287578119841288
value_noise,early,6015,1.2009716155102494
value_noise,early,6617,1.097078796616419
value_noise,early,7218,1.207427770574058
value_noise,early,7820,1.095679506618469
value_noise,early,8422,1.056911709478628
value_noise,early,9023,1.0528359800006655
value_noise,early,9625,0.9128737572759962
value_noise,early,10226,0.8645629792861006
value_noise,early,10828,0.6012048150137825
value_noise,early,11430,0.4541147919566255
alt_target,early,0,0.555918528900894
alt_target,early,1,0.37043474090385625
alt_target,early,2,0.6032599684470787
alt_target,early,3,0.5440571113083889
alt_target,early,4,0.2891829721720747
alt_target,early,5,0.4629585040029195
alt_target,early,6,0.6185737431199414
alt_target,early,7,0.6977672989090562
alt_target,early,8,0.3433992986084302
alt_target,early,9,0.18178062924505045
alt_target,early,10,0.4694355098653779
alt_target,early,11,0.21031756542756935
alt_target,early,12,0.511058941722325
alt_target,early,13,0.5405796286765167
alt_target,early,14,0.2500733473816098
alt_target,early,15,0.35507837169977785
alt_target,early,16,0.462624544867237
alt_target,early,17,0.45446967057349796
alt_target,early,18,0.28047948576771
alt_target,early,19,0.2735029070704271
alt_target,early,20,0.6393446976994254
alt_target,early,21,0.38682164078976233
alt_target,early,22,0.6584229551067722
alt_target,early,23,0.6459388366177841
alt_target,early,24,0.3042159343151457
alt_target,early,25,0.4640430839664721
alt_target,early,26,0.6239222443166549
alt_target,early,27,0.6940461012323423
alt_target,early,28,0.3773836820501437
alt_target,early,29,0.2782194116147235
row_shuffle,middle,0,0.9129138455094155
row_shuffle,middle,20,1.1091387950359888
row_shuffle,middle,40,1.0524987755616937
row_shuffle,middle,60,0.9978541844712683
row_shuffle,middle,80,1.0490289584670074
row_shuffle,middle,100,1.2096072345756854
row_shuffle,middle,120,1.4067869365728733
row_shuffle,middle,140,0.9963086357790234
row_shuffle,middle,160,1.0430608870260212
row_shuffle,middle,180,1.119318470107283
row_shuffle,middle,200,1.022062845621278
row_shuffle,middle,220,0.8873463386437619
row_shuffle,middle,240,0.8627912107457376
row_shuffle,middle,260,0.999557671413956
row_shuffle,middle,280,1.0522846103530608
row_shuffle,middle,300,0.9560929613256477
row_shuffle,middle,320,0.9678102345078679
row_shuffle,middle,340,1.019901766218052
row_shuffle,middle,360,1.0931525721837594
row_shuffle,middle,381,0.8782806293665768
col_shuffle,middle,0,0.8482154542070343
col_shuffle,middle,1,1.32780528907828
col_shuffle,middle,3,0.8483991150413864
col_shuffle,middle,4,0.9599869345297251
col_shuffle,middle,6,1.4207667198201002
col_shuffle,middle,7,1.014043600468785
col_shuffle,middle,9,1.166981179726908
col_shuffle,middle,11,1.0012789178421642
col_shuffle,middle,12,1.166894577463203
col_shuffle,middle,14,0.8969400626280752
col_shuffle,middle,15,1.4289272974060006
col_shuffle,middle,17,0.916165411975669
col_shuffle,middle,18,1.2477698468039229
col_shuffle,middle,20,1.2566932019855757
col_shuffle,middle,22,1.0480857388286027
col_shuffle,middle,23,1.1233858989888177
col_shuffle,middle,25,0.9169268807683939
col_shuffle,middle,26,0.9851370857277515
col_shuffle,middle,28,1.054233104296106
col_shuffle,middle,30,1.2202850595222428
random_labels,middle,0,1.0502483611791127
random_labels,middle,20,0.9445243176936782
random_labels,middle,40,1.0304226957368188
random_labels,middle,60,0.7265797124408181
random_labels,middle,80,0.7258117408228517
random_labels,middle,100,0.6766565766311873
random_labels,middle,120,0.6547329762327387
random_labels,middle,140,0.6317810860729254
random_labels,middle,160,0.6699253938642646
random_labels,middle,180,0.7644814221758804
random_labels,middle,200,0.7118699577052042
random_labels,middle,220,0.6274210185859581
random_labels,middle,240,0.5549578700801814
random_labels,middle,260,0.5407140243101214
