experiment,layer,level,cosine_similarity
row_shuffle,early,0,0.9992331266403198
row_shuffle,early,63,0.9993979930877686
row_shuffle,early,126,0.9995639324188232
row_shuffle,early,189,0.9991486668586731
row_shuffle,early,253,0.9992927312850952
row_shuffle,early,316,0.9993277788162231
row_shuffle,early,379,0.9991284608840942
row_shuffle,early,443,0.999357283115387
row_shuffle,early,506,0.9992614388465881
row_shuffle,early,569,0.999346911907196
row_shuffle,early,633,0.9992632865905762
row_shuffle,early,696,0.9992807507514954
row_shuffle,early,759,0.9994675517082214
row_shuffle,early,823,0.9994211196899414
row_shuffle,early,886,0.9990353584289551
row_shuffle,early,949,0.9992460012435913
row_shuffle,early,1013,0.9990832209587097
row_shuffle,early,1076,0.9994600415229797
row_shuffle,early,1139,0.9995762705802917
row_shuffle,early,1203,0.9992327690124512
col_shuffle,early,0,0.9988762140274048
col_shuffle,early,3,0.9986779689788818
col_shuffle,early,6,0.9991092085838318
col_shuffle,early,10,0.9993941783905029
col_shuffle,early,13,0.998770534992218
col_shuffle,early,16,0.9994623064994812
col_shuffle,early,20,0.9993357062339783
col_shuffle,early,23,0.9991574287414551
col_shuffle,early,26,0.999005138874054
col_shuffle,early,30,0.9990041255950928
col_shuffle,early,33,0.9991385340690613
col_shuffle,early,37,0.9994244575500488
col_shuffle,early,40,0.9993571639060974
col_shuffle,early,43,0.9992959499359131
col_shuffle,early,47,0.9993715882301331
col_shuffle,early,50,0.9995177984237671
col_shuffle,early,53,0.9989151358604431
col_shuffle,early,57,0.9991849660873413
col_shuffle,early,60,0.9992831945419312
col_shuffle,early,64,0.9993395209312439
random_labels,early,0,0.9992150664329529
random_labels,early,63,0.9995005130767822
random_labels,early,126,0.9988017082214355
random_labels,early,189,0.9988474249839783
random_labels,early,253,0.9982535243034363
random_labels,early,316,0.9973276257514954
random_labels,early,379,0.9966930150985718
random_labels,early,443,0.9963834881782532
random_labels,early,506,0.9954466223716736
random_labels,early,569,0.9940405488014221
random_labels,early,633,0.991150438785553
random_labels,early,696,0.9907183647155762
random_labels,early,759,0.988928496837616
random_labels,early,823,0.9867832064628601
random_labels,early,886,0.9829245209693909
random_labels,early,949,0.982979416847229
random_labels,early,1013,0.9805207252502441
random_labels,early,1076,0.9803277850151062
random_labels,early,1139,0.9800612330436707
random_labels,early,1203,0.9787849187850952
col_remove,early,0,0.9990057349205017
col_remove,early,3,0.9993010759353638
col_remove,early,6,0.9989741444587708
col_remove,early,9,0.9990008473396301
col_remove,early,13,0.9986150860786438
col_remove,early,16,0.9981736540794373
col_remove,early,19,0.9986574053764343
col_remove,early,23,0.9982184767723083
col_remove,early,26,0.9973533749580383
col_remove,early,29,0.9973750710487366
col_remove,early,33,0.9971500635147095
col_remove,early,36,0.9961662888526917
col_remove,early,39,0.9946568608283997
col_remove,early,43,0.9940981864929199
col_remove,early,46,0.9952740669250488
col_remove,early,49,0.9942756295204163
col_remove,early,53,0.9914197325706482
col_remove,early,56,0.9745423793792725
col_remove,early,59,0.9825649261474609
col_remove,early,63,0.9418479800224304
row_remove,early,0,0.9994177222251892
row_remove,early,63,0.99908447265625
row_remove,early,126,0.9995875358581543
row_remove,early,189,0.9991520643234253
row_remove,early,252,0.9992557764053345
row_remove,early,316,0.9986311197280884
row_remove,early,379,0.9989320039749146
row_remove,early,442,0.9988183379173279
row_remove,early,505,0.99895179271698
row_remove,early,568,0.9990719556808472
row_remove,early,632,0.9989485144615173
row_remove,early,695,0.9981864094734192
row_remove,early,758,0.9989058971405029
row_remove,early,821,0.9983338713645935
row_remove,early,884,0.9983714818954468
row_remove,early,948,0.9982897639274597
row_remove,early,1011,0.9983102083206177
row_remove,early,1074,0.997330904006958
row_remove,early,1137,0.9948438405990601
row_remove,early,1201,0.6475298404693604
value_noise,early,0,0.9991616606712341
value_noise,early,4052,0.9966964721679688
value_noise,early,8104,0.9964296221733093
value_noise,early,12156,0.9953042268753052
value_noise,early,16208,0.9944455027580261
value_noise,early,20261,0.9930790662765503
value_noise,early,24313,0.9919819831848145
value_noise,early,28365,0.9907888174057007
value_noise,early,32417,0.990110456943512
value_noise,early,36469,0.9883506894111633
value_noise,early,40522,0.9872806668281555
value_noise,early,44574,0.9862226843833923
value_noise,early,48626,0.9843661785125732
value_noise,early,52678,0.9809376001358032
value_noise,early,56730,0.9781535267829895
value_noise,early,60783,0.9736857414245605
value_noise,early,64835,0.9726592302322388
value_noise,early,68887,0.968756377696991
value_noise,early,72939,0.9665199518203735
value_noise,early,76992,0.965336263179779
alt_target,early,0,0.5443301200866699
alt_target,early,1,0.6406733989715576
alt_target,early,2,0.6429904699325562
alt_target,early,3,0.6408849358558655
alt_target,early,4,0.6421851515769958
alt_target,early,5,0.6447773575782776
alt_target,early,6,0.6466996669769287
alt_target,early,7,0.6320286989212036
alt_target,early,8,0.6196582913398743
alt_target,early,9,0.6412999629974365
alt_target,early,10,0.6403588652610779
alt_target,early,11,0.6505647301673889
alt_target,early,12,0.6482780575752258
alt_target,early,13,0.6424343585968018
alt_target,early,14,0.6471349000930786
alt_target,early,15,0.6338526606559753
alt_target,early,16,0.6181471347808838
alt_target,early,17,0.6397247314453125
alt_target,early,18,0.6415976285934448
alt_target,early,19,0.6515697240829468
alt_target,early,20,0.6498385071754456
alt_target,early,21,0.6425645351409912
alt_target,early,22,0.6433644890785217
alt_target,early,23,0.6310526728630066
alt_target,early,24,0.6101928353309631
alt_target,early,25,0.6438935399055481
alt_target,early,26,0.6444150805473328
alt_target,early,27,0.6485995650291443
alt_target,early,28,0.6487669348716736
alt_target,early,29,0.6433380842208862
alt_target,early,30,0.6444970965385437
alt_target,early,31,0.6101195216178894
alt_target,early,32,0.544487476348877
alt_target,early,33,0.6485519409179688
alt_target,early,34,0.6494410634040833
alt_target,early,35,0.6532893776893616
alt_target,early,36,0.6532185077667236
alt_target,early,37,0.6420749425888062
alt_target,early,38,0.6426138877868652
alt_target,early,39,0.5464867949485779
alt_target,early,40,0.6267086267471313
alt_target,early,41,0.6468409895896912
alt_target,early,42,0.6485848426818848
alt_target,early,43,0.655224621295929
alt_target,early,44,0.6561134457588196
alt_target,early,45,0.641525387763977
alt_target,early,46,0.6415139436721802
alt_target,early,47,0.6329607963562012
alt_target,early,48,0.6173110008239746
alt_target,early,49,0.6401799321174622
alt_target,early,50,0.643025279045105
alt_target,early,51,0.6496636867523193
alt_target,early,52,0.649318277835846
alt_target,early,53,0.6402509212493896
alt_target,early,54,0.6433189511299133
alt_target,early,55,0.6383857727050781
alt_target,early,56,0.5984361171722412
alt_target,early,57,0.6389370560646057
alt_target,early,58,0.6412290930747986
alt_target,early,59,0.6393131613731384
alt_target,early,60,0.642042338848114
alt_target,early,61,0.6468651294708252
alt_target,early,62,0.64570152759552
alt_target,early,63,0.6390196681022644
row_shuffle,middle,0,0.9965266585350037
row_shuffle,middle,63,0.9918687343597412
row_shuffle,middle,126,0.992999255657196
row_shuffle,middle,189,0.9936299324035645
row_shuffle,middle,253,0.9945082664489746
row_shuffle,middle,316,0.9899368286132812
row_shuffle,middle,379,0.9918124675750732
row_shuffle,middle,443,0.9915481805801392
row_shuffle,middle,506,0.9936632513999939
row_shuffle,middle,569,0.9912288188934326
row_shuffle,middle,633,0.9917780160903931
row_shuffle,middle,696,0.9935861825942993
row_shuffle,middle,759,0.9956234693527222
row_shuffle,middle,823,0.9951736927032471
row_shuffle,middle,886,0.9942946434020996
row_shuffle,middle,949,0.9922927021980286
row_shuffle,middle,1013,0.9912522435188293
row_shuffle,middle,1076,0.9946218132972717
row_shuffle,middle,1139,0.994708240032196
row_shuffle,middle,1203,0.9919379353523254
col_shuffle,middle,0,0.9963659644126892
col_shuffle,middle,3,0.994482159614563
col_shuffle,middle,6,0.9942647218704224
col_shuffle,middle,10,0.9952511787414551
col_shuffle,middle,13,0.9961254000663757
col_shuffle,middle,16,0.9933484196662903
col_shuffle,middle,20,0.9956126809120178
col_shuffle,middle,23,0.9947214126586914
col_shuffle,middle,26,0.9964155554771423
col_shuffle,middle,30,0.9964540004730225
col_shuffle,middle,33,0.9948955774307251
col_shuffle,middle,37,0.9939759969711304
col_shuffle,middle,40,0.9968366622924805
col_shuffle,middle,43,0.9944669604301453
col_shuffle,middle,47,0.9947215914726257
col_shuffle,middle,50,0.9952528476715088
col_shuffle,middle,53,0.9959051012992859
col_shuffle,middle,57,0.9956434965133667
col_shuffle,middle,60,0.9958694577217102
col_shuffle,middle,64,0.9976426362991333
random_labels,middle,0,0.9909539818763733
random_labels,middle,63,0.9940769076347351
random_labels,middle,126,0.9839873909950256
random_labels,middle,189,0.9851769804954529
random_labels,middle,253,0.9784302115440369
random_labels,middle,316,0.9731603264808655
random_labels,middle,379,0.9700167179107666
random_labels,middle,443,0.9664673209190369
random_labels,middle,506,0.963348925113678
random_labels,middle,569,0.9560593962669373
random_labels,middle,633,0.9522784948348999
random_labels,middle,696,0.9484976530075073
random_labels,middle,759,0.9389689564704895
random_labels,middle,823,0.9324916005134583
random_labels,middle,886,0.9230709671974182
random_labels,middle,949,0.9221494793891907
random_labels,middle,1013,0.9117555022239685
random_labels,middle,1076,0.9074296951293945
random_labels,middle,1139,0.9045518040657043
random_labels,middle,1203,0.9017393589019775
col_remove,middle,0,0.9930781722068787
col_remove,middle,3,0.9945847392082214
col_remove,middle,6,0.9932041168212891
col_remove,middle,9,0.9956067204475403
col_remove,middle,13,0.9926069378852844
col_remove,middle,16,0.9907741546630859
col_remove,middle,19,0.9916732311248779
col_remove,middle,23,0.9920246601104736
col_remove,middle,26,0.9859257340431213
col_remove,middle,29,0.9872322678565979
col_remove,middle,33,0.975731611251831
col_remove,middle,36,0.9769700169563293
col_remove,middle,39,0.9716806411743164
col_remove,middle,43,0.9703539609909058
col_remove,middle,46,0.9753448963165283
col_remove,middle,49,0.9577880501747131
col_remove,middle,53,0.9509713053703308
col_remove,middle,56,0.9149611592292786
col_remove,middle,59,0.9260348677635193
col_remove,middle,63,0.8256278038024902
row_remove,middle,0,0.9939423203468323
row_remove,middle,63,0.9943519830703735
row_remove,middle,126,0.9942293167114258
row_remove,middle,189,0.9975833296775818
row_remove,middle,252,0.9950910806655884
row_remove,middle,316,0.9966548681259155
row_remove,middle,379,0.9963043928146362
row_remove,middle,442,0.9964132905006409
row_remove,middle,505,0.9951286911964417
row_remove,middle,568,0.9938080906867981
row_remove,middle,632,0.9923784136772156
row_remove,middle,695,0.9916167855262756
row_remove,middle,758,0.994996964931488
row_remove,middle,821,0.9906119704246521
row_remove,middle,884,0.9898969531059265
row_remove,middle,948,0.9918966889381409
row_remove,middle,1011,0.9893140196800232
row_remove,middle,1074,0.9860467910766602
row_remove,middle,1137,0.9754281044006348
row_remove,middle,1201,0.4722737967967987
value_noise,middle,0,0.9944450855255127
value_noise,middle,4052,0.9896513819694519
value_noise,middle,8104,0.9863376021385193
value_noise,middle,12156,0.9845449328422546
value_noise,middle,16208,0.9822891354560852
value_noise,middle,20261,0.981719434261322
value_noise,middle,24313,0.9792616367340088
value_noise,middle,28365,0.9778310060501099
value_noise,middle,32417,0.9718502759933472
value_noise,middle,36469,0.9684674143791199
value_noise,middle,40522,0.9645701050758362
