experiment,layer,level,cosine_similarity
row_shuffle,early,0,0.9982439279556274
row_shuffle,early,6,0.998507559299469
row_shuffle,early,12,0.9983201622962952
row_shuffle,early,18,0.9983987212181091
row_shuffle,early,25,0.9988228678703308
row_shuffle,early,31,0.9986789226531982
row_shuffle,early,37,0.9981724619865417
row_shuffle,early,43,0.9997451901435852
row_shuffle,early,50,0.9978804588317871
row_shuffle,early,56,0.9987605214118958
row_shuffle,early,62,0.9986467361450195
row_shuffle,early,68,0.9992585182189941
row_shuffle,early,75,0.9985727667808533
row_shuffle,early,81,0.9984593987464905
row_shuffle,early,87,0.9989373087882996
row_shuffle,early,93,0.99889075756073
row_shuffle,early,100,0.9987823963165283
row_shuffle,early,106,0.9991655945777893
row_shuffle,early,112,0.9989662170410156
row_shuffle,early,119,0.9985479712486267
col_shuffle,early,0,0.9979120492935181
col_shuffle,early,0,0.9993581771850586
col_shuffle,early,1,0.9988995790481567
col_shuffle,early,2,0.998379647731781
col_shuffle,early,2,0.9980100393295288
col_shuffle,early,3,0.9996764063835144
col_shuffle,early,4,0.9986587166786194
col_shuffle,early,4,0.9978340268135071
col_shuffle,early,5,0.9982448220252991
col_shuffle,early,6,0.9985218644142151
col_shuffle,early,6,0.9979758858680725
col_shuffle,early,7,0.9978393912315369
col_shuffle,early,8,0.9983186721801758
col_shuffle,early,8,0.9990325570106506
col_shuffle,early,9,0.9993470907211304
col_shuffle,early,10,0.9989911913871765
col_shuffle,early,10,0.9978158473968506
col_shuffle,early,11,0.9980776309967041
col_shuffle,early,12,0.9983457922935486
col_shuffle,early,13,0.9995509386062622
random_labels,early,0,0.9993197917938232
random_labels,early,6,0.9992225766181946
random_labels,early,12,0.9977899789810181
random_labels,early,18,0.9963981509208679
random_labels,early,25,0.9921294450759888
random_labels,early,31,0.9920278191566467
random_labels,early,37,0.9930688738822937
random_labels,early,43,0.9914475083351135
random_labels,early,50,0.987278938293457
random_labels,early,56,0.9787076115608215
random_labels,early,62,0.9756291508674622
random_labels,early,68,0.9732467532157898
random_labels,early,75,0.9807892441749573
