experiment,layer,level,value
row_shuffle,early,0,0.9972381869738329
row_shuffle,early,6,0.9976921915254386
row_shuffle,early,12,0.997002175645022
row_shuffle,early,18,0.9981690231153816
row_shuffle,early,25,0.9964662695069115
row_shuffle,early,31,0.9969963388574159
row_shuffle,early,37,0.9985918853917669
row_shuffle,early,43,0.9981834543992162
row_shuffle,early,50,0.9985697133073003
row_shuffle,early,56,0.9970818052350232
row_shuffle,early,62,0.997196529156583
row_shuffle,early,68,0.9968506174486609
row_shuffle,early,75,0.9969082549054404
row_shuffle,early,81,0.9974872348129875
row_shuffle,early,87,0.9945106345721679
row_shuffle,early,93,0.9969544488916859
row_shuffle,early,100,0.997303762091385
row_shuffle,early,106,0.9981520610481944
row_shuffle,early,112,0.9980158236161656
row_shuffle,early,119,0.9962077500648013
col_shuffle,early,0,0.9973559994636874
col_shuffle,early,0,0.9966008031223479
col_shuffle,early,1,0.9977171832811732
col_shuffle,early,2,0.9984743923127325
col_shuffle,early,2,0.9978390835653482
col_shuffle,early,3,0.9966433917530112
col_shuffle,early,4,0.9976971036402092
col_shuffle,early,4,0.9964257762522777
col_shuffle,early,5,0.9964062892624181
col_shuffle,early,6,0.9976080590706276
col_shuffle,early,6,0.9972248832015235
col_shuffle,early,7,0.9987372362037599
col_shuffle,early,8,0.9981338039674967
col_shuffle,early,8,0.9980833372227689
col_shuffle,early,9,0.9963344265874692
col_shuffle,early,10,0.996928384097203
col_shuffle,early,10,0.9977424467552096
col_shuffle,early,11,0.9979452195362188
col_shuffle,early,12,0.9975757458146257
col_shuffle,early,13,0.9978732262649446
random_labels,early,0,0.998441561450728
random_labels,early,6,0.9938092132557291
random_labels,early,12,0.987714198655784
random_labels,early,18,0.9878895415183284
random_labels,early,25,0.9794334592667708
random_labels,early,31,0.971349136112568
random_labels,early,37,0.9693425312453579
random_labels,early,43,0.9481976251906503
random_labels,early,50,0.9529742890006636
random_labels,early,56,0.8618473622573978
random_labels,early,62,0.8637576302139264
random_labels,early,68,0.8761511174205845
random_labels,early,75,0.927225555949641
random_labels,early,81,0.909152241009643
random_labels,early,87,0.8606682760566288
random_labels,early,93,0.5452317824256174
random_labels,early,100,0.6557463465317741
random_labels,early,106,0.5811055051415619
random_labels,early,112,0.683597874499848
random_labels,early,119,0.34060979557406557
col_remove,early,0,0.9986136683114083
col_remove,early,0,0.9983741012639016
col_remove,early,1,0.9965109654347784
col_remove,early,1,0.9941455689954799
col_remove,early,2,0.9755973345994555
col_remove,early,3,0.9650942291280687
col_remove,early,3,0.9913450287605103
col_remove,early,4,0.9378787011424561
col_remove,early,5,0.9636771282743672
col_remove,early,5,0.9603005593513789
col_remove,early,6,0.9527317748099629
col_remove,early,6,0.7949313298235838
col_remove,early,7,0.9106617227468826
col_remove,early,8,0.8686460187393581
col_remove,early,8,0.836142621671888
col_remove,early,9,0.9185883623106847
col_remove,early,10,0.5946267497805648
col_remove,early,10,0.43514567759298045
col_remove,early,11,0.41623575492232884
col_remove,early,12,0.20463098490372728
row_remove,early,0,0.9978019211439716
row_remove,early,6,0.9971090856645899
row_remove,early,12,0.9953335126032045
row_remove,early,18,0.9953786900503324
row_remove,early,24,0.997685074865293
row_remove,early,30,0.9912034537414063
row_remove,early,36,0.9948121358614995
row_remove,early,43,0.9950341733617295
row_remove,early,49,0.993393273535425
row_remove,early,55,0.9899380852921706
row_remove,early,61,0.9801634418214981
row_remove,early,67,0.9880291099619076
row_remove,early,73,0.9863747336074445
row_remove,early,80,0.9595112340354622
row_remove,early,86,0.974435072919057
row_remove,early,92,0.9669114613885353
row_remove,early,98,0.9630504942322032
row_remove,early,104,0.7502241559232414
row_remove,early,110,0.8926458188647004
row_remove,early,117,0.5177982670124529
value_noise,early,0,0.9960194784992079
value_noise,early,81,0.994959369034692
value_noise,early,162,0.9926802207394447
value_noise,early,244,0.9876372100143914
value_noise,early,325,0.9923026718339203
value_noise,early,407,0.9805465206468593
value_noise,early,488,0.9777539364455786
value_noise,early,569,0.981258510477901
value_noise,early,651,0.9739755780095805
value_noise,early,732,0.9603728050147298
value_noise,early,814,0.9562411112808156
value_noise,early,895,0.9181803776652561
value_noise,early,977,0.9079361794619376
value_noise,early,1058,0.9225167326233605
value_noise,early,1139,0.8681773505219696
value_noise,early,1221,0.8393120099206435
value_noise,early,1302,0.8128355630627363
value_noise,early,1384,0.5447276642237185
value_noise,early,1465,0.7783439938970982
value_noise,early,1547,0.6074301877260938
alt_target,early,0,0.8607681416748565
alt_target,early,1,0.4794023528617173
alt_target,early,2,0.48418231988728355
alt_target,early,3,0.6090771650309073
alt_target,early,4,0.8310675800139219
alt_target,early,5,0.7596040421608329
alt_target,early,6,0.7873149693187037
alt_target,early,7,0.6609280465903545
alt_target,early,8,0.8141280936084334
alt_target,early,9,0.5968879729669965
alt_target,early,10,0.6102997737174922
alt_target,early,11,0.7007179836530302
alt_target,early,12,0.869753586261757
row_shuffle,middle,0,0.997524013170452
row_shuffle,middle,6,0.9960436287766885
row_shuffle,middle,12,0.9972836022669018
row_shuffle,middle,18,0.9985198015855181
row_shuffle,middle,25,0.995854549866185
row_shuffle,middle,31,0.9955432669787466
row_shuffle,middle,37,0.9971266868146944
row_shuffle,middle,43,0.9973267769675204
row_shuffle,middle,50,0.9966539631808294
row_shuffle,middle,56,0.9962096512816233
row_shuffle,middle,62,0.9975996938000918
row_shuffle,middle,68,0.9960423006301377
row_shuffle,middle,75,0.9987651158419132
row_shuffle,middle,81,0.9973597680775989
row_shuffle,middle,87,0.9967308249991446
row_shuffle,middle,93,0.9972366411771139
row_shuffle,middle,100,0.994678030614989
row_shuffle,middle,106,0.9962068511019994
row_shuffle,middle,112,0.9958241402370139
row_shuffle,middle,119,0.997874685764161
col_shuffle,middle,0,0.9977793705261865
col_shuffle,middle,0,0.998305044315436
col_shuffle,middle,1,0.9986315912245959
col_shuffle,middle,2,0.9950094818584168
col_shuffle,middle,2,0.9954896584355984
col_shuffle,middle,3,0.994739622055408
col_shuffle,middle,4,0.9954524107596977
col_shuffle,middle,4,0.997392350143857
col_shuffle,middle,5,0.9968465210741949
col_shuffle,middle,6,0.9970904596856295
col_shuffle,middle,6,0.9976559051035316
col_shuffle,middle,7,0.9979188253438553
col_shuffle,middle,8,0.9949797994609448
col_shuffle,middle,8,0.9968038170697587
col_shuffle,middle,9,0.9970898215793892
col_shuffle,middle,10,0.9975999093976045
col_shuffle,middle,10,0.9953633805983074
col_shuffle,middle,11,0.9978667576097773
col_shuffle,middle,12,0.9954564174782733
col_shuffle,middle,13,0.9969918600221288
random_labels,middle,0,0.9958628467746523
random_labels,middle,6,0.9885504716583243
random_labels,middle,12,0.9872380766055732
random_labels,middle,18,0.9740766477636063
random_labels,middle,25,0.9809741624460754
random_labels,middle,31,0.9755251758486865
random_labels,middle,37,0.9581781122064797
random_labels,middle,43,0.9587526474298089
random_labels,middle,50,0.970637288085513
random_labels,middle,56,0.9379238453653905
random_labels,middle,62,0.9415786520390165
random_labels,middle,68,0.9550337230843364
random_labels,middle,75,0.94313777571853
random_labels,middle,81,0.9006233926613798
random_labels,middle,87,0.9403065791016717
random_labels,middle,93,0.895252547597017
