experiment,layer,level,value
row_shuffle,early,0,1.2650713360202692
row_shuffle,early,6,1.3352452837019646
row_shuffle,early,12,1.4145049303994617
row_shuffle,early,18,1.3491752001967814
row_shuffle,early,25,1.2666909612639605
row_shuffle,early,31,1.2774509208904352
row_shuffle,early,37,1.4992890190686983
row_shuffle,early,43,1.4028248085590302
row_shuffle,early,50,1.5241609451035336
row_shuffle,early,56,1.2611520047445315
row_shuffle,early,62,1.2823178258056835
row_shuffle,early,68,1.2711153751944733
row_shuffle,early,75,1.2862569880528947
row_shuffle,early,81,1.295536326399422
row_shuffle,early,87,1.120205336139699
row_shuffle,early,93,1.3487308050571012
row_shuffle,early,100,1.310162645770221
row_shuffle,early,106,1.4558893377714055
row_shuffle,early,112,1.3740514481405923
row_shuffle,early,119,1.2228786953575936
col_shuffle,early,0,1.3433375802544882
col_shuffle,early,0,1.2221550042485005
col_shuffle,early,1,1.3496133589751063
col_shuffle,early,2,1.307540779932693
col_shuffle,early,2,1.3767707182628126
col_shuffle,early,3,1.1319842972881835
col_shuffle,early,4,1.5298679264169455
col_shuffle,early,4,1.224919381317087
col_shuffle,early,5,1.2894733262610598
col_shuffle,early,6,1.2870892122157316
col_shuffle,early,6,1.2421919794452891
col_shuffle,early,7,1.4162024992609583
col_shuffle,early,8,1.4233905716833442
col_shuffle,early,8,1.3529348615535084
col_shuffle,early,9,1.1963442192966371
col_shuffle,early,10,1.3361654407325223
col_shuffle,early,10,1.3812460165401363
col_shuffle,early,11,1.3858888723997609
col_shuffle,early,12,1.3523425872167163
col_shuffle,early,13,1.3183666282179054
random_labels,early,0,1.6341686650743479
random_labels,early,6,1.3022601231428046
random_labels,early,12,1.067218892525477
random_labels,early,18,1.4095940558878217
random_labels,early,25,0.9625070031070144
random_labels,early,31,0.8765301354857873
random_labels,early,37,0.9855779372130121
random_labels,early,43,0.8275495040623052
random_labels,early,50,0.7491151193386962
random_labels,early,56,0.5810321749658703
random_labels,early,62,0.5287166253141087
random_labels,early,68,0.644936199399786
random_labels,early,75,0.7016645208232761
random_labels,early,81,0.5031066670410865
random_labels,early,87,0.4683259778154195
random_labels,early,93,0.17529113058093762
random_labels,early,100,0.19704518931836046
random_labels,early,106,0.19295151861853777
random_labels,early,112,0.25339760201241923
random_labels,early,119,0.10814809369013015
col_remove,early,0,1.515938640897524
col_remove,early,0,1.418090064417415
col_remove,early,1,1.1858961180799548
col_remove,early,1,1.2726159642878967
col_remove,early,2,0.9842815839798092
col_remove,early,3,0.9676046904202271
col_remove,early,3,1.1825819117436085
col_remove,early,4,0.9144250849373977
col_remove,early,5,0.8882511296314095
col_remove,early,5,0.8298911276046161
col_remove,early,6,0.8266115254448145
col_remove,early,6,0.5916628793586647
col_remove,early,7,0.6724426495134649
col_remove,early,8,0.6285106890161958
col_remove,early,8,0.5053709560210077
col_remove,early,9,0.6367394110297542
col_remove,early,10,0.34137553856836644
col_remove,early,10,0.21073434423494306
col_remove,early,11,0.1827465456625639
col_remove,early,12,0.09137339338608383
row_remove,early,0,1.3609002693856274
row_remove,early,6,1.4103706596359915
row_remove,early,12,1.2847536575042164
row_remove,early,18,1.1745392639628043
row_remove,early,24,1.5490785779490146
row_remove,early,30,1.14948521956229
row_remove,early,36,1.3058026487137009
row_remove,early,43,1.4254435443409235
row_remove,early,49,1.0478629579739878
row_remove,early,55,1.0436617005260298
row_remove,early,61,0.97304358593991
row_remove,early,67,1.3970459402102091
row_remove,early,73,1.0833715114582707
row_remove,early,80,0.8431192877885001
row_remove,early,86,0.9427275937238251
row_remove,early,92,0.8710259877510056
row_remove,early,98,0.8474209177622614
row_remove,early,104,0.32256617113031205
row_remove,early,110,0.559580984970525
row_remove,early,117,0.24251396534516687
value_noise,early,0,1.3011460874212677
value_noise,early,81,1.2962217627819974
value_noise,early,162,1.2519774837760451
value_noise,early,244,1.1518994131157214
value_noise,early,325,1.1427427925673954
value_noise,early,407,1.1697009886323109
value_noise,early,488,0.9600431293885683
value_noise,early,569,0.988065327102654
value_noise,early,651,0.909059189528805
value_noise,early,732,0.8544852374612399
value_noise,early,814,0.7553852350331448
value_noise,early,895,0.713887785918457
value_noise,early,977,0.637464817102723
value_noise,early,1058,0.6915087506919644
value_noise,early,1139,0.6254930586077316
value_noise,early,1221,0.4651227164336762
value_noise,early,1302,0.45305901518408864
value_noise,early,1384,0.29085111658865725
value_noise,early,1465,0.3463225026727947
value_noise,early,1547,0.16790983764762218
alt_target,early,0,0.4782343992681373
alt_target,early,1,0.2256738787637897
alt_target,early,2,0.17176045808710655
alt_target,early,3,0.2842645291533058
alt_target,early,4,0.3685911383279239
alt_target,early,5,0.40994887167520966
alt_target,early,6,0.38277658667631553
alt_target,early,7,0.3198373387551998
alt_target,early,8,0.442183628762566
alt_target,early,9,0.38879017366495705
alt_target,early,10,0.29315218838435597
alt_target,early,11,0.3700324237831676
alt_target,early,12,0.40131070506965444
row_shuffle,middle,0,1.0241873883917452
row_shuffle,middle,6,0.8499291849912111
row_shuffle,middle,12,0.8651562647988245
row_shuffle,middle,18,1.4040024794488102
row_shuffle,middle,25,0.8502397894681986
row_shuffle,middle,31,0.8467168682797659
row_shuffle,middle,37,0.9329367545303345
row_shuffle,middle,43,1.0345745794776378
row_shuffle,middle,50,0.9040229564930702
row_shuffle,middle,56,0.751252100733591
row_shuffle,middle,62,0.7250587899335178
row_shuffle,middle,68,0.8419072811945054
row_shuffle,middle,75,1.61556470505153
row_shuffle,middle,81,0.9343466280730341
row_shuffle,middle,87,0.9322849027962301
row_shuffle,middle,93,0.9044389011049273
row_shuffle,middle,100,0.864503641969244
row_shuffle,middle,106,0.8443423479659957
row_shuffle,middle,112,0.8708952170618628
row_shuffle,middle,119,1.021194325618882
col_shuffle,middle,0,0.7726179095941509
col_shuffle,middle,0,1.2573232145871154
col_shuffle,middle,1,0.9728407507992086
col_shuffle,middle,2,0.9828370905815876
col_shuffle,middle,2,0.7649689327075171
col_shuffle,middle,3,0.7661932866356979
col_shuffle,middle,4,0.9420390223005577
col_shuffle,middle,4,0.9261907778682108
col_shuffle,middle,5,0.9458154733008757
col_shuffle,middle,6,0.9546882714731296
col_shuffle,middle,6,0.7934330213447449
col_shuffle,middle,7,1.0446346138244809
col_shuffle,middle,8,0.6930319169542567
col_shuffle,middle,8,0.7519986842179205
col_shuffle,middle,9,0.8332781777632354
col_shuffle,middle,10,0.7952038077390537
col_shuffle,middle,10,0.7187189217835398
col_shuffle,middle,11,1.347687911780726
col_shuffle,middle,12,0.9594354798371383
col_shuffle,middle,13,0.701783410596319
random_labels,middle,0,0.8531131076064113
random_labels,middle,6,0.7497590597531303
random_labels,middle,12,0.9543691627887558
random_labels,middle,18,0.7101183738159437
random_labels,middle,25,0.5225955416371901
random_labels,middle,31,0.5313116797520996
random_labels,middle,37,0.5465562614859127
random_labels,middle,43,0.399921448783733
random_labels,middle,50,0.4126566530383096
random_labels,middle,56,0.39134489636318626
random_labels,middle,62,0.2764353366645904
random_labels,middle,68,0.35571397869340193
random_labels,middle,75,0.3800312215672194
random_labels,middle,81,0.3368458467015264
random_labels,middle,87,0.31383870029051353
random_labels,middle,93,0.2299074912833814
random_labels,middle,100,0.2702921349378682
random_labels,middle,106,0.21923023534654829
random_labels,middle,112,0.27920271540091623
random_labels,middle,119,0.20862867100639831
col_remove,middle,0,0.8928990865903936
col_remove,middle,0,0.8760283784493859
col_remove,middle,1,0.6663748846074073
col_remove,middle,1,0.7049395218482236
col_remove,middle,2,0.7817487920831124
col_remove,middle,3,0.6464228447568081
col_remove,middle,3,0.6063445848475126
col_remove,middle,4,0.5484934609483227
col_remove,middle,5,0.6726559252222171
col_remove,middle,5,0.5587724597396002
col_remove,middle,6,0.6283034738652338
col_remove,middle,6,0.3664407179534602
col_remove,middle,7,0.5072245230946113
col_remove,middle,8,0.4524141433915269
col_remove,middle,8,0.3545641073254927
col_remove,middle,9,0.5285740310679288
col_remove,middle,10,0.2511316668205726
col_remove,middle,10,0.15304962773306685
col_remove,middle,11,0.09913759446007903
col_remove,middle,12,0.06630726129656173
row_remove,middle,0,1.0401520443302013
row_remove,middle,6,0.6739471544372106
row_remove,middle,12,1.0375888611555546
row_remove,middle,18,0.9706830259730728
row_remove,middle,24,0.8290927214158923
row_remove,middle,30,0.8819940231519818
row_remove,middle,36,0.6914012059467772
row_remove,middle,43,0.7318514483515572
row_remove,middle,49,0.6313237488132571
row_remove,middle,55,0.7759904699487963
row_remove,middle,61,0.8058396968620161
row_remove,middle,67,0.7920164847579774
row_remove,middle,73,0.6920906824419993
row_remove,middle,80,0.6915818936261697
row_remove,middle,86,0.6034352961140731
row_remove,middle,92,0.6036242689467348
row_remove,middle,98,0.5854415135887499
row_remove,middle,104,0.2644103294979735
row_remove,middle,110,0.4257801469726044
row_remove,middle,117,0.20360472865109108
value_noise,middle,0,1.1311989399561895
value_noise,middle,81,0.7968601314367587
value_noise,middle,162,0.7935864124738348
value_noise,middle,244,0.6885978154371195
value_noise,middle,325,0.7606473801652771
value_noise,middle,407,0.6458169407879545
value_noise,middle,488,0.6979260234296362
value_noise,middle,569,0.6470747788815634
value_noise,middle,651,0.6131021363765162
value_noise,middle,732,0.6024510207678195
value_noise,middle,814,0.5458911069674196
value_noise,middle,895,0.4972379150531582
value_noise,middle,977,0.45939014012066187
value_noise,middle,1058,0.4481178741794646
value_noise,middle,1139,0.42941370640697996
value_noise,middle,1221,0.3292004045565997
value_noise,middle,1302,0.3130672106638773
value_noise,middle,1384,0.18822371507071592
value_noise,middle,1465,0.2520933981184862
value_noise,middle,1547,0.13897528935944056
alt_target,middle,0,0.35832021872332925
alt_target,middle,1,0.22357865507499136
alt_target,middle,2,0.2025187352740659
alt_target,middle,3,0.21661970153760113
alt_target,middle,4,0.3221329069621465
alt_target,middle,5,0.28710408993290026
alt_target,middle,6,0.2717104432836228
alt_target,middle,7,0.21509132488583604
alt_target,middle,8,0.2664401882103511
alt_target,middle,9,0.26782005773375883
alt_target,middle,10,0.2227148788401045
alt_target,middle,11,0.2710705520337897
alt_target,middle,12,0.2772043028079581
row_shuffle,last,0,1.433946327266439
row_shuffle,last,6,1.5524114955804769
row_shuffle,last,12,1.430707224238505
row_shuffle,last,18,1.292794070599394
row_shuffle,last,25,1.382389113881592
row_shuffle,last,31,1.4638176649678636
row_shuffle,last,37,1.5954595621879395
row_shuffle,last,43,1.3067377703230365
row_shuffle,last,50,1.3517429014305082
row_shuffle,last,56,1.4988980067898534
row_shuffle,last,62,1.356821619912558
row_shuffle,last,68,1.4718908292556363
row_shuffle,last,75,1.2907046412656549
row_shuffle,last,81,1.293180973266068
row_shuffle,last,87,1.4282743061388126
row_shuffle,last,93,1.6134865310659632
row_shuffle,last,100,1.4657240902379023
row_shuffle,last,106,1.3880990091536058
row_shuffle,last,112,1.3015391191843957
row_shuffle,last,119,1.409795965612895
col_shuffle,last,0,1.3969132001699611
col_shuffle,last,0,1.3817188750620488
col_shuffle,last,1,1.506974483191844
col_shuffle,last,2,1.7432738902280254
col_shuffle,last,2,1.3992970335391615
col_shuffle,last,3,1.4415683360037455
col_shuffle,last,4,1.4990194961047991
col_shuffle,last,4,1.319897167224524
col_shuffle,last,5,1.4132932757510417
col_shuffle,last,6,1.4936932985562923
col_shuffle,last,6,1.358919728821966
col_shuffle,last,7,1.3164978753839822
col_shuffle,last,8,1.5000696162352787
col_shuffle,last,8,1.537017089188268
col_shuffle,last,9,1.2020222968176877
col_shuffle,last,10,1.36046780281976
col_shuffle,last,10,1.3025313513199075
col_shuffle,last,11,1.2582296680699536
col_shuffle,last,12,1.3120101468514913
col_shuffle,last,13,1.3504756721467777
random_labels,last,0,1.714706986324865
random_labels,last,6,0.918215085352099
random_labels,last,12,0.6818964489468923
random_labels,last,18,0.6747940583343355
random_labels,last,25,0.5310999966626078
random_labels,last,31,0.40682756096007766
random_labels,last,37,0.5587078506442068
random_labels,last,43,0.4782114011766167
random_labels,last,50,0.3780232153533924
random_labels,last,56,0.29954729119564105
random_labels,last,62,0.23759651126622755
random_labels,last,68,0.3166303218075166
random_labels,last,75,0.35720259992586145
random_labels,last,81,0.23850410958344098
random_labels,last,87,0.20160618218387233
random_labels,last,93,0.14148238273651975
random_labels,last,100,0.1561791172828465
random_labels,last,106,0.13840524396597764
random_labels,last,112,0.16588442304007164
random_labels,last,119,0.1606519192499654
col_remove,last,0,1.324352568226598
col_remove,last,0,1.426524470918754
col_remove,last,1,1.7038021073360974
col_remove,last,1,1.2178044728653976
col_remove,last,2,1.1337645596408352
col_remove,last,3,1.011806164633413
col_remove,last,3,1.1089341003043751
col_remove,last,4,0.8460850984684706
col_remove,last,5,0.9841081521433743
col_remove,last,5,0.85682512680045
col_remove,last,6,0.7946644128973506
col_remove,last,6,0.46207301485020785
col_remove,last,7,0.6914969902432424
col_remove,last,8,0.5975654776518232
col_remove,last,8,0.3925339149686998
col_remove,last,9,0.6249908278586424
col_remove,last,10,0.2858309196252666
col_remove,last,10,0.1385227886116499
col_remove,last,11,0.12719300402969097
col_remove,last,12,0.08446263212428815
row_remove,last,0,1.4661769761849452
row_remove,last,6,1.5359600084189917
row_remove,last,12,1.5014519598582605
row_remove,last,18,1.2803470129826393
row_remove,last,24,1.2326947136113309
row_remove,last,30,1.38232305207221
row_remove,last,36,1.0907555180766013
row_remove,last,43,1.1199012802280048
row_remove,last,49,1.1466965099101718
row_remove,last,55,0.9697754803206735
row_remove,last,61,0.9463214910958396
row_remove,last,67,0.9465642751129686
row_remove,last,73,0.9446135281063788
row_remove,last,80,0.7879561312338312
row_remove,last,86,0.7495429124758066
row_remove,last,92,0.6211496542474656
row_remove,last,98,0.5709399581461246
row_remove,last,104,0.34427821745529075
row_remove,last,110,0.45910558198719637
row_remove,last,117,0.18726998978314963
value_noise,last,0,1.2654571174656786
value_noise,last,81,1.1130245049146437
value_noise,last,162,1.057149636541894
value_noise,last,244,0.8472843365302747
value_noise,last,325,0.8857010272462014
value_noise,last,407,0.8261644048637684
value_noise,last,488,0.7038657332213879
value_noise,last,569,0.6411090344053334
value_noise,last,651,0.7054545846643395
value_noise,last,732,0.5256002880350717
value_noise,last,814,0.5216018316482469
value_noise,last,895,0.5495699691023255
value_noise,last,977,0.43224908790731326
value_noise,last,1058,0.4121041115585173
value_noise,last,1139,0.45411730713457993
value_noise,last,1221,0.23976621866269604
value_noise,last,1302,0.341486429660696
value_noise,last,1384,0.17058656092969077
value_noise,last,1465,0.22547967111202477
value_noise,last,1547,0.1521660235111852
alt_target,last,0,0.4035073039202387
alt_target,last,1,0.2380574577795173
alt_target,last,2,0.17051388186318095
alt_target,last,3,0.24365339920511522
alt_target,last,4,0.3051654332914432
alt_target,last,5,0.3773820727103721
alt_target,last,6,0.3744843360897859
alt_target,last,7,0.19660244529412096
alt_target,last,8,0.30846787016334914
alt_target,last,9,0.3041006463076769
alt_target,last,10,0.28913836302606105
alt_target,last,11,0.31977978196029616
alt_target,last,12,0.3437792107938279
