experiment,layer,level,value
row_shuffle,early,0,0.9205955909918554
row_shuffle,early,20,0.8295089740745789
row_shuffle,early,40,0.9148099779200651
row_shuffle,early,60,0.8164749436976488
row_shuffle,early,80,0.9449438012570494
row_shuffle,early,100,0.9423456511771091
row_shuffle,early,120,0.8124152136979843
row_shuffle,early,140,0.822432323262511
row_shuffle,early,160,0.9467643775565227
row_shuffle,early,180,0.9110441346311664
row_shuffle,early,200,0.9560951097825744
row_shuffle,early,220,0.9350934058027166
row_shuffle,early,240,0.8597593170449738
row_shuffle,early,260,0.9311774202841406
row_shuffle,early,280,0.9131010253316121
row_shuffle,early,300,0.8841001698292046
row_shuffle,early,320,0.9376840515732244
row_shuffle,early,340,0.7428423267588771
row_shuffle,early,360,0.9442706389491028
row_shuffle,early,381,0.8592149940740839
col_shuffle,early,0,0.9351392432209847
col_shuffle,early,1,0.8767108350325746
col_shuffle,early,3,0.9618684619812893
col_shuffle,early,4,0.922009503378354
col_shuffle,early,6,0.9613938466352275
col_shuffle,early,7,0.9325654536595527
col_shuffle,early,9,0.8956866676752587
col_shuffle,early,11,0.8866499698045766
col_shuffle,early,12,0.8956169288760993
col_shuffle,early,14,0.8714469486837106
col_shuffle,early,15,0.9109741438866289
col_shuffle,early,17,0.9696183987881881
col_shuffle,early,18,0.9208040363224693
col_shuffle,early,20,0.8953083214236157
col_shuffle,early,22,0.9351539325215528
col_shuffle,early,23,0.9782558765848478
col_shuffle,early,25,0.9592002127669255
col_shuffle,early,26,0.8982705168168341
col_shuffle,early,28,0.8797199676580426
col_shuffle,early,30,0.954275864127023
random_labels,early,0,0.8880740259998252
random_labels,early,20,0.9321563402982186
random_labels,early,40,0.8913924099494878
random_labels,early,60,0.9458397338536854
random_labels,early,80,0.8715776315457586
random_labels,early,100,0.9618081875239199
random_labels,early,120,0.9153079402211225
random_labels,early,140,0.8173627376772267
random_labels,early,160,0.9549297922049859
random_labels,early,180,0.9320402881281752
random_labels,early,200,0.8571947785727669
random_labels,early,220,0.9264274048046052
random_labels,early,240,0.8429164919482957
random_labels,early,260,0.9353842624772284
random_labels,early,280,0.9673659289320385
random_labels,early,300,0.8711870094301902
random_labels,early,320,0.8384396801248202
random_labels,early,340,0.9255393080347432
random_labels,early,360,0.9603097625949756
random_labels,early,381,0.8695170662546119
col_remove,early,0,0.9116113869665641
col_remove,early,1,0.9329184535349231
col_remove,early,3,0.9223973677485398
col_remove,early,4,0.8435993072412536
col_remove,early,6,0.7972765450107357
col_remove,early,7,0.8971187907346977
col_remove,early,9,0.839024153326965
col_remove,early,10,0.8742448206593435
col_remove,early,12,0.8736322777712058
col_remove,early,13,0.6920765473345157
col_remove,early,15,0.7390944466748003
col_remove,early,16,0.6961369852087248
col_remove,early,18,0.6998729234101064
col_remove,early,19,0.7327438603656438
col_remove,early,21,0.6355364274151912
col_remove,early,22,0.6166558265361013
col_remove,early,24,0.620443352337807
col_remove,early,25,0.6047839063335814
col_remove,early,27,0.5616650535837855
col_remove,early,29,0.43670681278002454
row_remove,early,0,0.9708611285262643
row_remove,early,19,0.9155691627613276
row_remove,early,39,0.9258002298160722
row_remove,early,59,0.9179349402919851
row_remove,early,79,0.9413327342487159
row_remove,early,99,0.8871599618680107
row_remove,early,119,0.8166416104996173
row_remove,early,139,0.8588668837278455
row_remove,early,159,0.9118619730452516
row_remove,early,179,0.9580996680581743
row_remove,early,199,0.969042275712784
row_remove,early,219,0.9390511664511942
row_remove,early,239,0.9648194186121313
row_remove,early,259,0.8935868705907566
row_remove,early,279,0.8205359663671719
row_remove,early,299,0.8372399050273431
row_remove,early,319,0.7732621904244821
row_remove,early,339,0.8956691637220938
row_remove,early,359,0.8798140073790072
row_remove,early,379,0.39989220696971683
value_noise,early,0,0.8787611013653391
value_noise,early,601,0.793462326274716
value_noise,early,1203,0.9560473317294875
value_noise,early,1804,0.9238980126931448
value_noise,early,2406,0.8612770733113446
value_noise,early,3007,0.8602627536753319
value_noise,early,3609,0.7895108462510063
value_noise,early,4211,0.7193558424807751
value_noise,early,4812,0.7725895419772763
value_noise,early,5414,0.9137648487143855
value_noise,early,6015,0.8107604338621903
value_noise,early,6617,0.7466209228924681
value_noise,early,7218,0.7572705733382675
value_noise,early,7820,0.800122698874687
value_noise,early,8422,0.7653017786737143
value_noise,early,9023,0.786450584949348
value_noise,early,9625,0.7258664761064134
value_noise,early,10226,0.7529796274100075
value_noise,early,10828,0.803500163000344
value_noise,early,11430,0.7097587525047397
alt_target,early,0,0.9166548901468895
alt_target,early,1,0.9469801417375476
alt_target,early,2,0.9205171412933499
alt_target,early,3,0.9012414454499849
alt_target,early,4,0.938453073532684
alt_target,early,5,0.9440990309994934
alt_target,early,6,0.882715288178147
alt_target,early,7,0.9087886854564577
alt_target,early,8,0.9407996488193511
alt_target,early,9,0.91672299431194
alt_target,early,10,0.953439340990623
alt_target,early,11,0.9531400021870408
alt_target,early,12,0.8579480609481304
alt_target,early,13,0.9592239373722333
alt_target,early,14,0.9233720999122439
alt_target,early,15,0.9522506139970435
alt_target,early,16,0.9352662118277489
alt_target,early,17,0.9231194489637244
alt_target,early,18,0.8845762145577276
alt_target,early,19,0.9339250520141014
alt_target,early,20,0.9379330672230908
alt_target,early,21,0.9519747361848564
alt_target,early,22,0.9339925842572256
alt_target,early,23,0.9432989832327663
alt_target,early,24,0.9573422272442139
alt_target,early,25,0.9656475392683402
alt_target,early,26,0.9653194320156541
alt_target,early,27,0.9187879592962733
alt_target,early,28,0.90487645836478
alt_target,early,29,0.9295211856366571
row_shuffle,middle,0,0.9968170341450407
row_shuffle,middle,20,0.9950601355874865
row_shuffle,middle,40,0.9960139041564064
row_shuffle,middle,60,0.9926360887507304
row_shuffle,middle,80,0.991662295183183
row_shuffle,middle,100,0.9938804438944083
row_shuffle,middle,120,0.9910303470870968
row_shuffle,middle,140,0.9910661374952467
row_shuffle,middle,160,0.9938155329683989
row_shuffle,middle,180,0.9950960739393747
row_shuffle,middle,200,0.9942759123685769
row_shuffle,middle,220,0.9888831309296859
row_shuffle,middle,240,0.9955493797711327
row_shuffle,middle,260,0.9951624280219861
row_shuffle,middle,280,0.9956633982019983
