experiment,layer,level,cosine_similarity
row_shuffle,last,0,0.9908267259597778
row_shuffle,last,20,0.9812932014465332
row_shuffle,last,40,0.9891089797019958
row_shuffle,last,60,0.9922157526016235
row_shuffle,last,80,0.9888417720794678
row_shuffle,last,100,0.9903387427330017
row_shuffle,last,120,0.9885851144790649
row_shuffle,last,140,0.9835976958274841
row_shuffle,last,160,0.9893426895141602
row_shuffle,last,180,0.9937625527381897
row_shuffle,last,200,0.9908574819564819
row_shuffle,last,220,0.9904006123542786
row_shuffle,last,240,0.9914311170578003
row_shuffle,last,260,0.9878668189048767
row_shuffle,last,280,0.9891425371170044
row_shuffle,last,300,0.9917399883270264
row_shuffle,last,320,0.9895360469818115
row_shuffle,last,340,0.9873540997505188
row_shuffle,last,360,0.9845014810562134
row_shuffle,last,381,0.985630989074707
col_shuffle,last,0,0.9924033284187317
col_shuffle,last,1,0.993033230304718
col_shuffle,last,3,0.9828073978424072
col_shuffle,last,4,0.9939687848091125
col_shuffle,last,6,0.9947298765182495
col_shuffle,last,7,0.9914770126342773
col_shuffle,last,9,0.9935348033905029
col_shuffle,last,11,0.9931301474571228
col_shuffle,last,12,0.9927972555160522
col_shuffle,last,14,0.9880054593086243
col_shuffle,last,15,0.9946408271789551
col_shuffle,last,17,0.9933363199234009
col_shuffle,last,18,0.9922563433647156
col_shuffle,last,20,0.9925302267074585
col_shuffle,last,22,0.988823413848877
col_shuffle,last,23,0.9913650751113892
col_shuffle,last,25,0.9872788786888123
col_shuffle,last,26,0.9919864535331726
col_shuffle,last,28,0.9922878742218018
col_shuffle,last,30,0.9933143854141235
random_labels,last,0,0.9921051263809204
random_labels,last,20,0.762545645236969
random_labels,last,40,0.5838283896446228
random_labels,last,60,0.5121452808380127
random_labels,last,80,0.5111231803894043
random_labels,last,100,0.47476130723953247
random_labels,last,120,0.47005268931388855
random_labels,last,140,0.4420088827610016
random_labels,last,160,0.4627741575241089
random_labels,last,180,0.3512701392173767
random_labels,last,200,0.3722209930419922
random_labels,last,220,0.4140990972518921
random_labels,last,240,0.4101187586784363
random_labels,last,260,0.4672286808490753
random_labels,last,280,0.4326065182685852
random_labels,last,300,0.42207831144332886
random_labels,last,320,0.4127144515514374
random_labels,last,340,0.41033443808555603
random_labels,last,360,0.4023062586784363
random_labels,last,381,0.41340240836143494
col_remove,last,0,0.9823158979415894
col_remove,last,1,0.9848670363426208
col_remove,last,3,0.9772729277610779
col_remove,last,4,0.9908949136734009
col_remove,last,6,0.9794446229934692
col_remove,last,7,0.9713883996009827
col_remove,last,9,0.8992244601249695
col_remove,last,10,0.9663352966308594
col_remove,last,12,0.96014404296875
col_remove,last,13,0.9570221304893494
col_remove,last,15,0.8887525796890259
col_remove,last,16,0.9361445903778076
col_remove,last,18,0.8686220049858093
col_remove,last,19,0.9401032328605652
col_remove,last,21,0.8511794209480286
col_remove,last,22,0.8429815173149109
col_remove,last,24,0.818498969078064
col_remove,last,25,0.7494279742240906
col_remove,last,27,0.7449373006820679
col_remove,last,29,0.6800659894943237
row_remove,last,0,0.9889752268791199
row_remove,last,19,0.9921227097511292
row_remove,last,39,0.9868944883346558
row_remove,last,59,0.9815536141395569
row_remove,last,79,0.9750325679779053
row_remove,last,99,0.9694706797599792
row_remove,last,119,0.966413140296936
row_remove,last,139,0.9202030897140503
row_remove,last,159,0.9664908647537231
row_remove,last,179,0.9611836671829224
row_remove,last,199,0.9556149244308472
row_remove,last,219,0.9402090311050415
row_remove,last,239,0.9372274279594421
row_remove,last,259,0.9089610576629639
row_remove,last,279,0.9072179794311523
row_remove,last,299,0.8243670463562012
row_remove,last,319,0.8799561858177185
row_remove,last,339,0.7714314460754395
row_remove,last,359,0.6587088704109192
row_remove,last,379,0.4586736857891083
value_noise,last,0,0.9922420382499695
value_noise,last,601,0.9305603504180908
value_noise,last,1203,0.9489766955375671
value_noise,last,1804,0.9100204110145569
value_noise,last,2406,0.8960926532745361
value_noise,last,3007,0.8842169046401978
value_noise,last,3609,0.8696534037590027
value_noise,last,4211,0.819529116153717
value_noise,last,4812,0.8785171508789062
value_noise,last,5414,0.8794938921928406
value_noise,last,6015,0.8432765007019043
value_noise,last,6617,0.7669519186019897
value_noise,last,7218,0.7388871908187866
value_noise,last,7820,0.7328895330429077
value_noise,last,8422,0.6828821301460266
value_noise,last,9023,0.7241011261940002
value_noise,last,9625,0.5362934470176697
value_noise,last,10226,0.34577831625938416
value_noise,last,10828,0.34291189908981323
value_noise,last,11430,0.4171704649925232
