experiment,layer,level,value
row_shuffle,early,0,0.138678193459578
row_shuffle,early,63,0.17919100005928706
row_shuffle,early,126,0.20571351025548484
row_shuffle,early,189,0.15312398534504
row_shuffle,early,253,0.16595653715727218
row_shuffle,early,316,0.13803194345155084
row_shuffle,early,379,0.16613840507843308
row_shuffle,early,443,0.15971070376894683
row_shuffle,early,506,0.17616068597710788
row_shuffle,early,569,0.10841914524526554
row_shuffle,early,633,0.15322765183304216
row_shuffle,early,696,0.16863781667761318
row_shuffle,early,759,0.15414256506933935
row_shuffle,early,823,0.16939975770290872
row_shuffle,early,886,0.1421413277786573
row_shuffle,early,949,0.15240605646681832
row_shuffle,early,1013,0.2030885731776197
row_shuffle,early,1076,0.12226826277806951
row_shuffle,early,1139,0.17541655132846473
row_shuffle,early,1203,0.12009433177680831
col_shuffle,early,0,0.14322303372102146
col_shuffle,early,3,0.15207496995487813
col_shuffle,early,6,0.22325247783188323
col_shuffle,early,10,0.166057440577207
col_shuffle,early,13,0.26072357768762183
col_shuffle,early,16,0.14043314248950892
col_shuffle,early,20,0.16049835766971735
col_shuffle,early,23,0.14832747056810852
col_shuffle,early,26,0.14857140243870032
col_shuffle,early,30,0.16154050687888027
col_shuffle,early,33,0.17836489281486811
col_shuffle,early,37,0.11036060974126731
col_shuffle,early,40,0.13958042045818475
col_shuffle,early,43,0.11355863082767986
col_shuffle,early,47,0.24727236112787412
col_shuffle,early,50,0.13439871078717044
col_shuffle,early,53,0.146429135884564
col_shuffle,early,57,0.1777166362434376
col_shuffle,early,60,0.17283984097041272
col_shuffle,early,64,0.13501874065877745
random_labels,early,0,0.18226324243937947
random_labels,early,63,0.2539075005317064
random_labels,early,126,0.1606607670782057
random_labels,early,189,0.37768292621759614
random_labels,early,253,0.1435709865145683
random_labels,early,316,0.1752710115103667
random_labels,early,379,0.6347804102385891
random_labels,early,443,0.13751096881111272
random_labels,early,506,0.1617189712867474
random_labels,early,569,0.14727019288608106
random_labels,early,633,0.16628261697628427
random_labels,early,696,0.15058625066731232
random_labels,early,759,0.15481030497249926
random_labels,early,823,0.16581767002797815
random_labels,early,886,0.17552395226722528
random_labels,early,949,0.16792645293391611
random_labels,early,1013,0.2459176684298179
random_labels,early,1076,0.6557616687573504
random_labels,early,1139,0.16016888029044674
random_labels,early,1203,0.17404351101130938
col_remove,early,0,0.17990478097461704
col_remove,early,3,0.350728668294993
col_remove,early,6,0.19854193100811515
col_remove,early,9,0.18864250094478738
col_remove,early,13,0.25925258297475384
col_remove,early,16,0.14599186604639106
col_remove,early,19,0.14497389247909925
col_remove,early,23,0.13523895459681431
col_remove,early,26,0.4125079295823717
col_remove,early,29,0.17171472059304946
col_remove,early,33,0.14516926896418023
col_remove,early,36,0.07169409027833958
col_remove,early,39,0.0806944823567005
col_remove,early,43,0.08604046265576246
col_remove,early,46,0.11506434161336057
col_remove,early,49,0.08024154798423352
col_remove,early,53,0.12022914270878465
col_remove,early,56,0.057248208820820295
col_remove,early,59,0.1295968490276051
col_remove,early,63,0.04819049066377394
row_remove,early,0,0.1840305877367135
row_remove,early,63,0.23852375565983325
row_remove,early,126,0.4465560922591961
row_remove,early,189,0.4574308857285015
row_remove,early,252,0.38139708995581834
row_remove,early,316,0.4256141936669833
row_remove,early,379,0.44650011292182257
row_remove,early,442,0.15530796993214308
row_remove,early,505,0.1828013463021269
row_remove,early,568,0.16949210960543581
row_remove,early,632,0.15618375630770434
row_remove,early,695,0.1782751579438281
row_remove,early,758,0.20211653838898186
row_remove,early,821,0.17365736874525828
row_remove,early,884,0.1892820156208514
row_remove,early,948,0.381877064250713
row_remove,early,1011,0.193461358808448
row_remove,early,1074,0.1413350280438182
row_remove,early,1137,0.25244953135209935
row_remove,early,1201,0.05158311461039377
value_noise,early,0,0.16663819720527706
value_noise,early,4052,0.07999939523100305
value_noise,early,8104,0.1802900262003706
value_noise,early,12156,0.12176063351620149
value_noise,early,16208,0.1706035461726064
value_noise,early,20261,0.19324675652042644
value_noise,early,24313,0.13895020067085911
value_noise,early,28365,0.16511528442480172
value_noise,early,32417,0.14147844230648382
value_noise,early,36469,0.1223845870752438
value_noise,early,40522,0.16805417768017594
