experiment,layer,level,cosine_similarity
row_shuffle,early,0,0.998979389667511
row_shuffle,early,5,0.9987885355949402
row_shuffle,early,10,0.9995083808898926
row_shuffle,early,15,0.9993337988853455
row_shuffle,early,21,0.9987680315971375
row_shuffle,early,26,0.9979957342147827
row_shuffle,early,31,0.9987980127334595
row_shuffle,early,36,0.9998359680175781
row_shuffle,early,42,0.999997615814209
row_shuffle,early,47,0.9993443489074707
row_shuffle,early,52,0.9998166561126709
row_shuffle,early,57,0.9993492364883423
row_shuffle,early,63,0.9992092847824097
row_shuffle,early,68,0.9980018138885498
row_shuffle,early,73,0.9995035529136658
row_shuffle,early,78,0.9999975562095642
row_shuffle,early,84,0.9993596076965332
row_shuffle,early,89,0.9999876618385315
row_shuffle,early,94,0.9998307228088379
row_shuffle,early,100,0.9987760186195374
col_shuffle,early,0,0.9993969798088074
col_shuffle,early,0,0.9996650218963623
col_shuffle,early,0,0.9985299110412598
col_shuffle,early,0,0.9989747405052185
col_shuffle,early,0,0.9979199767112732
col_shuffle,early,1,0.9991511702537537
col_shuffle,early,1,0.9993969798088074
col_shuffle,early,1,0.9992417097091675
col_shuffle,early,1,0.9979212880134583
col_shuffle,early,1,0.9993970394134521
col_shuffle,early,2,0.9985299706459045
col_shuffle,early,2,0.9989333152770996
col_shuffle,early,2,0.9985299110412598
col_shuffle,early,2,0.9991672039031982
col_shuffle,early,2,0.9979206919670105
col_shuffle,early,3,0.9993904829025269
col_shuffle,early,3,0.9993904829025269
col_shuffle,early,3,0.9989334344863892
col_shuffle,early,3,0.9993970394134521
col_shuffle,early,4,0.9985299110412598
random_labels,early,0,0.9995961785316467
random_labels,early,5,0.9991999864578247
random_labels,early,10,0.9985500574111938
random_labels,early,15,0.9988542795181274
random_labels,early,21,0.9995225667953491
random_labels,early,26,0.9993938207626343
random_labels,early,31,0.9987013339996338
random_labels,early,36,0.9984382390975952
random_labels,early,42,0.9991621971130371
random_labels,early,47,0.9989370703697205
random_labels,early,52,0.9995173811912537
random_labels,early,57,0.9986202120780945
random_labels,early,63,0.9992270469665527
random_labels,early,68,0.9990932941436768
random_labels,early,73,0.9992525577545166
random_labels,early,78,0.9996018409729004
random_labels,early,84,0.9983460903167725
random_labels,early,89,0.9992344379425049
random_labels,early,94,0.9993995428085327
random_labels,early,100,0.9985656142234802
col_remove,early,0,0.9987292289733887
col_remove,early,0,0.9990444183349609
col_remove,early,0,0.9987409710884094
col_remove,early,0,0.9990444183349609
col_remove,early,0,0.9979825019836426
col_remove,early,0,1.0
col_remove,early,0,0.998854398727417
col_remove,early,1,0.9988921284675598
col_remove,early,1,0.9977216124534607
col_remove,early,1,0.999114990234375
col_remove,early,1,0.9984327554702759
col_remove,early,1,0.9971679449081421
col_remove,early,1,0.9988992214202881
col_remove,early,2,0.9960452318191528
col_remove,early,2,0.9964872598648071
col_remove,early,2,0.9968525171279907
col_remove,early,2,0.998310387134552
col_remove,early,2,0.9979909658432007
col_remove,early,2,0.9989044666290283
col_remove,early,3,0.9938545823097229
row_remove,early,0,0.9979239702224731
row_remove,early,5,0.9986827969551086
row_remove,early,10,0.9978123307228088
row_remove,early,15,0.9980044364929199
row_remove,early,20,0.9980031847953796
row_remove,early,25,0.9987800717353821
row_remove,early,30,0.9978536367416382
row_remove,early,36,0.9988506436347961
row_remove,early,41,0.997982382774353
row_remove,early,46,0.9988491535186768
row_remove,early,51,0.999834418296814
row_remove,early,56,0.9992596507072449
row_remove,early,61,0.9993206262588501
row_remove,early,67,0.9979416131973267
row_remove,early,72,0.9991266131401062
row_remove,early,77,0.9984242916107178
row_remove,early,82,0.9995399713516235
row_remove,early,87,0.9981577396392822
row_remove,early,92,0.9993876814842224
row_remove,early,98,0.9839369058609009
value_noise,early,0,0.9982166290283203
value_noise,early,21,0.9983692169189453
value_noise,early,42,0.9998376369476318
value_noise,early,63,0.9996808767318726
value_noise,early,84,0.9976070523262024
value_noise,early,105,0.9993109703063965
value_noise,early,126,0.9981391429901123
value_noise,early,147,0.9988438487052917
value_noise,early,168,0.9989694356918335
value_noise,early,189,0.9994148015975952
value_noise,early,210,0.9990597367286682
value_noise,early,231,0.9977812170982361
value_noise,early,252,0.9991555213928223
value_noise,early,273,0.9966772198677063
value_noise,early,294,0.9968691468238831
value_noise,early,315,0.9980335831642151
value_noise,early,336,0.998403012752533
value_noise,early,357,0.9978265166282654
value_noise,early,378,0.9985284209251404
value_noise,early,400,0.9977599382400513
alt_target,early,0,0.9962770342826843
alt_target,early,1,0.995869517326355
alt_target,early,2,0.9961126446723938
alt_target,early,3,0.9967387318611145
row_shuffle,middle,0,0.9907838702201843
row_shuffle,middle,5,0.994556188583374
row_shuffle,middle,10,0.9918053150177002
row_shuffle,middle,15,0.996237576007843
row_shuffle,middle,21,0.9907744526863098
row_shuffle,middle,26,0.9961754679679871
row_shuffle,middle,31,0.9975121021270752
row_shuffle,middle,36,0.9878423810005188
row_shuffle,middle,42,0.9999426007270813
row_shuffle,middle,47,0.98917555809021
row_shuffle,middle,52,0.9975419044494629
row_shuffle,middle,57,0.9907435774803162
row_shuffle,middle,63,0.992709755897522
row_shuffle,middle,68,0.9918527007102966
row_shuffle,middle,73,0.9919979572296143
row_shuffle,middle,78,0.9962120056152344
row_shuffle,middle,84,0.992034375667572
row_shuffle,middle,89,0.9964398145675659
row_shuffle,middle,94,0.9975408315658569
row_shuffle,middle,100,0.9904242753982544
col_shuffle,middle,0,0.9969238042831421
col_shuffle,middle,0,0.9968205094337463
col_shuffle,middle,0,0.9969238042831421
col_shuffle,middle,0,0.9949724674224854
col_shuffle,middle,0,0.9949724674224854
col_shuffle,middle,1,0.9937106966972351
col_shuffle,middle,1,0.9979649186134338
col_shuffle,middle,1,0.9943164587020874
col_shuffle,middle,1,0.9937063455581665
col_shuffle,middle,1,0.9955193996429443
col_shuffle,middle,2,0.996826708316803
col_shuffle,middle,2,0.9970576763153076
col_shuffle,middle,2,0.9954797625541687
col_shuffle,middle,2,0.9945591688156128
col_shuffle,middle,2,0.9943283200263977
col_shuffle,middle,3,0.997058629989624
col_shuffle,middle,3,0.9949591159820557
col_shuffle,middle,3,0.9968205094337463
col_shuffle,middle,3,0.9967284202575684
col_shuffle,middle,4,0.9967382550239563
random_labels,middle,0,0.9925986528396606
random_labels,middle,5,0.9907621741294861
random_labels,middle,10,0.9903507828712463
random_labels,middle,15,0.991292417049408
random_labels,middle,21,0.9891558289527893
random_labels,middle,26,0.9880197644233704
random_labels,middle,31,0.9848358035087585
random_labels,middle,36,0.9872681498527527
random_labels,middle,42,0.9854196906089783
random_labels,middle,47,0.9828721880912781
random_labels,middle,52,0.9785218834877014
random_labels,middle,57,0.9787032604217529
random_labels,middle,63,0.9854042530059814
random_labels,middle,68,0.9829404354095459
random_labels,middle,73,0.9779117703437805
random_labels,middle,78,0.9856346249580383
random_labels,middle,84,0.9777712225914001
random_labels,middle,89,0.9724553823471069
random_labels,middle,94,0.9727083444595337
random_labels,middle,100,0.9757205247879028
col_remove,middle,0,0.9958308935165405
col_remove,middle,0,0.9977288842201233
col_remove,middle,0,0.9913372993469238
col_remove,middle,0,0.9931702613830566
col_remove,middle,0,0.9958308935165405
col_remove,middle,0,0.996225118637085
col_remove,middle,0,0.9960795640945435
col_remove,middle,1,0.9963526129722595
col_remove,middle,1,0.9974144101142883
col_remove,middle,1,0.9958664774894714
col_remove,middle,1,0.9934269189834595
col_remove,middle,1,0.9963526129722595
col_remove,middle,1,0.9956345558166504
col_remove,middle,2,0.9952420592308044
col_remove,middle,2,0.9883038401603699
col_remove,middle,2,0.9916113018989563
col_remove,middle,2,0.9963135719299316
col_remove,middle,2,0.9877256751060486
col_remove,middle,2,0.994764506816864
col_remove,middle,3,0.981471836566925
row_remove,middle,0,0.9930976033210754
row_remove,middle,5,0.9910373091697693
row_remove,middle,10,0.9949973821640015
row_remove,middle,15,0.9896177649497986
row_remove,middle,20,0.9971727132797241
row_remove,middle,25,0.9893172979354858
row_remove,middle,30,0.9968960285186768
row_remove,middle,36,0.9989220499992371
row_remove,middle,41,0.993262529373169
row_remove,middle,46,0.9930012226104736
row_remove,middle,51,0.9963493943214417
row_remove,middle,56,0.9924231767654419
row_remove,middle,61,0.9952238202095032
row_remove,middle,67,0.9924904704093933
row_remove,middle,72,0.9948782324790955
row_remove,middle,77,0.9920740723609924
row_remove,middle,82,0.9911142587661743
row_remove,middle,87,0.9913790225982666
row_remove,middle,92,0.9890778064727783
row_remove,middle,98,0.9654508233070374
value_noise,middle,0,0.9964869022369385
value_noise,middle,21,0.994892418384552
value_noise,middle,42,0.9973087310791016
value_noise,middle,63,0.9918761253356934
value_noise,middle,84,0.9966010451316833
value_noise,middle,105,0.9935750365257263
value_noise,middle,126,0.9927806258201599
value_noise,middle,147,0.9885875582695007
value_noise,middle,168,0.9922887682914734
value_noise,middle,189,0.9913030862808228
value_noise,middle,210,0.9933207631111145
value_noise,middle,231,0.9913554191589355
value_noise,middle,252,0.9821463227272034
