experiment,layer,level,value
row_shuffle,early,0,0.9211575718572512
row_shuffle,early,5,0.8590381199741537
row_shuffle,early,10,0.9210620192991186
row_shuffle,early,15,0.8586997951667902
row_shuffle,early,21,0.9648468818860458
row_shuffle,early,26,0.8041028714357238
row_shuffle,early,31,0.7258967045148285
row_shuffle,early,36,0.8447133028742068
row_shuffle,early,42,0.8609978622620766
row_shuffle,early,47,0.8850492408694666
row_shuffle,early,52,0.859318647942888
row_shuffle,early,57,0.9007611721582677
row_shuffle,early,63,0.900192841928527
row_shuffle,early,68,0.9007657245392309
row_shuffle,early,73,0.858769906322998
row_shuffle,early,78,0.8599822456596393
row_shuffle,early,84,0.899113351685677
row_shuffle,early,89,0.8062372776906463
row_shuffle,early,94,0.964548982088629
row_shuffle,early,100,0.9524159968202688
col_shuffle,early,0,0.8850931695144051
col_shuffle,early,0,0.9525110727874416
col_shuffle,early,0,0.9413575074974624
col_shuffle,early,0,0.8850931695144051
col_shuffle,early,0,0.9413575074974624
col_shuffle,early,1,0.9212060550968592
col_shuffle,early,1,0.8588320262064144
col_shuffle,early,1,0.9211575718572512
col_shuffle,early,1,0.9999984784428784
col_shuffle,early,1,0.8588757128119959
col_shuffle,early,2,0.7272639635158962
col_shuffle,early,2,0.9414402964564077
col_shuffle,early,2,0.9657130762621546
col_shuffle,early,2,0.727150965571846
col_shuffle,early,2,0.8985904582109289
col_shuffle,early,3,0.9656713898377466
col_shuffle,early,3,0.8579972304714762
col_shuffle,early,3,0.9211575718572512
col_shuffle,early,3,0.8850622608424129
col_shuffle,early,4,0.9525074703555502
random_labels,early,0,0.9077203225729783
random_labels,early,5,0.8832602402289256
random_labels,early,10,0.8912287500535319
random_labels,early,15,0.7468408870832004
random_labels,early,21,0.9381919856839226
random_labels,early,26,0.8892008396700866
random_labels,early,31,0.6834530714910697
random_labels,early,36,0.888009361444675
random_labels,early,42,0.999881764015709
random_labels,early,47,0.6836125085285153
random_labels,early,52,0.90817749752124
random_labels,early,57,0.7394788976636174
random_labels,early,63,0.8669919200052065
random_labels,early,68,0.8831531529735914
random_labels,early,73,0.8014118772831602
random_labels,early,78,0.8892095128155613
random_labels,early,84,0.8880879600954923
random_labels,early,89,0.9252777407922642
random_labels,early,94,0.839172263282068
random_labels,early,100,0.9394612622147167
col_remove,early,0,0.6908949174252618
col_remove,early,0,0.9034696372178965
col_remove,early,0,0.736137869926976
col_remove,early,0,0.6123517643134312
col_remove,early,0,0.6908949174252618
col_remove,early,0,0.9034696372178965
