experiment,layer,level,cosine_similarity
row_shuffle,tf_col_1,0,1.0
row_shuffle,tf_col_1,20,0.9999993443489075
row_shuffle,tf_col_1,40,0.9999993443489075
row_shuffle,tf_col_1,60,0.9999993443489075
row_shuffle,tf_col_1,80,0.9999993443489075
row_shuffle,tf_col_1,100,0.9999993443489075
row_shuffle,tf_col_1,120,0.9999993443489075
row_shuffle,tf_col_1,140,0.9999993443489075
row_shuffle,tf_col_1,160,0.9999993443489075
row_shuffle,tf_col_1,180,0.9999993443489075
row_shuffle,tf_col_1,200,0.9999992847442627
row_shuffle,tf_col_1,220,0.9999993443489075
row_shuffle,tf_col_1,240,0.9999993443489075
row_shuffle,tf_col_1,260,0.9999993443489075
row_shuffle,tf_col_1,280,0.9999993443489075
row_shuffle,tf_col_1,300,0.9999993443489075
row_shuffle,tf_col_1,320,0.9999993443489075
row_shuffle,tf_col_1,340,0.9999993443489075
row_shuffle,tf_col_1,360,0.9999993443489075
row_shuffle,tf_col_1,381,0.9999992847442627
col_shuffle,tf_col_1,0,1.0
col_shuffle,tf_col_1,1,0.9999930262565613
col_shuffle,tf_col_1,3,0.9995711445808411
col_shuffle,tf_col_1,4,0.9999416470527649
col_shuffle,tf_col_1,6,0.9998629689216614
col_shuffle,tf_col_1,7,0.9996843338012695
col_shuffle,tf_col_1,9,0.9994530081748962
col_shuffle,tf_col_1,11,0.9999019503593445
col_shuffle,tf_col_1,12,0.9996264576911926
col_shuffle,tf_col_1,14,0.9994156956672668
col_shuffle,tf_col_1,15,0.9998401999473572
col_shuffle,tf_col_1,17,0.9991692304611206
col_shuffle,tf_col_1,18,0.99974524974823
col_shuffle,tf_col_1,20,0.9997338056564331
col_shuffle,tf_col_1,22,0.9995781183242798
col_shuffle,tf_col_1,23,0.9998927116394043
col_shuffle,tf_col_1,25,0.9998013377189636
col_shuffle,tf_col_1,26,0.999747097492218
col_shuffle,tf_col_1,28,0.9995983839035034
col_shuffle,tf_col_1,30,0.9996302127838135
random_labels,tf_col_1,0,1.0
random_labels,tf_col_1,20,0.9990059733390808
random_labels,tf_col_1,40,0.9953712224960327
random_labels,tf_col_1,60,0.9880773425102234
random_labels,tf_col_1,80,0.9876313805580139
random_labels,tf_col_1,100,0.9756901264190674
random_labels,tf_col_1,120,0.9780064225196838
random_labels,tf_col_1,140,0.9679805636405945
random_labels,tf_col_1,160,0.960442304611206
random_labels,tf_col_1,180,0.9519271850585938
random_labels,tf_col_1,200,0.9374300241470337
random_labels,tf_col_1,220,0.9244086146354675
random_labels,tf_col_1,240,0.9092674851417542
random_labels,tf_col_1,260,0.9107497930526733
random_labels,tf_col_1,280,0.9109858870506287
random_labels,tf_col_1,300,0.8812767863273621
random_labels,tf_col_1,320,0.8718834519386292
random_labels,tf_col_1,340,0.8318393230438232
random_labels,tf_col_1,360,0.8091549277305603
random_labels,tf_col_1,381,0.7917861938476562
col_remove,tf_col_1,0,1.0
col_remove,tf_col_1,1,0.9996188282966614
col_remove,tf_col_1,3,0.9989776611328125
col_remove,tf_col_1,4,0.9981752634048462
col_remove,tf_col_1,6,0.9973121881484985
col_remove,tf_col_1,7,0.9973281025886536
col_remove,tf_col_1,9,0.9949443340301514
col_remove,tf_col_1,10,0.9960477948188782
col_remove,tf_col_1,12,0.9933184385299683
col_remove,tf_col_1,13,0.9891225695610046
col_remove,tf_col_1,15,0.9889740347862244
col_remove,tf_col_1,16,0.9834542870521545
col_remove,tf_col_1,18,0.9752794504165649
col_remove,tf_col_1,19,0.9869399666786194
col_remove,tf_col_1,21,0.9698393940925598
col_remove,tf_col_1,22,0.9614452719688416
col_remove,tf_col_1,24,0.9694256782531738
col_remove,tf_col_1,25,0.9411360621452332
col_remove,tf_col_1,27,0.9284069538116455
col_remove,tf_col_1,29,0.82218998670578
row_remove,tf_col_1,0,1.0
row_remove,tf_col_1,19,0.9996616840362549
row_remove,tf_col_1,39,0.9991867542266846
row_remove,tf_col_1,59,0.9993950724601746
row_remove,tf_col_1,79,0.9984270334243774
row_remove,tf_col_1,99,0.9985093474388123
row_remove,tf_col_1,119,0.9970337152481079
row_remove,tf_col_1,139,0.9944899678230286
row_remove,tf_col_1,159,0.9939757585525513
row_remove,tf_col_1,179,0.9935111403465271
row_remove,tf_col_1,199,0.9908328652381897
row_remove,tf_col_1,219,0.9869546294212341
row_remove,tf_col_1,239,0.9794803261756897
row_remove,tf_col_1,259,0.9787307381629944
row_remove,tf_col_1,279,0.9630061984062195
row_remove,tf_col_1,299,0.9530238509178162
row_remove,tf_col_1,319,0.9245166182518005
row_remove,tf_col_1,339,0.8880628347396851
row_remove,tf_col_1,359,0.830243706703186
row_remove,tf_col_1,379,0.43584853410720825
value_noise,tf_col_1,0,1.0
value_noise,tf_col_1,601,0.9983220100402832
value_noise,tf_col_1,1203,0.9947779178619385
value_noise,tf_col_1,1804,0.9890188574790955
value_noise,tf_col_1,2406,0.9846168756484985
value_noise,tf_col_1,3007,0.9789243936538696
value_noise,tf_col_1,3609,0.9710471034049988
value_noise,tf_col_1,4211,0.9617570638656616
value_noise,tf_col_1,4812,0.9541704058647156
value_noise,tf_col_1,5414,0.9448649883270264
value_noise,tf_col_1,6015,0.9312028884887695
value_noise,tf_col_1,6617,0.9132611751556396
value_noise,tf_col_1,7218,0.8990339040756226
value_noise,tf_col_1,7820,0.8809253573417664
value_noise,tf_col_1,8422,0.8697928786277771
value_noise,tf_col_1,9023,0.8560990691184998
value_noise,tf_col_1,9625,0.8334153890609741
value_noise,tf_col_1,10226,0.8022381663322449
value_noise,tf_col_1,10828,0.7953423857688904
value_noise,tf_col_1,11430,0.7688286900520325
alt_target,tf_col_1,0,0.8511121869087219
alt_target,tf_col_1,1,0.7790922522544861
alt_target,tf_col_1,2,0.8458312153816223
alt_target,tf_col_1,3,0.852580189704895
alt_target,tf_col_1,4,0.7866860032081604
alt_target,tf_col_1,5,0.7935124039649963
alt_target,tf_col_1,6,0.7998645901679993
alt_target,tf_col_1,7,0.8104068636894226
alt_target,tf_col_1,8,0.7745134234428406
alt_target,tf_col_1,9,0.8596861958503723
alt_target,tf_col_1,10,0.7904911637306213
alt_target,tf_col_1,11,0.8287501335144043
alt_target,tf_col_1,12,0.7906904220581055
alt_target,tf_col_1,13,0.8062856793403625
alt_target,tf_col_1,14,0.868152916431427
alt_target,tf_col_1,15,0.7885190844535828
alt_target,tf_col_1,16,0.7907763719558716
alt_target,tf_col_1,17,0.7845392227172852
alt_target,tf_col_1,18,0.8425560593605042
alt_target,tf_col_1,19,0.8028296828269958
alt_target,tf_col_1,20,0.8416441082954407
alt_target,tf_col_1,21,0.7855200171470642
alt_target,tf_col_1,22,0.8374975323677063
alt_target,tf_col_1,23,0.8421918153762817
alt_target,tf_col_1,24,0.8038269877433777
alt_target,tf_col_1,25,0.8010476231575012
alt_target,tf_col_1,26,0.8058156967163086
alt_target,tf_col_1,27,0.8129336833953857
alt_target,tf_col_1,28,0.7803937196731567
alt_target,tf_col_1,29,0.8099107146263123
row_shuffle,tf_row_1,0,1.0
row_shuffle,tf_row_1,20,0.9999832510948181
row_shuffle,tf_row_1,40,0.9999829530715942
row_shuffle,tf_row_1,60,0.9999828934669495
row_shuffle,tf_row_1,80,0.9999837875366211
row_shuffle,tf_row_1,100,0.9999832510948181
row_shuffle,tf_row_1,120,0.9999833703041077
row_shuffle,tf_row_1,140,0.9999837875366211
row_shuffle,tf_row_1,160,0.9999836683273315
row_shuffle,tf_row_1,180,0.9999829530715942
row_shuffle,tf_row_1,200,0.9999831914901733
row_shuffle,tf_row_1,220,0.9999831914901733
row_shuffle,tf_row_1,240,0.9999836087226868
row_shuffle,tf_row_1,260,0.9999837875366211
row_shuffle,tf_row_1,280,0.9999834299087524
row_shuffle,tf_row_1,300,0.9999822974205017
row_shuffle,tf_row_1,320,0.9999836087226868
row_shuffle,tf_row_1,340,0.9999832510948181
row_shuffle,tf_row_1,360,0.9999822974205017
row_shuffle,tf_row_1,381,0.999982476234436
col_shuffle,tf_row_1,0,1.0
col_shuffle,tf_row_1,1,0.9999366998672485
col_shuffle,tf_row_1,3,0.9984330534934998
col_shuffle,tf_row_1,4,0.9983074069023132
col_shuffle,tf_row_1,6,0.9976050853729248
col_shuffle,tf_row_1,7,0.9980863332748413
col_shuffle,tf_row_1,9,0.9983475208282471
col_shuffle,tf_row_1,11,0.9984961748123169
col_shuffle,tf_row_1,12,0.9963289499282837
col_shuffle,tf_row_1,14,0.996297299861908
col_shuffle,tf_row_1,15,0.9967227578163147
col_shuffle,tf_row_1,17,0.9952863454818726
col_shuffle,tf_row_1,18,0.9958346486091614
col_shuffle,tf_row_1,20,0.9967281222343445
col_shuffle,tf_row_1,22,0.996922492980957
col_shuffle,tf_row_1,23,0.9972161054611206
col_shuffle,tf_row_1,25,0.9977658987045288
col_shuffle,tf_row_1,26,0.995894193649292
col_shuffle,tf_row_1,28,0.9959298968315125
col_shuffle,tf_row_1,30,0.9960176348686218
random_labels,tf_row_1,0,1.0
random_labels,tf_row_1,20,0.9949520826339722
random_labels,tf_row_1,40,0.9815220832824707
random_labels,tf_row_1,60,0.9654330015182495
random_labels,tf_row_1,80,0.9655044078826904
random_labels,tf_row_1,100,0.9491394758224487
random_labels,tf_row_1,120,0.9551607370376587
random_labels,tf_row_1,140,0.9432519674301147
random_labels,tf_row_1,160,0.9317711591720581
random_labels,tf_row_1,180,0.9005403518676758
random_labels,tf_row_1,200,0.891977846622467
random_labels,tf_row_1,220,0.900097131729126
random_labels,tf_row_1,240,0.8870077133178711
random_labels,tf_row_1,260,0.8920018672943115
random_labels,tf_row_1,280,0.8484641313552856
random_labels,tf_row_1,300,0.83238285779953
random_labels,tf_row_1,320,0.8585411310195923
random_labels,tf_row_1,340,0.794233500957489
random_labels,tf_row_1,360,0.8052421808242798
random_labels,tf_row_1,381,0.7569706439971924
col_remove,tf_row_1,0,1.0
col_remove,tf_row_1,1,0.995313286781311
col_remove,tf_row_1,3,0.9978090524673462
col_remove,tf_row_1,4,0.9944063425064087
col_remove,tf_row_1,6,0.9910076260566711
col_remove,tf_row_1,7,0.9909064769744873
col_remove,tf_row_1,9,0.9896475076675415
col_remove,tf_row_1,10,0.9856184124946594
col_remove,tf_row_1,12,0.9818105697631836
col_remove,tf_row_1,13,0.9724850058555603
col_remove,tf_row_1,15,0.9613261222839355
col_remove,tf_row_1,16,0.9441410899162292
col_remove,tf_row_1,18,0.9599748849868774
col_remove,tf_row_1,19,0.95758056640625
col_remove,tf_row_1,21,0.9520519971847534
col_remove,tf_row_1,22,0.8813544511795044
col_remove,tf_row_1,24,0.900412380695343
col_remove,tf_row_1,25,0.8413358926773071
col_remove,tf_row_1,27,0.8448984622955322
col_remove,tf_row_1,29,0.7466135025024414
row_remove,tf_row_1,0,1.0
row_remove,tf_row_1,19,0.9987959265708923
row_remove,tf_row_1,39,0.997872531414032
row_remove,tf_row_1,59,0.9973878860473633
row_remove,tf_row_1,79,0.9956260919570923
row_remove,tf_row_1,99,0.9948762655258179
row_remove,tf_row_1,119,0.9924707412719727
row_remove,tf_row_1,139,0.9861706495285034
row_remove,tf_row_1,159,0.988894522190094
row_remove,tf_row_1,179,0.9870207905769348
row_remove,tf_row_1,199,0.9840469360351562
row_remove,tf_row_1,219,0.9805782437324524
row_remove,tf_row_1,239,0.9728981256484985
row_remove,tf_row_1,259,0.9697393178939819
row_remove,tf_row_1,279,0.9598153233528137
row_remove,tf_row_1,299,0.9487113952636719
row_remove,tf_row_1,319,0.9152181148529053
row_remove,tf_row_1,339,0.888859748840332
row_remove,tf_row_1,359,0.8291260600090027
row_remove,tf_row_1,379,0.47233831882476807
value_noise,tf_row_1,0,1.0
value_noise,tf_row_1,601,0.9918635487556458
value_noise,tf_row_1,1203,0.9825347065925598
value_noise,tf_row_1,1804,0.9721266627311707
value_noise,tf_row_1,2406,0.965304434299469
value_noise,tf_row_1,3007,0.9552195072174072
value_noise,tf_row_1,3609,0.9425404071807861
value_noise,tf_row_1,4211,0.9330204129219055
value_noise,tf_row_1,4812,0.9293414354324341
value_noise,tf_row_1,5414,0.9150790572166443
value_noise,tf_row_1,6015,0.9058936238288879
value_noise,tf_row_1,6617,0.8911153674125671
value_noise,tf_row_1,7218,0.8817877173423767
value_noise,tf_row_1,7820,0.8672810196876526
value_noise,tf_row_1,8422,0.855047345161438
value_noise,tf_row_1,9023,0.8487707376480103
value_noise,tf_row_1,9625,0.8011693954467773
value_noise,tf_row_1,10226,0.780987024307251
value_noise,tf_row_1,10828,0.7643114328384399
value_noise,tf_row_1,11430,0.744541585445404
alt_target,tf_row_1,0,0.7506433725357056
alt_target,tf_row_1,1,0.7188626527786255
alt_target,tf_row_1,2,0.7496911883354187
alt_target,tf_row_1,3,0.7549217939376831
alt_target,tf_row_1,4,0.7406661510467529
alt_target,tf_row_1,5,0.7354846596717834
alt_target,tf_row_1,6,0.7461433410644531
alt_target,tf_row_1,7,0.7642824053764343
alt_target,tf_row_1,8,0.7401592135429382
alt_target,tf_row_1,9,0.8001434803009033
alt_target,tf_row_1,10,0.7234192490577698
alt_target,tf_row_1,11,0.7931690812110901
alt_target,tf_row_1,12,0.7275969982147217
alt_target,tf_row_1,13,0.7337821125984192
alt_target,tf_row_1,14,0.8439822793006897
alt_target,tf_row_1,15,0.7440071702003479
alt_target,tf_row_1,16,0.7396928668022156
alt_target,tf_row_1,17,0.7645106315612793
alt_target,tf_row_1,18,0.8114433884620667
alt_target,tf_row_1,19,0.752467155456543
alt_target,tf_row_1,20,0.7561811208724976
alt_target,tf_row_1,21,0.716312825679779
alt_target,tf_row_1,22,0.7541784048080444
alt_target,tf_row_1,23,0.7581129670143127
alt_target,tf_row_1,24,0.729418158531189
alt_target,tf_row_1,25,0.7320571541786194
alt_target,tf_row_1,26,0.7382835149765015
alt_target,tf_row_1,27,0.7602647542953491
alt_target,tf_row_1,28,0.7312289476394653
alt_target,tf_row_1,29,0.739032506942749
row_shuffle,tf_col_2,0,1.0
row_shuffle,tf_col_2,20,0.9999968409538269
row_shuffle,tf_col_2,40,0.999997079372406
row_shuffle,tf_col_2,60,0.9999974966049194
row_shuffle,tf_col_2,80,0.9999973177909851
row_shuffle,tf_col_2,100,0.9999973177909851
row_shuffle,tf_col_2,120,0.9999969005584717
row_shuffle,tf_col_2,140,0.9999977350234985
row_shuffle,tf_col_2,160,0.9999974966049194
row_shuffle,tf_col_2,180,0.9999962449073792
row_shuffle,tf_col_2,200,0.9999972581863403
row_shuffle,tf_col_2,220,0.9999976754188538
row_shuffle,tf_col_2,240,0.999998152256012
row_shuffle,tf_col_2,260,0.9999966025352478
row_shuffle,tf_col_2,280,0.9999961853027344
row_shuffle,tf_col_2,300,0.9999972581863403
row_shuffle,tf_col_2,320,0.9999966621398926
row_shuffle,tf_col_2,340,0.9999973177909851
row_shuffle,tf_col_2,360,0.9999964833259583
row_shuffle,tf_col_2,381,0.999997079372406
col_shuffle,tf_col_2,0,1.0
col_shuffle,tf_col_2,1,0.9999569654464722
col_shuffle,tf_col_2,3,0.9990766644477844
col_shuffle,tf_col_2,4,0.9993099570274353
col_shuffle,tf_col_2,6,0.9991500377655029
col_shuffle,tf_col_2,7,0.9983046650886536
col_shuffle,tf_col_2,9,0.9991683959960938
col_shuffle,tf_col_2,11,0.9990774989128113
col_shuffle,tf_col_2,12,0.998790979385376
col_shuffle,tf_col_2,14,0.9978936314582825
col_shuffle,tf_col_2,15,0.9974298477172852
col_shuffle,tf_col_2,17,0.9980220198631287
col_shuffle,tf_col_2,18,0.9982558488845825
col_shuffle,tf_col_2,20,0.9976038932800293
col_shuffle,tf_col_2,22,0.998421847820282
col_shuffle,tf_col_2,23,0.9976017475128174
col_shuffle,tf_col_2,25,0.9986351728439331
col_shuffle,tf_col_2,26,0.9980428218841553
col_shuffle,tf_col_2,28,0.9983561038970947
col_shuffle,tf_col_2,30,0.9975860118865967
random_labels,tf_col_2,0,1.0
random_labels,tf_col_2,20,0.9867591261863708
random_labels,tf_col_2,40,0.9709328413009644
random_labels,tf_col_2,60,0.9428114295005798
random_labels,tf_col_2,80,0.9356712102890015
random_labels,tf_col_2,100,0.920861005783081
random_labels,tf_col_2,120,0.9286417961120605
random_labels,tf_col_2,140,0.9278998970985413
random_labels,tf_col_2,160,0.9182167649269104
random_labels,tf_col_2,180,0.8942924737930298
random_labels,tf_col_2,200,0.8721586465835571
random_labels,tf_col_2,220,0.9003441333770752
random_labels,tf_col_2,240,0.896924614906311
random_labels,tf_col_2,260,0.882498562335968
random_labels,tf_col_2,280,0.8965238332748413
random_labels,tf_col_2,300,0.890720784664154
random_labels,tf_col_2,320,0.8396876454353333
random_labels,tf_col_2,340,0.865246057510376
random_labels,tf_col_2,360,0.874260425567627
random_labels,tf_col_2,381,0.8603684306144714
col_remove,tf_col_2,0,1.0
col_remove,tf_col_2,1,0.9984105825424194
col_remove,tf_col_2,3,0.9980803728103638
col_remove,tf_col_2,4,0.9954802989959717
col_remove,tf_col_2,6,0.9928445816040039
col_remove,tf_col_2,7,0.9940099716186523
col_remove,tf_col_2,9,0.9872506260871887
col_remove,tf_col_2,10,0.9838511943817139
col_remove,tf_col_2,12,0.9838287830352783
col_remove,tf_col_2,13,0.9733613133430481
col_remove,tf_col_2,15,0.9535082578659058
col_remove,tf_col_2,16,0.9489111304283142
col_remove,tf_col_2,18,0.9217021465301514
col_remove,tf_col_2,19,0.9417409896850586
col_remove,tf_col_2,21,0.8544011116027832
col_remove,tf_col_2,22,0.817801296710968
col_remove,tf_col_2,24,0.7640497088432312
