experiment,layer,level,value
row_shuffle,tf_col_1,0,1.0
row_shuffle,tf_col_1,20,0.9999995645432648
row_shuffle,tf_col_1,40,0.9999996266594797
row_shuffle,tf_col_1,60,0.9999995443292999
row_shuffle,tf_col_1,80,0.9999995918377341
row_shuffle,tf_col_1,100,0.9999995511077192
row_shuffle,tf_col_1,120,0.9999995409042796
row_shuffle,tf_col_1,140,0.9999995341826996
row_shuffle,tf_col_1,160,0.9999996396971451
row_shuffle,tf_col_1,180,0.9999995738784753
row_shuffle,tf_col_1,200,0.9999995515786887
row_shuffle,tf_col_1,220,0.9999995691285958
row_shuffle,tf_col_1,240,0.999999574246788
row_shuffle,tf_col_1,260,0.9999995433889238
row_shuffle,tf_col_1,280,0.999999564374038
row_shuffle,tf_col_1,300,0.9999995792825542
row_shuffle,tf_col_1,320,0.9999995430111419
row_shuffle,tf_col_1,340,0.9999995591480536
row_shuffle,tf_col_1,360,0.9999995348943296
row_shuffle,tf_col_1,381,0.9999995798616363
col_shuffle,tf_col_1,0,1.0
col_shuffle,tf_col_1,1,0.9999944075507929
col_shuffle,tf_col_1,3,0.9999596180526291
col_shuffle,tf_col_1,4,0.9999648261917972
col_shuffle,tf_col_1,6,0.9999383933244124
col_shuffle,tf_col_1,7,0.9999592001478257
col_shuffle,tf_col_1,9,0.9999412674704976
col_shuffle,tf_col_1,11,0.9999393711862741
col_shuffle,tf_col_1,12,0.9999411002538562
col_shuffle,tf_col_1,14,0.9999161048712346
col_shuffle,tf_col_1,15,0.9999254246559789
col_shuffle,tf_col_1,17,0.999887728558264
col_shuffle,tf_col_1,18,0.9998964246490104
col_shuffle,tf_col_1,20,0.9999293851161832
col_shuffle,tf_col_1,22,0.999924775543786
col_shuffle,tf_col_1,23,0.9999117743681775
col_shuffle,tf_col_1,25,0.9999114006657233
col_shuffle,tf_col_1,26,0.9998919110630698
col_shuffle,tf_col_1,28,0.9998942324977219
col_shuffle,tf_col_1,30,0.9999259914390349
random_labels,tf_col_1,0,1.0
random_labels,tf_col_1,20,0.9996866759390921
random_labels,tf_col_1,40,0.9993638351079644
random_labels,tf_col_1,60,0.9984954617713581
random_labels,tf_col_1,80,0.9976849727614431
random_labels,tf_col_1,100,0.998085782762573
random_labels,tf_col_1,120,0.9968472221940944
random_labels,tf_col_1,140,0.997008648454821
random_labels,tf_col_1,160,0.9960115188420771
random_labels,tf_col_1,180,0.9950179609805978
random_labels,tf_col_1,200,0.991680330595798
random_labels,tf_col_1,220,0.9933307697660209
random_labels,tf_col_1,240,0.9914569738332099
random_labels,tf_col_1,260,0.9909330721670084
random_labels,tf_col_1,280,0.9883695010319573
random_labels,tf_col_1,300,0.9855690392417854
random_labels,tf_col_1,320,0.9871803293549866
random_labels,tf_col_1,340,0.9850015561187795
random_labels,tf_col_1,360,0.9843845286950353
random_labels,tf_col_1,381,0.984935410807386
col_remove,tf_col_1,0,1.0
col_remove,tf_col_1,1,0.9961421109349716
col_remove,tf_col_1,3,0.9878396884222796
col_remove,tf_col_1,4,0.9788023644658046
col_remove,tf_col_1,6,0.9717144484406387
col_remove,tf_col_1,7,0.9725451481059569
col_remove,tf_col_1,9,0.9622239453455129
col_remove,tf_col_1,10,0.9628554306677475
col_remove,tf_col_1,12,0.9379726834740687
col_remove,tf_col_1,13,0.8571499649475134
col_remove,tf_col_1,15,0.8840715602559142
col_remove,tf_col_1,16,0.801945619505111
col_remove,tf_col_1,18,0.8840196954794197
col_remove,tf_col_1,19,0.8880615218741768
col_remove,tf_col_1,21,0.8631311045658198
col_remove,tf_col_1,22,0.6634511632982877
col_remove,tf_col_1,24,0.8004649393142412
col_remove,tf_col_1,25,0.5144383042950044
col_remove,tf_col_1,27,0.734482283135023
col_remove,tf_col_1,29,0.5154889986492691
row_remove,tf_col_1,0,1.0
row_remove,tf_col_1,19,0.9995666875088732
row_remove,tf_col_1,39,0.9987213391500761
row_remove,tf_col_1,59,0.9991074874829222
row_remove,tf_col_1,79,0.9972106235214169
row_remove,tf_col_1,99,0.9985222763227851
row_remove,tf_col_1,119,0.9957717410919635
row_remove,tf_col_1,139,0.9921319150072104
row_remove,tf_col_1,159,0.9932222153556994
row_remove,tf_col_1,179,0.9946504215709594
row_remove,tf_col_1,199,0.9935928549556052
row_remove,tf_col_1,219,0.9929035356644649
row_remove,tf_col_1,239,0.9743714353612195
row_remove,tf_col_1,259,0.9877301745485614
row_remove,tf_col_1,279,0.9856982971916204
row_remove,tf_col_1,299,0.9794935717394238
row_remove,tf_col_1,319,0.9482484240599103
row_remove,tf_col_1,339,0.9507860702767816
row_remove,tf_col_1,359,0.9411662423738767
row_remove,tf_col_1,379,0.8317455857398557
value_noise,tf_col_1,0,1.0
value_noise,tf_col_1,601,0.9991014177411425
value_noise,tf_col_1,1203,0.9979570569302305
value_noise,tf_col_1,1804,0.9961763618556863
value_noise,tf_col_1,2406,0.9950383331577115
value_noise,tf_col_1,3007,0.9943207678616978
value_noise,tf_col_1,3609,0.9912723098760865
value_noise,tf_col_1,4211,0.9913027667758105
value_noise,tf_col_1,4812,0.9856884577639584
value_noise,tf_col_1,5414,0.984277016627345
value_noise,tf_col_1,6015,0.9818966240191923
value_noise,tf_col_1,6617,0.9767297160076552
value_noise,tf_col_1,7218,0.9784052926932009
value_noise,tf_col_1,7820,0.9742886105892722
value_noise,tf_col_1,8422,0.9704568180837377
value_noise,tf_col_1,9023,0.9682579503911771
value_noise,tf_col_1,9625,0.9623025430332973
value_noise,tf_col_1,10226,0.9638301998707686
value_noise,tf_col_1,10828,0.9611625332861823
