experiment,layer,level,value
row_shuffle,tf_col_1,0,3.97681739318632
row_shuffle,tf_col_1,20,3.851117276038398
row_shuffle,tf_col_1,40,3.85425840366631
row_shuffle,tf_col_1,60,3.8503934126898667
row_shuffle,tf_col_1,80,3.853748948720768
row_shuffle,tf_col_1,100,3.853253939380596
row_shuffle,tf_col_1,120,3.852314150510704
row_shuffle,tf_col_1,140,3.8504819662296335
row_shuffle,tf_col_1,160,3.8505590424391065
row_shuffle,tf_col_1,180,3.850670550639461
row_shuffle,tf_col_1,200,3.8472388288816095
row_shuffle,tf_col_1,220,3.8500804575543546
row_shuffle,tf_col_1,240,3.852085329483179
row_shuffle,tf_col_1,260,3.8498336949530376
row_shuffle,tf_col_1,280,3.850497500202531
row_shuffle,tf_col_1,300,3.8511202443134733
row_shuffle,tf_col_1,320,3.849940552855773
row_shuffle,tf_col_1,340,3.8510057678380427
row_shuffle,tf_col_1,360,3.851505823245844
row_shuffle,tf_col_1,381,3.8485175288035105
col_shuffle,tf_col_1,0,3.97681739318632
col_shuffle,tf_col_1,1,3.7289622279337977
col_shuffle,tf_col_1,3,3.3549776442102948
col_shuffle,tf_col_1,4,3.4129067765822123
col_shuffle,tf_col_1,6,3.290431430985767
col_shuffle,tf_col_1,7,3.316969037378232
col_shuffle,tf_col_1,9,3.2483266054799502
col_shuffle,tf_col_1,11,3.2803821940417306
col_shuffle,tf_col_1,12,3.216183764854643
col_shuffle,tf_col_1,14,3.1662636782910187
col_shuffle,tf_col_1,15,3.1897546734006674
col_shuffle,tf_col_1,17,3.1049515166167154
col_shuffle,tf_col_1,18,3.1125846747401402
col_shuffle,tf_col_1,20,3.1808495797895766
col_shuffle,tf_col_1,22,3.178179999862736
col_shuffle,tf_col_1,23,3.1642257123887383
col_shuffle,tf_col_1,25,3.170461210619521
col_shuffle,tf_col_1,26,3.123215963667266
col_shuffle,tf_col_1,28,3.1301235393206843
col_shuffle,tf_col_1,30,3.1589561814179046
random_labels,tf_col_1,0,3.97681739318632
random_labels,tf_col_1,20,2.8219631780279966
random_labels,tf_col_1,40,2.3994407033930187
random_labels,tf_col_1,60,2.0989040600920865
random_labels,tf_col_1,80,2.081266219508781
random_labels,tf_col_1,100,1.9577506095061061
random_labels,tf_col_1,120,1.8798984998396286
random_labels,tf_col_1,140,1.883206818321114
random_labels,tf_col_1,160,1.7902744496301408
random_labels,tf_col_1,180,1.738838186902107
random_labels,tf_col_1,200,1.6120915979722998
random_labels,tf_col_1,220,1.6075469459721172
random_labels,tf_col_1,240,1.5495873720080984
random_labels,tf_col_1,260,1.5485318216542363
random_labels,tf_col_1,280,1.5123305646645038
random_labels,tf_col_1,300,1.4360981442466898
random_labels,tf_col_1,320,1.444499394006523
random_labels,tf_col_1,340,1.3684673467267858
random_labels,tf_col_1,360,1.3202949520185403
random_labels,tf_col_1,381,1.2982054517419939
col_remove,tf_col_1,0,3.97681739318632
col_remove,tf_col_1,1,2.645625904873003
col_remove,tf_col_1,3,2.078714170152973
col_remove,tf_col_1,4,1.8461828660121027
col_remove,tf_col_1,6,1.6370695823721884
col_remove,tf_col_1,7,1.6253923755278188
col_remove,tf_col_1,9,1.4278635992758906
col_remove,tf_col_1,10,1.4447635017825555
col_remove,tf_col_1,12,1.2345111683921468
col_remove,tf_col_1,13,0.986545043076647
col_remove,tf_col_1,15,0.9892229382818087
col_remove,tf_col_1,16,0.8235660908113929
col_remove,tf_col_1,18,0.9440472401311523
col_remove,tf_col_1,19,0.9152558716770132
col_remove,tf_col_1,21,0.8289327864556266
col_remove,tf_col_1,22,0.5043672854010499
col_remove,tf_col_1,24,0.6443600924873122
col_remove,tf_col_1,25,0.29498563634176767
col_remove,tf_col_1,27,0.497166696999866
col_remove,tf_col_1,29,0.3457508467587107
row_remove,tf_col_1,0,3.97681739318632
row_remove,tf_col_1,19,2.838384362775253
row_remove,tf_col_1,39,2.405153260052988
row_remove,tf_col_1,59,2.4931165672251936
row_remove,tf_col_1,79,2.179537494917712
row_remove,tf_col_1,99,2.2367450718878947
row_remove,tf_col_1,119,1.9684300360706009
row_remove,tf_col_1,139,1.6906481893400218
row_remove,tf_col_1,159,1.7225628231351449
row_remove,tf_col_1,179,1.7083856047586368
row_remove,tf_col_1,199,1.7449228945022448
row_remove,tf_col_1,219,1.6756325610589295
row_remove,tf_col_1,239,1.2599757390219999
row_remove,tf_col_1,259,1.4092770131093857
row_remove,tf_col_1,279,1.350138494637894
row_remove,tf_col_1,299,1.1756508171682325
row_remove,tf_col_1,319,0.7477686017531275
row_remove,tf_col_1,339,0.7541865311048224
row_remove,tf_col_1,359,0.7135012012888609
row_remove,tf_col_1,379,0.2424130903596546
value_noise,tf_col_1,0,3.97681739318632
value_noise,tf_col_1,601,2.411955646288262
value_noise,tf_col_1,1203,2.0564275687288087
value_noise,tf_col_1,1804,1.8330644101942206
value_noise,tf_col_1,2406,1.7528649478581873
value_noise,tf_col_1,3007,1.6272090549778653
value_noise,tf_col_1,3609,1.5492713274278445
value_noise,tf_col_1,4211,1.4518778530000689
value_noise,tf_col_1,4812,1.3688917960474374
value_noise,tf_col_1,5414,1.317264416017517
value_noise,tf_col_1,6015,1.253071066774821
value_noise,tf_col_1,6617,1.1707421998053102
value_noise,tf_col_1,7218,1.1671936845549464
value_noise,tf_col_1,7820,1.0869483233822264
value_noise,tf_col_1,8422,1.0423120691005305
value_noise,tf_col_1,9023,0.9650805075871433
value_noise,tf_col_1,9625,0.9531466417291024
value_noise,tf_col_1,10226,0.8994821121140189
value_noise,tf_col_1,10828,0.8597322997853916
value_noise,tf_col_1,11430,0.8285456523928275
alt_target,tf_col_1,0,1.1569266916812575
alt_target,tf_col_1,1,1.1476781940698002
alt_target,tf_col_1,2,1.158446273537613
alt_target,tf_col_1,3,1.1774319894439036
alt_target,tf_col_1,4,1.1200395826194511
alt_target,tf_col_1,5,1.0998756872667146
alt_target,tf_col_1,6,1.1297456759619142
alt_target,tf_col_1,7,1.1524817495650728
alt_target,tf_col_1,8,1.1093509112577746
alt_target,tf_col_1,9,1.2005946027779586
alt_target,tf_col_1,10,1.1488819632105356
alt_target,tf_col_1,11,1.2323128132811445
alt_target,tf_col_1,12,1.148354154020657
alt_target,tf_col_1,13,1.174149344772648
alt_target,tf_col_1,14,1.2346891816832213
alt_target,tf_col_1,15,1.1149709464889817
alt_target,tf_col_1,16,1.1275504018698967
alt_target,tf_col_1,17,1.1283358000814885
alt_target,tf_col_1,18,1.2465280659016926
alt_target,tf_col_1,19,1.114555441729927
alt_target,tf_col_1,20,1.1526788527086187
alt_target,tf_col_1,21,1.1445174364336554
alt_target,tf_col_1,22,1.1567971969377517
alt_target,tf_col_1,23,1.1641771068548334
alt_target,tf_col_1,24,1.118962096014147
alt_target,tf_col_1,25,1.1278692217279551
alt_target,tf_col_1,26,1.1356092450751467
alt_target,tf_col_1,27,1.1372312842071486
alt_target,tf_col_1,28,1.1372165086598596
alt_target,tf_col_1,29,1.1134620722218065
row_shuffle,tf_row_1,0,3.8807442532094236
row_shuffle,tf_row_1,20,3.5667362877883795
row_shuffle,tf_row_1,40,3.5656134660359236
row_shuffle,tf_row_1,60,3.567866329645665
row_shuffle,tf_row_1,80,3.5722753062068877
row_shuffle,tf_row_1,100,3.5700690390780236
row_shuffle,tf_row_1,120,3.5673954280385836
row_shuffle,tf_row_1,140,3.576967964754483
row_shuffle,tf_row_1,160,3.5712027518718776
row_shuffle,tf_row_1,180,3.571415723449696
row_shuffle,tf_row_1,200,3.5693227191838037
row_shuffle,tf_row_1,220,3.5705869571446582
row_shuffle,tf_row_1,240,3.5749306092149364
row_shuffle,tf_row_1,260,3.572131548523709
row_shuffle,tf_row_1,280,3.575248036142507
row_shuffle,tf_row_1,300,3.5573164469976986
row_shuffle,tf_row_1,320,3.5727312366051605
row_shuffle,tf_row_1,340,3.571757922772022
row_shuffle,tf_row_1,360,3.5601401073668697
row_shuffle,tf_row_1,381,3.557844249220047
col_shuffle,tf_row_1,0,3.8807442532094236
col_shuffle,tf_row_1,1,3.318126442209142
col_shuffle,tf_row_1,3,2.3605304226856845
col_shuffle,tf_row_1,4,2.2779479748658433
col_shuffle,tf_row_1,6,2.1358911310772744
col_shuffle,tf_row_1,7,2.2413206380360005
col_shuffle,tf_row_1,9,2.2592313177230894
col_shuffle,tf_row_1,11,2.247241930751477
col_shuffle,tf_row_1,12,1.9252916950678873
col_shuffle,tf_row_1,14,1.9698244106264102
col_shuffle,tf_row_1,15,2.0210001397040473
col_shuffle,tf_row_1,17,1.8705604984425195
col_shuffle,tf_row_1,18,1.889394411504934
col_shuffle,tf_row_1,20,1.97380612497949
col_shuffle,tf_row_1,22,2.000114130633728
col_shuffle,tf_row_1,23,1.987952711056113
col_shuffle,tf_row_1,25,2.0789888919883577
col_shuffle,tf_row_1,26,1.8535630208219271
col_shuffle,tf_row_1,28,1.9112177739165341
col_shuffle,tf_row_1,30,1.9217555175638044
random_labels,tf_row_1,0,3.8807442532094236
random_labels,tf_row_1,20,1.8825296331744457
random_labels,tf_row_1,40,1.2996606527445707
random_labels,tf_row_1,60,1.0693618084919083
random_labels,tf_row_1,80,1.1098748134405874
random_labels,tf_row_1,100,0.9301513015807845
random_labels,tf_row_1,120,1.013668558762025
random_labels,tf_row_1,140,0.901663612120233
random_labels,tf_row_1,160,0.7568577861249923
random_labels,tf_row_1,180,0.596932391681766
random_labels,tf_row_1,200,0.5892714257739358
random_labels,tf_row_1,220,0.6663269765485775
random_labels,tf_row_1,240,0.5898506723591961
random_labels,tf_row_1,260,0.6467458477010124
random_labels,tf_row_1,280,0.4026215709201993
random_labels,tf_row_1,300,0.357475723815005
random_labels,tf_row_1,320,0.5376932903869039
random_labels,tf_row_1,340,0.30881894642051577
random_labels,tf_row_1,360,0.37304237245509136
random_labels,tf_row_1,381,0.2836978313391078
col_remove,tf_row_1,0,3.8807442532094236
col_remove,tf_row_1,1,1.9614992288272992
col_remove,tf_row_1,3,2.130773735698961
col_remove,tf_row_1,4,1.7310150626054919
col_remove,tf_row_1,6,1.5106415825816795
col_remove,tf_row_1,7,1.4854594237341832
col_remove,tf_row_1,9,1.4368146100477268
col_remove,tf_row_1,10,1.3036860456700847
col_remove,tf_row_1,12,1.1703844647412882
col_remove,tf_row_1,13,1.0101620160101672
col_remove,tf_row_1,15,0.9113786979655888
col_remove,tf_row_1,16,0.719301923931712
col_remove,tf_row_1,18,0.9033253903192657
col_remove,tf_row_1,19,0.870116315224978
col_remove,tf_row_1,21,0.9054923241440651
col_remove,tf_row_1,22,0.4152873063993311
col_remove,tf_row_1,24,0.5548161863890837
col_remove,tf_row_1,25,0.3137826029420069
col_remove,tf_row_1,27,0.4642053742405238
col_remove,tf_row_1,29,0.39389482920235114
row_remove,tf_row_1,0,3.8807442532094236
row_remove,tf_row_1,19,2.3838761320725768
row_remove,tf_row_1,39,2.1377829595639657
row_remove,tf_row_1,59,2.0407841757946485
row_remove,tf_row_1,79,1.8828675069970588
row_remove,tf_row_1,99,1.7757205192882215
row_remove,tf_row_1,119,1.5789225446071407
row_remove,tf_row_1,139,1.3386804839185262
row_remove,tf_row_1,159,1.479436239492562
row_remove,tf_row_1,179,1.3817776118274936
row_remove,tf_row_1,199,1.3191994212007176
