experiment,layer,level,cosine_similarity
row_shuffle,tf_col_1,0,1.0
row_shuffle,tf_col_1,63,0.9999989867210388
row_shuffle,tf_col_1,126,0.9999987483024597
row_shuffle,tf_col_1,189,0.9999987483024597
row_shuffle,tf_col_1,253,0.9999984502792358
row_shuffle,tf_col_1,316,0.9999982714653015
row_shuffle,tf_col_1,379,0.9999987483024597
row_shuffle,tf_col_1,443,0.9999985694885254
row_shuffle,tf_col_1,506,0.9999987483024597
row_shuffle,tf_col_1,569,0.9999985694885254
row_shuffle,tf_col_1,633,0.9999987483024597
row_shuffle,tf_col_1,696,0.9999987483024597
row_shuffle,tf_col_1,759,0.9999987483024597
row_shuffle,tf_col_1,823,0.9999986886978149
row_shuffle,tf_col_1,886,0.9999985694885254
row_shuffle,tf_col_1,949,0.9999982714653015
row_shuffle,tf_col_1,1013,0.9999970197677612
row_shuffle,tf_col_1,1076,0.9999985694885254
row_shuffle,tf_col_1,1139,0.9999983310699463
row_shuffle,tf_col_1,1203,0.9999985694885254
col_shuffle,tf_col_1,0,1.0
col_shuffle,tf_col_1,3,0.9999768733978271
col_shuffle,tf_col_1,6,0.9999625086784363
col_shuffle,tf_col_1,10,0.9999487996101379
col_shuffle,tf_col_1,13,0.9999240636825562
col_shuffle,tf_col_1,16,0.9999287724494934
col_shuffle,tf_col_1,20,0.9999340176582336
col_shuffle,tf_col_1,23,0.9998042583465576
col_shuffle,tf_col_1,26,0.9999130964279175
col_shuffle,tf_col_1,30,0.9998179078102112
col_shuffle,tf_col_1,33,0.9998701214790344
col_shuffle,tf_col_1,37,0.9999204874038696
col_shuffle,tf_col_1,40,0.9998711347579956
col_shuffle,tf_col_1,43,0.9998676776885986
col_shuffle,tf_col_1,47,0.9998694062232971
col_shuffle,tf_col_1,50,0.9998915791511536
col_shuffle,tf_col_1,53,0.9998039603233337
col_shuffle,tf_col_1,57,0.9998869895935059
col_shuffle,tf_col_1,60,0.9998688697814941
col_shuffle,tf_col_1,64,0.9998867511749268
random_labels,tf_col_1,0,1.0
random_labels,tf_col_1,63,0.9997912049293518
random_labels,tf_col_1,126,0.9994968175888062
random_labels,tf_col_1,189,0.9987141489982605
random_labels,tf_col_1,253,0.9972445964813232
random_labels,tf_col_1,316,0.9968587160110474
random_labels,tf_col_1,379,0.995056688785553
random_labels,tf_col_1,443,0.9921963214874268
random_labels,tf_col_1,506,0.9879442453384399
random_labels,tf_col_1,569,0.9848589897155762
random_labels,tf_col_1,633,0.9803148508071899
random_labels,tf_col_1,696,0.9784944653511047
random_labels,tf_col_1,759,0.9721143245697021
random_labels,tf_col_1,823,0.9693492650985718
random_labels,tf_col_1,886,0.9583755731582642
random_labels,tf_col_1,949,0.955413281917572
random_labels,tf_col_1,1013,0.9510931372642517
random_labels,tf_col_1,1076,0.9403507709503174
random_labels,tf_col_1,1139,0.9407299160957336
random_labels,tf_col_1,1203,0.9390738606452942
col_remove,tf_col_1,0,1.0
col_remove,tf_col_1,3,0.9996350407600403
col_remove,tf_col_1,6,0.9991523027420044
col_remove,tf_col_1,9,0.998880922794342
col_remove,tf_col_1,13,0.9982748627662659
col_remove,tf_col_1,16,0.9975080490112305
col_remove,tf_col_1,19,0.9959807991981506
col_remove,tf_col_1,23,0.9956389665603638
col_remove,tf_col_1,26,0.994759202003479
col_remove,tf_col_1,29,0.9843159317970276
col_remove,tf_col_1,33,0.9814991354942322
col_remove,tf_col_1,36,0.9884727001190186
col_remove,tf_col_1,39,0.9852500557899475
col_remove,tf_col_1,43,0.971736490726471
col_remove,tf_col_1,46,0.9833372235298157
col_remove,tf_col_1,49,0.9667494297027588
col_remove,tf_col_1,53,0.9649022221565247
col_remove,tf_col_1,56,0.9073377251625061
col_remove,tf_col_1,59,0.9234756827354431
col_remove,tf_col_1,63,0.6784489154815674
row_remove,tf_col_1,0,1.0
row_remove,tf_col_1,63,0.9999502897262573
row_remove,tf_col_1,126,0.9998857378959656
row_remove,tf_col_1,189,0.9996938109397888
row_remove,tf_col_1,252,0.9997679591178894
row_remove,tf_col_1,316,0.9994555115699768
row_remove,tf_col_1,379,0.9994782209396362
row_remove,tf_col_1,442,0.9992373585700989
row_remove,tf_col_1,505,0.9979439973831177
row_remove,tf_col_1,568,0.9980934262275696
row_remove,tf_col_1,632,0.9984831809997559
row_remove,tf_col_1,695,0.9970332980155945
row_remove,tf_col_1,758,0.9972696304321289
row_remove,tf_col_1,821,0.9956631064414978
row_remove,tf_col_1,884,0.9951891303062439
row_remove,tf_col_1,948,0.993450939655304
row_remove,tf_col_1,1011,0.9844413995742798
row_remove,tf_col_1,1074,0.9812118411064148
row_remove,tf_col_1,1137,0.9490874409675598
row_remove,tf_col_1,1201,0.3667125999927521
value_noise,tf_col_1,0,1.0
value_noise,tf_col_1,4052,0.9821450710296631
value_noise,tf_col_1,8104,0.9696558713912964
value_noise,tf_col_1,12156,0.9575497508049011
value_noise,tf_col_1,16208,0.9476126432418823
value_noise,tf_col_1,20261,0.9318687319755554
value_noise,tf_col_1,24313,0.9230231642723083
value_noise,tf_col_1,28365,0.9060014486312866
value_noise,tf_col_1,32417,0.8909462094306946
value_noise,tf_col_1,36469,0.8734202980995178
value_noise,tf_col_1,40522,0.8588823676109314
value_noise,tf_col_1,44574,0.8376830816268921
value_noise,tf_col_1,48626,0.8191277384757996
value_noise,tf_col_1,52678,0.7966864705085754
value_noise,tf_col_1,56730,0.769932746887207
value_noise,tf_col_1,60783,0.7440823912620544
value_noise,tf_col_1,64835,0.7165778279304504
value_noise,tf_col_1,68887,0.6792457103729248
value_noise,tf_col_1,72939,0.6324236989021301
value_noise,tf_col_1,76992,0.5713964104652405
alt_target,tf_col_1,0,0.771743893623352
alt_target,tf_col_1,1,0.9065508842468262
alt_target,tf_col_1,2,0.9316391944885254
alt_target,tf_col_1,3,0.9196639657020569
alt_target,tf_col_1,4,0.9037368893623352
alt_target,tf_col_1,5,0.9193536639213562
alt_target,tf_col_1,6,0.9110381007194519
alt_target,tf_col_1,7,0.8400556445121765
alt_target,tf_col_1,8,0.7908666133880615
alt_target,tf_col_1,9,0.9286558628082275
alt_target,tf_col_1,10,0.9281911849975586
alt_target,tf_col_1,11,0.92381352186203
alt_target,tf_col_1,12,0.9104096293449402
alt_target,tf_col_1,13,0.9247207641601562
alt_target,tf_col_1,14,0.9184979200363159
alt_target,tf_col_1,15,0.8463349938392639
alt_target,tf_col_1,16,0.7906304597854614
alt_target,tf_col_1,17,0.9217482209205627
alt_target,tf_col_1,18,0.9190934896469116
alt_target,tf_col_1,19,0.9244591593742371
alt_target,tf_col_1,20,0.9281468391418457
alt_target,tf_col_1,21,0.9234477281570435
alt_target,tf_col_1,22,0.9218488931655884
alt_target,tf_col_1,23,0.8338760733604431
alt_target,tf_col_1,24,0.780430793762207
alt_target,tf_col_1,25,0.9231634140014648
alt_target,tf_col_1,26,0.9233219623565674
alt_target,tf_col_1,27,0.9111126661300659
alt_target,tf_col_1,28,0.9206162691116333
alt_target,tf_col_1,29,0.9220341444015503
alt_target,tf_col_1,30,0.9263521432876587
alt_target,tf_col_1,31,0.7827320694923401
alt_target,tf_col_1,32,0.771743893623352
alt_target,tf_col_1,33,0.9278284907341003
alt_target,tf_col_1,34,0.9270743131637573
alt_target,tf_col_1,35,0.9198760390281677
alt_target,tf_col_1,36,0.9173312783241272
alt_target,tf_col_1,37,0.9166282415390015
alt_target,tf_col_1,38,0.9242599010467529
alt_target,tf_col_1,39,0.771743893623352
alt_target,tf_col_1,40,0.8061902523040771
alt_target,tf_col_1,41,0.9234178066253662
alt_target,tf_col_1,42,0.9272486567497253
alt_target,tf_col_1,43,0.9255096912384033
alt_target,tf_col_1,44,0.926568865776062
alt_target,tf_col_1,45,0.9206456542015076
alt_target,tf_col_1,46,0.92851322889328
alt_target,tf_col_1,47,0.8269116878509521
alt_target,tf_col_1,48,0.7851117849349976
alt_target,tf_col_1,49,0.900327742099762
alt_target,tf_col_1,50,0.923392653465271
alt_target,tf_col_1,51,0.9170620441436768
alt_target,tf_col_1,52,0.911902666091919
alt_target,tf_col_1,53,0.9187282919883728
alt_target,tf_col_1,54,0.9276821613311768
alt_target,tf_col_1,55,0.8719562292098999
alt_target,tf_col_1,56,0.7770702242851257
alt_target,tf_col_1,57,0.8962190747261047
alt_target,tf_col_1,58,0.9314677715301514
alt_target,tf_col_1,59,0.917783260345459
alt_target,tf_col_1,60,0.9085333943367004
alt_target,tf_col_1,61,0.9196575880050659
alt_target,tf_col_1,62,0.9182406067848206
alt_target,tf_col_1,63,0.8737733364105225
row_shuffle,tf_row_1,0,1.0
row_shuffle,tf_row_1,63,0.9999811053276062
row_shuffle,tf_row_1,126,0.9999802708625793
row_shuffle,tf_row_1,189,0.9999814033508301
row_shuffle,tf_row_1,253,0.9999812245368958
row_shuffle,tf_row_1,316,0.9999804496765137
row_shuffle,tf_row_1,379,0.9999804496765137
row_shuffle,tf_row_1,443,0.9999799728393555
row_shuffle,tf_row_1,506,0.9999786019325256
row_shuffle,tf_row_1,569,0.9999794363975525
row_shuffle,tf_row_1,633,0.9999811053276062
row_shuffle,tf_row_1,696,0.9999812841415405
row_shuffle,tf_row_1,759,0.9999805688858032
row_shuffle,tf_row_1,823,0.9999775886535645
row_shuffle,tf_row_1,886,0.9999792575836182
row_shuffle,tf_row_1,949,0.9999791383743286
row_shuffle,tf_row_1,1013,0.9999767541885376
row_shuffle,tf_row_1,1076,0.9999806880950928
row_shuffle,tf_row_1,1139,0.9999805688858032
