experiment,layer,level,value
row_shuffle,tf_col_1,0,1.0
row_shuffle,tf_col_1,63,0.9999780923317411
row_shuffle,tf_col_1,126,0.9999735678696395
row_shuffle,tf_col_1,189,0.9999750123723664
row_shuffle,tf_col_1,253,0.9999682990995021
row_shuffle,tf_col_1,316,0.9999682582231968
row_shuffle,tf_col_1,379,0.999973266355142
row_shuffle,tf_col_1,443,0.9999718634982092
row_shuffle,tf_col_1,506,0.9999759980149046
row_shuffle,tf_col_1,569,0.9999747377922499
row_shuffle,tf_col_1,633,0.9999744065011219
row_shuffle,tf_col_1,696,0.999973116208356
row_shuffle,tf_col_1,759,0.9999684356331433
row_shuffle,tf_col_1,823,0.9999736997517675
row_shuffle,tf_col_1,886,0.9999689402076816
row_shuffle,tf_col_1,949,0.9999723682262839
row_shuffle,tf_col_1,1013,0.9999746543919675
row_shuffle,tf_col_1,1076,0.9999705742464343
row_shuffle,tf_col_1,1139,0.9999681047302665
row_shuffle,tf_col_1,1203,0.9999679904278099
col_shuffle,tf_col_1,0,1.0
col_shuffle,tf_col_1,3,0.9997295192467489
col_shuffle,tf_col_1,6,0.9995897205300949
col_shuffle,tf_col_1,10,0.9994865011549827
col_shuffle,tf_col_1,13,0.9992092436241642
col_shuffle,tf_col_1,16,0.9992130402113097
col_shuffle,tf_col_1,20,0.9991028663839167
col_shuffle,tf_col_1,23,0.9989361450890469
col_shuffle,tf_col_1,26,0.9989377458112476
col_shuffle,tf_col_1,30,0.9990192500384388
col_shuffle,tf_col_1,33,0.9988420276807092
col_shuffle,tf_col_1,37,0.9990467296060285
col_shuffle,tf_col_1,40,0.998843381048293
col_shuffle,tf_col_1,43,0.998886048027335
col_shuffle,tf_col_1,47,0.9986604420993261
col_shuffle,tf_col_1,50,0.9987564329217336
col_shuffle,tf_col_1,53,0.9986697179593022
col_shuffle,tf_col_1,57,0.9987303366243644
col_shuffle,tf_col_1,60,0.9987408070415628
col_shuffle,tf_col_1,64,0.9988943475345962
random_labels,tf_col_1,0,1.0
random_labels,tf_col_1,63,0.997938648571915
random_labels,tf_col_1,126,0.9973962452761952
random_labels,tf_col_1,189,0.9956169913934396
random_labels,tf_col_1,253,0.991293384734615
random_labels,tf_col_1,316,0.9896927771502929
random_labels,tf_col_1,379,0.9846275161093506
random_labels,tf_col_1,443,0.9789081776865147
random_labels,tf_col_1,506,0.9708684905374971
random_labels,tf_col_1,569,0.9645891917856189
random_labels,tf_col_1,633,0.9582549108317356
random_labels,tf_col_1,696,0.957015736985205
random_labels,tf_col_1,759,0.9518758008966502
random_labels,tf_col_1,823,0.9370023683626707
random_labels,tf_col_1,886,0.9184415844282285
random_labels,tf_col_1,949,0.9182671529111157
random_labels,tf_col_1,1013,0.9162723582716149
random_labels,tf_col_1,1076,0.8979092818323271
random_labels,tf_col_1,1139,0.8995128520348705
random_labels,tf_col_1,1203,0.8966477146840149
col_remove,tf_col_1,0,1.0
col_remove,tf_col_1,3,0.9636283139422724
col_remove,tf_col_1,6,0.9332068293394985
col_remove,tf_col_1,9,0.9034736704625368
col_remove,tf_col_1,13,0.8680379988742711
col_remove,tf_col_1,16,0.7973128965129305
col_remove,tf_col_1,19,0.7605955459157269
col_remove,tf_col_1,23,0.736564144886708
col_remove,tf_col_1,26,0.664743593756948
col_remove,tf_col_1,29,0.7280362280223984
col_remove,tf_col_1,33,0.6275564284272519
col_remove,tf_col_1,36,0.5090704765881118
col_remove,tf_col_1,39,0.4556767466194656
col_remove,tf_col_1,43,0.4618997995398069
col_remove,tf_col_1,46,0.4045740504804919
col_remove,tf_col_1,49,0.37906690137032095
col_remove,tf_col_1,53,0.31787120459516977
col_remove,tf_col_1,56,0.19297378680200813
col_remove,tf_col_1,59,0.2846777722178689
col_remove,tf_col_1,63,0.16607848425655433
row_remove,tf_col_1,0,1.0
row_remove,tf_col_1,63,0.9985531662862466
row_remove,tf_col_1,126,0.9971129504227484
row_remove,tf_col_1,189,0.9967084662576557
row_remove,tf_col_1,252,0.9953489377985021
row_remove,tf_col_1,316,0.9885121082919953
row_remove,tf_col_1,379,0.9905285509581293
row_remove,tf_col_1,442,0.9899785520030323
row_remove,tf_col_1,505,0.9878743301898492
row_remove,tf_col_1,568,0.9861542662915087
row_remove,tf_col_1,632,0.9773697471782358
row_remove,tf_col_1,695,0.9729576647800496
row_remove,tf_col_1,758,0.9683639262454072
row_remove,tf_col_1,821,0.9581617558091235
row_remove,tf_col_1,884,0.9616869151777618
row_remove,tf_col_1,948,0.9515039732962409
row_remove,tf_col_1,1011,0.9178476869356231
row_remove,tf_col_1,1074,0.9041454943536729
row_remove,tf_col_1,1137,0.8098802828450617
row_remove,tf_col_1,1201,0.24684195468973422
value_noise,tf_col_1,0,1.0
value_noise,tf_col_1,4052,0.9937790991865716
value_noise,tf_col_1,8104,0.988761785767068
value_noise,tf_col_1,12156,0.983253931551598
value_noise,tf_col_1,16208,0.9802655970524127
value_noise,tf_col_1,20261,0.9739365351321384
value_noise,tf_col_1,24313,0.9704644688052437
value_noise,tf_col_1,28365,0.963092298577687
value_noise,tf_col_1,32417,0.9583709005729114
value_noise,tf_col_1,36469,0.9492242090796855
value_noise,tf_col_1,40522,0.9409006378521575
value_noise,tf_col_1,44574,0.9311709697085833
value_noise,tf_col_1,48626,0.9137734665163045
value_noise,tf_col_1,52678,0.9076765238816209
value_noise,tf_col_1,56730,0.8829806374569461
value_noise,tf_col_1,60783,0.8606299790119193
value_noise,tf_col_1,64835,0.8403385453238112
value_noise,tf_col_1,68887,0.8083031178363516
value_noise,tf_col_1,72939,0.7554713873097394
value_noise,tf_col_1,76992,0.7299766513037655
alt_target,tf_col_1,0,0.8910241033725086
alt_target,tf_col_1,1,0.874711834312166
alt_target,tf_col_1,2,0.8191841690747398
alt_target,tf_col_1,3,0.8752277485119312
alt_target,tf_col_1,4,0.871574197845457
alt_target,tf_col_1,5,0.8380472736096171
alt_target,tf_col_1,6,0.8421775088923503
alt_target,tf_col_1,7,0.9007548556691565
alt_target,tf_col_1,8,0.8956497074388557
alt_target,tf_col_1,9,0.832960306979705
alt_target,tf_col_1,10,0.8284237540600666
alt_target,tf_col_1,11,0.8144511494061801
alt_target,tf_col_1,12,0.8797807156145196
alt_target,tf_col_1,13,0.8194455552148242
alt_target,tf_col_1,14,0.8464801621837076
alt_target,tf_col_1,15,0.9090126534078534
alt_target,tf_col_1,16,0.8928255914015653
alt_target,tf_col_1,17,0.8581076508216503
alt_target,tf_col_1,18,0.8871554920791267
alt_target,tf_col_1,19,0.8092099572499921
alt_target,tf_col_1,20,0.8912911241495687
alt_target,tf_col_1,21,0.8406676090148084
alt_target,tf_col_1,22,0.9121442420488027
alt_target,tf_col_1,23,0.9145675076436514
alt_target,tf_col_1,24,0.8909569906946588
alt_target,tf_col_1,25,0.885064058190862
alt_target,tf_col_1,26,0.8465776704146677
alt_target,tf_col_1,27,0.8984244900083899
alt_target,tf_col_1,28,0.8672093326723975
alt_target,tf_col_1,29,0.8929668318484941
alt_target,tf_col_1,30,0.9178371861962915
alt_target,tf_col_1,31,0.8927423750139551
alt_target,tf_col_1,32,0.8910241033725086
alt_target,tf_col_1,33,0.8393974575157204
alt_target,tf_col_1,34,0.8252389930339744
alt_target,tf_col_1,35,0.8366881641199739
alt_target,tf_col_1,36,0.8687998276302443
alt_target,tf_col_1,37,0.8824536812125243
alt_target,tf_col_1,38,0.8975723023919645
alt_target,tf_col_1,39,0.8910241033725086
alt_target,tf_col_1,40,0.8948225716083854
alt_target,tf_col_1,41,0.8321557613136285
alt_target,tf_col_1,42,0.8202878016590296
alt_target,tf_col_1,43,0.8082838968465463
alt_target,tf_col_1,44,0.8454562317200067
alt_target,tf_col_1,45,0.8684633022128686
alt_target,tf_col_1,46,0.839479049117295
alt_target,tf_col_1,47,0.869678429433211
alt_target,tf_col_1,48,0.8916620224317361
alt_target,tf_col_1,49,0.8917435376652568
alt_target,tf_col_1,50,0.8826619930708987
alt_target,tf_col_1,51,0.8388005902298774
alt_target,tf_col_1,52,0.8748956136579435
alt_target,tf_col_1,53,0.8542857941632919
alt_target,tf_col_1,54,0.8609453884492229
alt_target,tf_col_1,55,0.9117082939043454
alt_target,tf_col_1,56,0.8910717829950652
alt_target,tf_col_1,57,0.8924435735274027
alt_target,tf_col_1,58,0.8078629145573385
alt_target,tf_col_1,59,0.84338635056223
alt_target,tf_col_1,60,0.8758239846394404
alt_target,tf_col_1,61,0.8789053192778825
alt_target,tf_col_1,62,0.8892596484112653
alt_target,tf_col_1,63,0.9305690388665538
row_shuffle,tf_row_1,0,1.0
