experiment,layer,level,value
row_shuffle,tf_col_1,0,5.127219923447511
row_shuffle,tf_col_1,63,4.212806598925784
row_shuffle,tf_col_1,126,4.162860984389839
row_shuffle,tf_col_1,189,4.184585841435484
row_shuffle,tf_col_1,253,4.115596987786517
row_shuffle,tf_col_1,316,4.106707950836322
row_shuffle,tf_col_1,379,4.161631464394067
row_shuffle,tf_col_1,443,4.153857595708066
row_shuffle,tf_col_1,506,4.195733877404479
row_shuffle,tf_col_1,569,4.187714072754387
row_shuffle,tf_col_1,633,4.183825836649037
row_shuffle,tf_col_1,696,4.160114833939973
row_shuffle,tf_col_1,759,4.128901473570224
row_shuffle,tf_col_1,823,4.16881116240371
row_shuffle,tf_col_1,886,4.109795884284459
row_shuffle,tf_col_1,949,4.154017791175436
row_shuffle,tf_col_1,1013,4.172560774314712
row_shuffle,tf_col_1,1076,4.142358159594378
row_shuffle,tf_col_1,1139,4.101879510109489
row_shuffle,tf_col_1,1203,4.120379748223417
col_shuffle,tf_col_1,0,5.127219923447511
col_shuffle,tf_col_1,3,3.2603671358049873
col_shuffle,tf_col_1,6,3.0478582223173336
col_shuffle,tf_col_1,10,2.984480845242025
col_shuffle,tf_col_1,13,2.802302552289985
col_shuffle,tf_col_1,16,2.8030333414364206
col_shuffle,tf_col_1,20,2.7340749474338235
col_shuffle,tf_col_1,23,2.6397901652340394
col_shuffle,tf_col_1,26,2.6217729869938995
col_shuffle,tf_col_1,30,2.6740817528777785
col_shuffle,tf_col_1,33,2.6033448319665573
col_shuffle,tf_col_1,37,2.724573381860461
col_shuffle,tf_col_1,40,2.626953057390767
col_shuffle,tf_col_1,43,2.653838854096667
col_shuffle,tf_col_1,47,2.5489888995472585
col_shuffle,tf_col_1,50,2.608429882815688
col_shuffle,tf_col_1,53,2.522097300481631
col_shuffle,tf_col_1,57,2.587131800859547
col_shuffle,tf_col_1,60,2.591673640257109
col_shuffle,tf_col_1,64,2.6566193347242506
random_labels,tf_col_1,0,5.127219923447511
random_labels,tf_col_1,63,2.9677751525185694
random_labels,tf_col_1,126,2.791662465604287
random_labels,tf_col_1,189,2.5324389196039503
random_labels,tf_col_1,253,2.3046908983653305
random_labels,tf_col_1,316,2.204816321117547
random_labels,tf_col_1,379,2.046840815396719
random_labels,tf_col_1,443,1.8935576150516487
random_labels,tf_col_1,506,1.7303135530310667
random_labels,tf_col_1,569,1.623472275394116
random_labels,tf_col_1,633,1.5330164972853457
random_labels,tf_col_1,696,1.5044965983819554
random_labels,tf_col_1,759,1.43564566204252
random_labels,tf_col_1,823,1.3264300021672968
random_labels,tf_col_1,886,1.1736392558372795
random_labels,tf_col_1,949,1.1513521766977846
random_labels,tf_col_1,1013,1.1120655056653943
random_labels,tf_col_1,1076,0.9608331171953769
random_labels,tf_col_1,1139,0.9527187616543613
random_labels,tf_col_1,1203,0.9143785147694675
col_remove,tf_col_1,0,5.127219923447511
col_remove,tf_col_1,3,1.7851405786797212
col_remove,tf_col_1,6,1.4069104043546323
col_remove,tf_col_1,9,1.2054624809789423
col_remove,tf_col_1,13,1.0606582233705866
col_remove,tf_col_1,16,0.8496545248399213
col_remove,tf_col_1,19,0.7486499067854611
col_remove,tf_col_1,23,0.6774223281078763
col_remove,tf_col_1,26,0.5698810561773363
col_remove,tf_col_1,29,0.6218289196319842
col_remove,tf_col_1,33,0.47989553111256933
col_remove,tf_col_1,36,0.3739079974456831
col_remove,tf_col_1,39,0.30727414595164476
col_remove,tf_col_1,43,0.31292184271763973
col_remove,tf_col_1,46,0.25459266493751026
col_remove,tf_col_1,49,0.23254823566025898
col_remove,tf_col_1,53,0.16561232970250833
col_remove,tf_col_1,56,0.06789849276544355
col_remove,tf_col_1,59,0.12464301909191086
col_remove,tf_col_1,63,0.053313476670899515
row_remove,tf_col_1,0,5.127219923447511
row_remove,tf_col_1,63,2.724151967646127
row_remove,tf_col_1,126,2.433156297793154
row_remove,tf_col_1,189,2.3896289451307977
row_remove,tf_col_1,252,2.2283824227980062
row_remove,tf_col_1,316,1.8439051140649465
row_remove,tf_col_1,379,1.9185273715843256
row_remove,tf_col_1,442,1.9008705212474537
row_remove,tf_col_1,505,1.7833087166663892
row_remove,tf_col_1,568,1.7729390622986922
row_remove,tf_col_1,632,1.5342298801347067
