experiment,layer,level,value
row_shuffle,tf_col_1,0,1.0
row_shuffle,tf_col_1,6,0.999995975789227
row_shuffle,tf_col_1,12,0.9999961610117158
row_shuffle,tf_col_1,18,0.9999956550490571
row_shuffle,tf_col_1,25,0.9999968011268299
row_shuffle,tf_col_1,31,0.9999963970988937
row_shuffle,tf_col_1,37,0.9999959648962934
row_shuffle,tf_col_1,43,0.9999963291885944
row_shuffle,tf_col_1,50,0.9999961221085374
row_shuffle,tf_col_1,56,0.9999960178673161
row_shuffle,tf_col_1,62,0.9999956617422625
row_shuffle,tf_col_1,68,0.9999958116081409
row_shuffle,tf_col_1,75,0.9999954762308202
row_shuffle,tf_col_1,81,0.9999956999257951
row_shuffle,tf_col_1,87,0.9999959028849343
row_shuffle,tf_col_1,93,0.9999957892220736
row_shuffle,tf_col_1,100,0.9999959984079434
row_shuffle,tf_col_1,106,0.999995570522504
row_shuffle,tf_col_1,112,0.9999952014892586
row_shuffle,tf_col_1,119,0.9999955806233443
col_shuffle,tf_col_1,0,1.0
col_shuffle,tf_col_1,0,1.0
col_shuffle,tf_col_1,1,0.9999435917841316
col_shuffle,tf_col_1,2,0.9996633003269739
col_shuffle,tf_col_1,2,0.9997859952779599
col_shuffle,tf_col_1,3,0.9996475653540329
col_shuffle,tf_col_1,4,0.9995528858722499
col_shuffle,tf_col_1,4,0.9996467133465023
col_shuffle,tf_col_1,5,0.9996489119110149
col_shuffle,tf_col_1,6,0.999593843851573
col_shuffle,tf_col_1,6,0.9995073036797929
col_shuffle,tf_col_1,7,0.9996546735307748
col_shuffle,tf_col_1,8,0.9994966056198845
col_shuffle,tf_col_1,8,0.9995708092101158
col_shuffle,tf_col_1,9,0.9995247965665641
col_shuffle,tf_col_1,10,0.999472410510841
col_shuffle,tf_col_1,10,0.9995158232472433
col_shuffle,tf_col_1,11,0.9994211799930205
col_shuffle,tf_col_1,12,0.9996494816058453
col_shuffle,tf_col_1,13,0.9995464109106162
random_labels,tf_col_1,0,1.0
random_labels,tf_col_1,6,0.9970392580862409
random_labels,tf_col_1,12,0.9949962381132886
random_labels,tf_col_1,18,0.9943072230370771
random_labels,tf_col_1,25,0.9735127145803438
random_labels,tf_col_1,31,0.9792533997824948
random_labels,tf_col_1,37,0.9725890403490162
random_labels,tf_col_1,43,0.9688021472159785
random_labels,tf_col_1,50,0.9591820061112777
random_labels,tf_col_1,56,0.9347851428192576
random_labels,tf_col_1,62,0.9262154065759489
random_labels,tf_col_1,68,0.9254720827100196
random_labels,tf_col_1,75,0.9466914632919079
