experiment,layer,level,cosine_similarity
row_shuffle,tf_col,0,1.0
row_shuffle,tf_col,20,1.0
row_shuffle,tf_col,40,1.0
row_shuffle,tf_col,60,1.0
row_shuffle,tf_col,80,1.0
row_shuffle,tf_col,100,1.0
row_shuffle,tf_col,120,1.0
row_shuffle,tf_col,140,1.0
row_shuffle,tf_col,160,1.0
row_shuffle,tf_col,180,1.0
row_shuffle,tf_col,200,1.0
row_shuffle,tf_col,220,1.0
row_shuffle,tf_col,240,1.0
row_shuffle,tf_col,260,1.0
row_shuffle,tf_col,280,1.0
row_shuffle,tf_col,300,1.0
row_shuffle,tf_col,320,1.0
row_shuffle,tf_col,340,1.0
row_shuffle,tf_col,360,1.0
row_shuffle,tf_col,381,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,1,1.0
col_shuffle,tf_col,3,1.0
col_shuffle,tf_col,4,1.0
col_shuffle,tf_col,6,1.0
col_shuffle,tf_col,7,1.0
col_shuffle,tf_col,9,1.0
col_shuffle,tf_col,11,1.0
col_shuffle,tf_col,12,1.0
col_shuffle,tf_col,14,1.0
col_shuffle,tf_col,15,1.0
col_shuffle,tf_col,17,1.0
col_shuffle,tf_col,18,1.0
col_shuffle,tf_col,20,1.0
col_shuffle,tf_col,22,1.0
col_shuffle,tf_col,23,1.0
col_shuffle,tf_col,25,1.0
col_shuffle,tf_col,26,1.0
col_shuffle,tf_col,28,1.0
col_shuffle,tf_col,30,1.0
random_labels,tf_col,0,1.0
random_labels,tf_col,20,1.0
random_labels,tf_col,40,1.0
random_labels,tf_col,60,1.0
random_labels,tf_col,80,1.0
random_labels,tf_col,100,1.0
random_labels,tf_col,120,1.0
random_labels,tf_col,140,1.0
random_labels,tf_col,160,1.0
random_labels,tf_col,180,1.0
random_labels,tf_col,200,1.0
random_labels,tf_col,220,1.0
random_labels,tf_col,240,1.0
random_labels,tf_col,260,1.0
random_labels,tf_col,280,1.0
random_labels,tf_col,300,1.0
random_labels,tf_col,320,1.0
random_labels,tf_col,340,1.0
random_labels,tf_col,360,1.0
random_labels,tf_col,381,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,1,0.9998289346694946
col_remove,tf_col,3,0.9997672438621521
col_remove,tf_col,4,0.9996572732925415
col_remove,tf_col,6,0.999288022518158
col_remove,tf_col,7,0.9995651841163635
col_remove,tf_col,9,0.9989621043205261
col_remove,tf_col,10,0.9994901418685913
col_remove,tf_col,12,0.9986828565597534
col_remove,tf_col,13,0.9969980716705322
col_remove,tf_col,15,0.9980879426002502
col_remove,tf_col,16,0.9956403970718384
col_remove,tf_col,18,0.9896917939186096
col_remove,tf_col,19,0.9974374175071716
col_remove,tf_col,21,0.9894277453422546
col_remove,tf_col,22,0.9893472790718079
col_remove,tf_col,24,0.994642436504364
col_remove,tf_col,25,0.9832939505577087
col_remove,tf_col,27,0.9874839186668396
col_remove,tf_col,29,0.9470533132553101
row_remove,tf_col,0,1.0
row_remove,tf_col,19,0.9999856948852539
row_remove,tf_col,39,0.99993896484375
row_remove,tf_col,59,0.9999271035194397
row_remove,tf_col,79,0.9996154308319092
row_remove,tf_col,99,0.9998559951782227
row_remove,tf_col,119,0.9994466304779053
row_remove,tf_col,139,0.9987942576408386
row_remove,tf_col,159,0.9990169405937195
row_remove,tf_col,179,0.9989466667175293
row_remove,tf_col,199,0.997718095779419
row_remove,tf_col,219,0.9971389770507812
row_remove,tf_col,239,0.9942479133605957
row_remove,tf_col,259,0.9918591380119324
row_remove,tf_col,279,0.9904786944389343
row_remove,tf_col,299,0.9846184849739075
row_remove,tf_col,319,0.9556805491447449
row_remove,tf_col,339,0.8876941800117493
row_remove,tf_col,359,0.8580812215805054
row_remove,tf_col,379,0.3817102909088135
value_noise,tf_col,0,1.0
value_noise,tf_col,601,0.999890923500061
value_noise,tf_col,1203,0.9991282224655151
value_noise,tf_col,1804,0.9979246258735657
value_noise,tf_col,2406,0.9954085946083069
value_noise,tf_col,3007,0.9938567280769348
value_noise,tf_col,3609,0.9907635450363159
value_noise,tf_col,4211,0.9877082109451294
value_noise,tf_col,4812,0.9816102385520935
value_noise,tf_col,5414,0.9755677580833435
value_noise,tf_col,6015,0.9714498519897461
value_noise,tf_col,6617,0.962743878364563
value_noise,tf_col,7218,0.9630930423736572
value_noise,tf_col,7820,0.9465528726577759
value_noise,tf_col,8422,0.9341609477996826
value_noise,tf_col,9023,0.9024125933647156
value_noise,tf_col,9625,0.8956549763679504
value_noise,tf_col,10226,0.8636838793754578
value_noise,tf_col,10828,0.8752526640892029
value_noise,tf_col,11430,0.8575601577758789
row_shuffle,tf_row,0,1.0
row_shuffle,tf_row,20,1.0
row_shuffle,tf_row,40,1.0
row_shuffle,tf_row,60,1.0
row_shuffle,tf_row,80,1.0
row_shuffle,tf_row,100,1.0
row_shuffle,tf_row,120,1.0
row_shuffle,tf_row,140,1.0
row_shuffle,tf_row,160,1.0
row_shuffle,tf_row,180,1.0
row_shuffle,tf_row,200,1.0
row_shuffle,tf_row,220,1.0
row_shuffle,tf_row,240,1.0
row_shuffle,tf_row,260,1.0
row_shuffle,tf_row,280,1.0
row_shuffle,tf_row,300,1.0
row_shuffle,tf_row,320,1.0
row_shuffle,tf_row,340,1.0
row_shuffle,tf_row,360,1.0
row_shuffle,tf_row,381,1.0
col_shuffle,tf_row,0,1.0
col_shuffle,tf_row,1,0.9882041215896606
col_shuffle,tf_row,3,0.9305548071861267
col_shuffle,tf_row,4,0.9237605929374695
