experiment,layer,level,value
row_shuffle,tf_col_early,0,1.0
row_shuffle,tf_col_early,5,0.9999999999999968
row_shuffle,tf_col_early,10,0.9999999999999976
row_shuffle,tf_col_early,15,0.9999999999999943
row_shuffle,tf_col_early,21,0.9999999999999976
row_shuffle,tf_col_early,26,0.9999999999999972
row_shuffle,tf_col_early,31,0.9999999999999942
row_shuffle,tf_col_early,36,0.9999999999999969
row_shuffle,tf_col_early,42,0.9999999999999949
row_shuffle,tf_col_early,47,0.9999999999999978
row_shuffle,tf_col_early,52,0.9999999999999936
row_shuffle,tf_col_early,57,0.999999999999987
row_shuffle,tf_col_early,63,0.9999999999999963
row_shuffle,tf_col_early,68,0.999999999999993
row_shuffle,tf_col_early,73,0.999999999999996
row_shuffle,tf_col_early,78,0.9999999999999962
row_shuffle,tf_col_early,84,0.9999999999999897
row_shuffle,tf_col_early,89,0.9999999999999948
row_shuffle,tf_col_early,94,0.9999999999999979
row_shuffle,tf_col_early,100,0.9999999999999956
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,1,0.9999999999999999
col_shuffle,tf_col_early,1,0.9999999999999998
col_shuffle,tf_col_early,1,0.9999999999999999
col_shuffle,tf_col_early,1,0.9999999999999998
col_shuffle,tf_col_early,1,0.9999999999999999
col_shuffle,tf_col_early,2,0.9999999999999998
col_shuffle,tf_col_early,2,0.9999999999999998
col_shuffle,tf_col_early,2,0.9999999999999998
col_shuffle,tf_col_early,2,1.0
col_shuffle,tf_col_early,2,0.9999999999999999
col_shuffle,tf_col_early,3,0.9999999999999999
col_shuffle,tf_col_early,3,0.9999999999999998
col_shuffle,tf_col_early,3,0.9999999999999999
col_shuffle,tf_col_early,3,0.9999999999999998
col_shuffle,tf_col_early,4,0.9999999999999999
random_labels,tf_col_early,0,1.0
random_labels,tf_col_early,5,1.0
random_labels,tf_col_early,10,1.0
random_labels,tf_col_early,15,1.0
random_labels,tf_col_early,21,1.0
random_labels,tf_col_early,26,1.0
random_labels,tf_col_early,31,1.0
random_labels,tf_col_early,36,1.0
random_labels,tf_col_early,42,1.0
random_labels,tf_col_early,47,1.0
random_labels,tf_col_early,52,1.0
random_labels,tf_col_early,57,1.0
random_labels,tf_col_early,63,1.0
random_labels,tf_col_early,68,1.0
random_labels,tf_col_early,73,1.0
random_labels,tf_col_early,78,1.0
random_labels,tf_col_early,84,1.0
random_labels,tf_col_early,89,1.0
random_labels,tf_col_early,94,1.0
random_labels,tf_col_early,100,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,1,0.8714201117791283
col_remove,tf_col_early,1,0.8542364431890167
col_remove,tf_col_early,1,0.9580772830387765
col_remove,tf_col_early,1,0.8714201117791283
col_remove,tf_col_early,1,0.8714201117791283
col_remove,tf_col_early,1,0.9580772830387765
col_remove,tf_col_early,2,0.6555052022015099
col_remove,tf_col_early,2,0.8023002723619198
col_remove,tf_col_early,2,0.6555052022015099
col_remove,tf_col_early,2,0.58039284563595
col_remove,tf_col_early,2,0.33396830864017396
col_remove,tf_col_early,2,0.7369270153900016
col_remove,tf_col_early,3,0.8079142727229016
row_remove,tf_col_early,0,1.0
row_remove,tf_col_early,5,0.9994774638370033
row_remove,tf_col_early,10,0.9996672048749881
row_remove,tf_col_early,15,0.9992806626963745
row_remove,tf_col_early,20,0.9973078835882896
row_remove,tf_col_early,25,0.9950916441307441
row_remove,tf_col_early,30,0.9970668348693713
row_remove,tf_col_early,36,0.9956722552971728
row_remove,tf_col_early,41,0.9983632665655356
row_remove,tf_col_early,46,0.9960726197959762
row_remove,tf_col_early,51,0.995087183160527
row_remove,tf_col_early,56,0.992015578192206
row_remove,tf_col_early,61,0.9835043369586247
row_remove,tf_col_early,67,0.9940890675078641
row_remove,tf_col_early,72,0.9731422923317681
row_remove,tf_col_early,77,0.9785626371247034
row_remove,tf_col_early,82,0.9964628994446054
row_remove,tf_col_early,87,0.983752274373933
row_remove,tf_col_early,92,0.9834504696411878
row_remove,tf_col_early,98,0.7446382988507775
value_noise,tf_col_early,0,1.0
value_noise,tf_col_early,21,0.9996600751660307
value_noise,tf_col_early,42,0.9988904607384265
value_noise,tf_col_early,63,0.9982110821061706
value_noise,tf_col_early,84,0.998559032596376
value_noise,tf_col_early,105,0.9961569276039443
value_noise,tf_col_early,126,0.9945734812308236
value_noise,tf_col_early,147,0.9841333239430514
value_noise,tf_col_early,168,0.9894202332654097
value_noise,tf_col_early,189,0.9878178488187077
value_noise,tf_col_early,210,0.9963594460608017
value_noise,tf_col_early,231,0.99123390315915
value_noise,tf_col_early,252,0.9910674775436281
value_noise,tf_col_early,273,0.9879915811272433
value_noise,tf_col_early,294,0.9897952567376918
value_noise,tf_col_early,315,0.9802986240905637
value_noise,tf_col_early,336,0.9802565536390104
value_noise,tf_col_early,357,0.9839803947294502
value_noise,tf_col_early,378,0.9911236986752855
value_noise,tf_col_early,400,0.9722911689714292
alt_target,tf_col_early,0,0.9580772830387765
alt_target,tf_col_early,1,0.7958222993226972
alt_target,tf_col_early,2,0.8542364431890167
alt_target,tf_col_early,3,0.8714201117791283
row_shuffle,tf_col_middle,0,1.0
row_shuffle,tf_col_middle,5,0.9999999999999968
row_shuffle,tf_col_middle,10,0.9999999999999976
row_shuffle,tf_col_middle,15,0.9999999999999943
row_shuffle,tf_col_middle,21,0.9999999999999976
row_shuffle,tf_col_middle,26,0.9999999999999972
row_shuffle,tf_col_middle,31,0.9999999999999942
