experiment,layer,level,cosine_similarity
row_shuffle,tf_col_early,0,1.0
row_shuffle,tf_col_early,6,1.0
row_shuffle,tf_col_early,12,1.0
row_shuffle,tf_col_early,18,1.0
row_shuffle,tf_col_early,25,1.0
row_shuffle,tf_col_early,31,1.0
row_shuffle,tf_col_early,37,1.0
row_shuffle,tf_col_early,43,1.0
row_shuffle,tf_col_early,50,1.0
row_shuffle,tf_col_early,56,1.0
row_shuffle,tf_col_early,62,1.0
row_shuffle,tf_col_early,68,1.0
row_shuffle,tf_col_early,75,1.0
row_shuffle,tf_col_early,81,1.0
row_shuffle,tf_col_early,87,1.0
row_shuffle,tf_col_early,93,1.0
row_shuffle,tf_col_early,100,1.0
row_shuffle,tf_col_early,106,1.0
row_shuffle,tf_col_early,112,1.0
row_shuffle,tf_col_early,119,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,1,1.0
col_shuffle,tf_col_early,2,1.0
col_shuffle,tf_col_early,2,1.0
col_shuffle,tf_col_early,3,1.0
col_shuffle,tf_col_early,4,1.0
col_shuffle,tf_col_early,4,1.0
col_shuffle,tf_col_early,5,1.0
col_shuffle,tf_col_early,6,1.0
col_shuffle,tf_col_early,6,1.0
col_shuffle,tf_col_early,7,1.0
col_shuffle,tf_col_early,8,1.0
col_shuffle,tf_col_early,8,1.0
col_shuffle,tf_col_early,9,1.0
col_shuffle,tf_col_early,10,1.0
col_shuffle,tf_col_early,10,1.0
col_shuffle,tf_col_early,11,1.0
col_shuffle,tf_col_early,12,1.0
col_shuffle,tf_col_early,13,1.0
random_labels,tf_col_early,0,1.0
random_labels,tf_col_early,6,1.0
random_labels,tf_col_early,12,1.0
random_labels,tf_col_early,18,1.0
random_labels,tf_col_early,25,1.0
random_labels,tf_col_early,31,1.0
random_labels,tf_col_early,37,1.0
random_labels,tf_col_early,43,1.0
random_labels,tf_col_early,50,1.0
random_labels,tf_col_early,56,1.0
random_labels,tf_col_early,62,1.0
random_labels,tf_col_early,68,1.0
random_labels,tf_col_early,75,1.0
random_labels,tf_col_early,81,1.0
random_labels,tf_col_early,87,1.0
random_labels,tf_col_early,93,1.0
random_labels,tf_col_early,100,1.0
random_labels,tf_col_early,106,1.0
random_labels,tf_col_early,112,1.0
random_labels,tf_col_early,119,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,1,0.9972869157791138
col_remove,tf_col_early,1,0.9976397752761841
col_remove,tf_col_early,2,0.9944055080413818
col_remove,tf_col_early,3,0.9902768135070801
col_remove,tf_col_early,3,0.9919116497039795
col_remove,tf_col_early,4,0.9843025803565979
col_remove,tf_col_early,5,0.9853215217590332
col_remove,tf_col_early,5,0.9770019054412842
col_remove,tf_col_early,6,0.973068118095398
col_remove,tf_col_early,6,0.9639878273010254
col_remove,tf_col_early,7,0.9715130925178528
col_remove,tf_col_early,8,0.9622554183006287
col_remove,tf_col_early,8,0.9562437534332275
