experiment,layer,level,cosine_similarity
row_shuffle,tf_col_early,0,1.0
row_shuffle,tf_col_early,20,1.0
row_shuffle,tf_col_early,40,1.0
row_shuffle,tf_col_early,60,1.0
row_shuffle,tf_col_early,80,1.0
row_shuffle,tf_col_early,100,1.0
row_shuffle,tf_col_early,120,1.0
row_shuffle,tf_col_early,140,1.0
row_shuffle,tf_col_early,160,1.0
row_shuffle,tf_col_early,180,1.0
row_shuffle,tf_col_early,200,1.0
row_shuffle,tf_col_early,220,1.0
row_shuffle,tf_col_early,240,1.0
row_shuffle,tf_col_early,260,1.0
row_shuffle,tf_col_early,280,1.0
row_shuffle,tf_col_early,300,1.0
row_shuffle,tf_col_early,320,1.0
row_shuffle,tf_col_early,340,1.0
row_shuffle,tf_col_early,360,1.0
row_shuffle,tf_col_early,381,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,1,0.9999738931655884
col_shuffle,tf_col_early,3,0.9997156262397766
col_shuffle,tf_col_early,4,0.9997876882553101
col_shuffle,tf_col_early,6,0.9997578859329224
col_shuffle,tf_col_early,7,0.9997379779815674
col_shuffle,tf_col_early,9,0.9987258315086365
col_shuffle,tf_col_early,11,0.9986065626144409
col_shuffle,tf_col_early,12,0.998091459274292
col_shuffle,tf_col_early,14,0.9993375539779663
col_shuffle,tf_col_early,15,0.9988778233528137
col_shuffle,tf_col_early,17,0.9990054965019226
col_shuffle,tf_col_early,18,0.9992541074752808
col_shuffle,tf_col_early,20,0.9992735981941223
col_shuffle,tf_col_early,22,0.9980705976486206
col_shuffle,tf_col_early,23,0.9989638924598694
col_shuffle,tf_col_early,25,0.999257504940033
col_shuffle,tf_col_early,26,0.9989498853683472
col_shuffle,tf_col_early,28,0.9983112812042236
col_shuffle,tf_col_early,30,0.9993044137954712
random_labels,tf_col_early,0,1.0
random_labels,tf_col_early,20,0.9996474385261536
random_labels,tf_col_early,40,0.998537003993988
random_labels,tf_col_early,60,0.9944549202919006
random_labels,tf_col_early,80,0.9932684302330017
random_labels,tf_col_early,100,0.9900053143501282
random_labels,tf_col_early,120,0.9877912402153015
random_labels,tf_col_early,140,0.9832288026809692
random_labels,tf_col_early,160,0.9791091084480286
random_labels,tf_col_early,180,0.976049542427063
random_labels,tf_col_early,200,0.9646731615066528
random_labels,tf_col_early,220,0.9585852026939392
random_labels,tf_col_early,240,0.951647162437439
random_labels,tf_col_early,260,0.9528735280036926
random_labels,tf_col_early,280,0.9490392208099365
random_labels,tf_col_early,300,0.9385889172554016
random_labels,tf_col_early,320,0.9299153089523315
random_labels,tf_col_early,340,0.916864275932312
random_labels,tf_col_early,360,0.9135094285011292
random_labels,tf_col_early,381,0.9112975597381592
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,1,0.9990901350975037
col_remove,tf_col_early,3,0.9968985915184021
col_remove,tf_col_early,4,0.9951300024986267
col_remove,tf_col_early,6,0.9925197958946228
col_remove,tf_col_early,7,0.993033766746521
col_remove,tf_col_early,9,0.9885489344596863
col_remove,tf_col_early,10,0.9923627376556396
col_remove,tf_col_early,12,0.9813054800033569
col_remove,tf_col_early,13,0.9610783457756042
col_remove,tf_col_early,15,0.9670067429542542
col_remove,tf_col_early,16,0.9472678899765015
col_remove,tf_col_early,18,0.9497811198234558
col_remove,tf_col_early,19,0.970784068107605
col_remove,tf_col_early,21,0.9437670707702637
col_remove,tf_col_early,22,0.9014580845832825
col_remove,tf_col_early,24,0.9378410577774048
col_remove,tf_col_early,25,0.8469839096069336
col_remove,tf_col_early,27,0.9086882472038269
col_remove,tf_col_early,29,0.7512020468711853
row_remove,tf_col_early,0,1.0
row_remove,tf_col_early,19,0.9999430775642395
row_remove,tf_col_early,39,0.9996771216392517
row_remove,tf_col_early,59,0.9995870590209961
row_remove,tf_col_early,79,0.9992462396621704
row_remove,tf_col_early,99,0.9991716146469116
row_remove,tf_col_early,119,0.9989482760429382
row_remove,tf_col_early,139,0.997359573841095
row_remove,tf_col_early,159,0.9952812194824219
row_remove,tf_col_early,179,0.9963493943214417
row_remove,tf_col_early,199,0.9975011348724365
row_remove,tf_col_early,219,0.9951524138450623
row_remove,tf_col_early,239,0.982837438583374
row_remove,tf_col_early,259,0.9889252781867981
row_remove,tf_col_early,279,0.9885016083717346
row_remove,tf_col_early,299,0.9884088635444641
row_remove,tf_col_early,319,0.9422914981842041
row_remove,tf_col_early,339,0.9291139841079712
row_remove,tf_col_early,359,0.9179065227508545
row_remove,tf_col_early,379,0.3018435537815094
value_noise,tf_col_early,0,1.0
value_noise,tf_col_early,601,0.9974064826965332
value_noise,tf_col_early,1203,0.9916566610336304
value_noise,tf_col_early,1804,0.9846139550209045
value_noise,tf_col_early,2406,0.9781568646430969
value_noise,tf_col_early,3007,0.9700867533683777
value_noise,tf_col_early,3609,0.9601453542709351
value_noise,tf_col_early,4211,0.9519186615943909
value_noise,tf_col_early,4812,0.9422282576560974
value_noise,tf_col_early,5414,0.9365905523300171
value_noise,tf_col_early,6015,0.9213722944259644
value_noise,tf_col_early,6617,0.9029889106750488
value_noise,tf_col_early,7218,0.8913252949714661
value_noise,tf_col_early,7820,0.8771573305130005
value_noise,tf_col_early,8422,0.8634327054023743
value_noise,tf_col_early,9023,0.8562067151069641
value_noise,tf_col_early,9625,0.8365437984466553
value_noise,tf_col_early,10226,0.8155988454818726
value_noise,tf_col_early,10828,0.807928204536438
value_noise,tf_col_early,11430,0.8001681566238403
alt_target,tf_col_early,0,0.9530394673347473
alt_target,tf_col_early,1,0.9298360347747803
alt_target,tf_col_early,2,0.9516590237617493
alt_target,tf_col_early,3,0.9534326195716858
alt_target,tf_col_early,4,0.9347078204154968
alt_target,tf_col_early,5,0.9397547245025635
alt_target,tf_col_early,6,0.9404914379119873
alt_target,tf_col_early,7,0.9423910975456238
alt_target,tf_col_early,8,0.9313182234764099
alt_target,tf_col_early,9,0.9529967904090881
alt_target,tf_col_early,10,0.9381150603294373
alt_target,tf_col_early,11,0.9346860647201538
alt_target,tf_col_early,12,0.9385099411010742
alt_target,tf_col_early,13,0.9417581558227539
alt_target,tf_col_early,14,0.9490578770637512
alt_target,tf_col_early,15,0.9375056624412537
alt_target,tf_col_early,16,0.9389685988426208
alt_target,tf_col_early,17,0.9372996687889099
alt_target,tf_col_early,18,0.9347726702690125
alt_target,tf_col_early,19,0.9413016438484192
alt_target,tf_col_early,20,0.9514297842979431
alt_target,tf_col_early,21,0.9297928214073181
alt_target,tf_col_early,22,0.9500698447227478
alt_target,tf_col_early,23,0.9516646862030029
alt_target,tf_col_early,24,0.9404285550117493
alt_target,tf_col_early,25,0.9430786967277527
alt_target,tf_col_early,26,0.9422029256820679
alt_target,tf_col_early,27,0.943398118019104
alt_target,tf_col_early,28,0.9301473498344421
alt_target,tf_col_early,29,0.9391391277313232
row_shuffle,tf_col_middle,0,1.0
row_shuffle,tf_col_middle,20,1.0
row_shuffle,tf_col_middle,40,1.0
row_shuffle,tf_col_middle,60,1.0
row_shuffle,tf_col_middle,80,1.0
row_shuffle,tf_col_middle,100,1.0
row_shuffle,tf_col_middle,120,1.0
row_shuffle,tf_col_middle,140,1.0
row_shuffle,tf_col_middle,160,1.0
row_shuffle,tf_col_middle,180,1.0
row_shuffle,tf_col_middle,200,1.0
row_shuffle,tf_col_middle,220,1.0
row_shuffle,tf_col_middle,240,1.0
row_shuffle,tf_col_middle,260,1.0
row_shuffle,tf_col_middle,280,1.0
row_shuffle,tf_col_middle,300,1.0
row_shuffle,tf_col_middle,320,1.0
row_shuffle,tf_col_middle,340,1.0
row_shuffle,tf_col_middle,360,1.0
row_shuffle,tf_col_middle,381,1.0
col_shuffle,tf_col_middle,0,1.0
col_shuffle,tf_col_middle,1,0.9999738931655884
col_shuffle,tf_col_middle,3,0.9997156262397766
col_shuffle,tf_col_middle,4,0.9997876882553101
col_shuffle,tf_col_middle,6,0.9997578859329224
col_shuffle,tf_col_middle,7,0.9997379779815674
col_shuffle,tf_col_middle,9,0.9987258315086365
col_shuffle,tf_col_middle,11,0.9986065626144409
col_shuffle,tf_col_middle,12,0.998091459274292
col_shuffle,tf_col_middle,14,0.9993375539779663
col_shuffle,tf_col_middle,15,0.9988778233528137
col_shuffle,tf_col_middle,17,0.9990054965019226
col_shuffle,tf_col_middle,18,0.9992541074752808
col_shuffle,tf_col_middle,20,0.9992735981941223
col_shuffle,tf_col_middle,22,0.9980705976486206
col_shuffle,tf_col_middle,23,0.9989638924598694
col_shuffle,tf_col_middle,25,0.999257504940033
col_shuffle,tf_col_middle,26,0.9989498853683472
col_shuffle,tf_col_middle,28,0.9983112812042236
col_shuffle,tf_col_middle,30,0.9993044137954712
random_labels,tf_col_middle,0,1.0
random_labels,tf_col_middle,20,0.9996474385261536
random_labels,tf_col_middle,40,0.998537003993988
random_labels,tf_col_middle,60,0.9944549202919006
random_labels,tf_col_middle,80,0.9932684302330017
random_labels,tf_col_middle,100,0.9900053143501282
random_labels,tf_col_middle,120,0.9877912402153015
random_labels,tf_col_middle,140,0.9832288026809692
random_labels,tf_col_middle,160,0.9791091084480286
random_labels,tf_col_middle,180,0.976049542427063
random_labels,tf_col_middle,200,0.9646731615066528
random_labels,tf_col_middle,220,0.9585852026939392
random_labels,tf_col_middle,240,0.951647162437439
random_labels,tf_col_middle,260,0.9528735280036926
random_labels,tf_col_middle,280,0.9490392208099365
random_labels,tf_col_middle,300,0.9385889172554016
random_labels,tf_col_middle,320,0.9299153089523315
random_labels,tf_col_middle,340,0.916864275932312
random_labels,tf_col_middle,360,0.9135094285011292
random_labels,tf_col_middle,381,0.9112975597381592
col_remove,tf_col_middle,0,1.0
col_remove,tf_col_middle,1,0.9990901350975037
col_remove,tf_col_middle,3,0.9968985915184021
col_remove,tf_col_middle,4,0.9951300024986267
col_remove,tf_col_middle,6,0.9925197958946228
col_remove,tf_col_middle,7,0.993033766746521
col_remove,tf_col_middle,9,0.9885489344596863
col_remove,tf_col_middle,10,0.9923627376556396
col_remove,tf_col_middle,12,0.9813054800033569
col_remove,tf_col_middle,13,0.9610783457756042
col_remove,tf_col_middle,15,0.9670067429542542
col_remove,tf_col_middle,16,0.9472678899765015
col_remove,tf_col_middle,18,0.9497811198234558
col_remove,tf_col_middle,19,0.970784068107605
col_remove,tf_col_middle,21,0.9437670707702637
col_remove,tf_col_middle,22,0.9014580845832825
col_remove,tf_col_middle,24,0.9378410577774048
col_remove,tf_col_middle,25,0.8469839096069336
col_remove,tf_col_middle,27,0.9086882472038269
col_remove,tf_col_middle,29,0.7512020468711853
row_remove,tf_col_middle,0,1.0
row_remove,tf_col_middle,19,0.9999430775642395
row_remove,tf_col_middle,39,0.9996771216392517
row_remove,tf_col_middle,59,0.9995870590209961
row_remove,tf_col_middle,79,0.9992462396621704
row_remove,tf_col_middle,99,0.9991716146469116
row_remove,tf_col_middle,119,0.9989482760429382
row_remove,tf_col_middle,139,0.997359573841095
row_remove,tf_col_middle,159,0.9952812194824219
row_remove,tf_col_middle,179,0.9963493943214417
row_remove,tf_col_middle,199,0.9975011348724365
row_remove,tf_col_middle,219,0.9951524138450623
row_remove,tf_col_middle,239,0.982837438583374
row_remove,tf_col_middle,259,0.9889252781867981
row_remove,tf_col_middle,279,0.9885016083717346
row_remove,tf_col_middle,299,0.9884088635444641
row_remove,tf_col_middle,319,0.9422914981842041
row_remove,tf_col_middle,339,0.9291139841079712
row_remove,tf_col_middle,359,0.9179065227508545
row_remove,tf_col_middle,379,0.3018435537815094
value_noise,tf_col_middle,0,1.0
value_noise,tf_col_middle,601,0.9974064826965332
value_noise,tf_col_middle,1203,0.9916566610336304
value_noise,tf_col_middle,1804,0.9846139550209045
value_noise,tf_col_middle,2406,0.9781568646430969
value_noise,tf_col_middle,3007,0.9700867533683777
value_noise,tf_col_middle,3609,0.9601453542709351
value_noise,tf_col_middle,4211,0.9519186615943909
value_noise,tf_col_middle,4812,0.9422282576560974
value_noise,tf_col_middle,5414,0.9365905523300171
value_noise,tf_col_middle,6015,0.9213722944259644
value_noise,tf_col_middle,6617,0.9029889106750488
value_noise,tf_col_middle,7218,0.8913252949714661
value_noise,tf_col_middle,7820,0.8771573305130005
value_noise,tf_col_middle,8422,0.8634327054023743
value_noise,tf_col_middle,9023,0.8562067151069641
value_noise,tf_col_middle,9625,0.8365437984466553
value_noise,tf_col_middle,10226,0.8155988454818726
value_noise,tf_col_middle,10828,0.807928204536438
value_noise,tf_col_middle,11430,0.8001681566238403
alt_target,tf_col_middle,0,0.9530394673347473
alt_target,tf_col_middle,1,0.9298360347747803
alt_target,tf_col_middle,2,0.9516590237617493
alt_target,tf_col_middle,3,0.9534326195716858
alt_target,tf_col_middle,4,0.9347078204154968
alt_target,tf_col_middle,5,0.9397547245025635
alt_target,tf_col_middle,6,0.9404914379119873
alt_target,tf_col_middle,7,0.9423910975456238
alt_target,tf_col_middle,8,0.9313182234764099
alt_target,tf_col_middle,9,0.9529967904090881
alt_target,tf_col_middle,10,0.9381150603294373
alt_target,tf_col_middle,11,0.9346860647201538
alt_target,tf_col_middle,12,0.9385099411010742
alt_target,tf_col_middle,13,0.9417581558227539
alt_target,tf_col_middle,14,0.9490578770637512
alt_target,tf_col_middle,15,0.9375056624412537
alt_target,tf_col_middle,16,0.9389685988426208
alt_target,tf_col_middle,17,0.9372996687889099
alt_target,tf_col_middle,18,0.9347726702690125
alt_target,tf_col_middle,19,0.9413016438484192
alt_target,tf_col_middle,20,0.9514297842979431
alt_target,tf_col_middle,21,0.9297928214073181
alt_target,tf_col_middle,22,0.9500698447227478
alt_target,tf_col_middle,23,0.9516646862030029
alt_target,tf_col_middle,24,0.9404285550117493
alt_target,tf_col_middle,25,0.9430786967277527
alt_target,tf_col_middle,26,0.9422029256820679
alt_target,tf_col_middle,27,0.943398118019104
alt_target,tf_col_middle,28,0.9301473498344421
alt_target,tf_col_middle,29,0.9391391277313232
row_shuffle,tf_col,0,1.0
row_shuffle,tf_col,20,1.0
row_shuffle,tf_col,40,1.0
row_shuffle,tf_col,60,1.0
row_shuffle,tf_col,80,1.0
row_shuffle,tf_col,100,1.0
row_shuffle,tf_col,120,1.0
row_shuffle,tf_col,140,1.0
row_shuffle,tf_col,160,1.0
row_shuffle,tf_col,180,1.0
row_shuffle,tf_col,200,1.0
row_shuffle,tf_col,220,1.0
row_shuffle,tf_col,240,1.0
row_shuffle,tf_col,260,1.0
row_shuffle,tf_col,280,1.0
row_shuffle,tf_col,300,1.0
row_shuffle,tf_col,320,1.0
row_shuffle,tf_col,340,1.0
row_shuffle,tf_col,360,1.0
row_shuffle,tf_col,381,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,1,0.999555230140686
col_shuffle,tf_col,3,0.9990382790565491
col_shuffle,tf_col,4,0.9985499382019043
col_shuffle,tf_col,6,0.998883843421936
col_shuffle,tf_col,7,0.9992335438728333
col_shuffle,tf_col,9,0.9931516647338867
col_shuffle,tf_col,11,0.9913208484649658
col_shuffle,tf_col,12,0.9904116988182068
col_shuffle,tf_col,14,0.9913750290870667
col_shuffle,tf_col,15,0.9954026937484741
col_shuffle,tf_col,17,0.9952009320259094
col_shuffle,tf_col,18,0.9938899874687195
col_shuffle,tf_col,20,0.9949836730957031
col_shuffle,tf_col,22,0.988981306552887
col_shuffle,tf_col,23,0.9942599534988403
col_shuffle,tf_col,25,0.9955743551254272
col_shuffle,tf_col,26,0.9965196847915649
col_shuffle,tf_col,28,0.9920497536659241
col_shuffle,tf_col,30,0.9961826205253601
random_labels,tf_col,0,1.0
random_labels,tf_col,20,0.997151255607605
random_labels,tf_col,40,0.9862622022628784
random_labels,tf_col,60,0.9639881253242493
random_labels,tf_col,80,0.9573560953140259
random_labels,tf_col,100,0.9377900958061218
random_labels,tf_col,120,0.9348008036613464
random_labels,tf_col,140,0.9096565842628479
random_labels,tf_col,160,0.8839845061302185
random_labels,tf_col,180,0.8616613745689392
random_labels,tf_col,200,0.8019432425498962
random_labels,tf_col,220,0.7970544695854187
random_labels,tf_col,240,0.7384849786758423
random_labels,tf_col,260,0.7541351318359375
random_labels,tf_col,280,0.7356083393096924
random_labels,tf_col,300,0.6586079001426697
random_labels,tf_col,320,0.5900010466575623
random_labels,tf_col,340,0.41165342926979065
random_labels,tf_col,360,0.37844184041023254
random_labels,tf_col,381,0.36406177282333374
col_remove,tf_col,0,1.0
col_remove,tf_col,1,0.9996732473373413
col_remove,tf_col,3,0.9994774460792542
col_remove,tf_col,4,0.9990383982658386
col_remove,tf_col,6,0.9988601207733154
col_remove,tf_col,7,0.9973896145820618
col_remove,tf_col,9,0.9970651865005493
col_remove,tf_col,10,0.9975897073745728
col_remove,tf_col,12,0.9967753887176514
col_remove,tf_col,13,0.995363175868988
col_remove,tf_col,15,0.9943022131919861
col_remove,tf_col,16,0.9857096672058105
col_remove,tf_col,18,0.9848418831825256
col_remove,tf_col,19,0.9858129024505615
col_remove,tf_col,21,0.9878537654876709
col_remove,tf_col,22,0.9662889242172241
col_remove,tf_col,24,0.9879040122032166
col_remove,tf_col,25,0.9630685448646545
col_remove,tf_col,27,0.9483014345169067
col_remove,tf_col,29,0.8015314340591431
row_remove,tf_col,0,1.0
row_remove,tf_col,19,0.9998451471328735
row_remove,tf_col,39,0.9996358156204224
row_remove,tf_col,59,0.9992657899856567
row_remove,tf_col,79,0.9981222152709961
row_remove,tf_col,99,0.9986226558685303
row_remove,tf_col,119,0.9947766065597534
row_remove,tf_col,139,0.9922751784324646
row_remove,tf_col,159,0.9896048903465271
row_remove,tf_col,179,0.9875779747962952
row_remove,tf_col,199,0.9825403094291687
row_remove,tf_col,219,0.9675459265708923
row_remove,tf_col,239,0.9680674076080322
row_remove,tf_col,259,0.9627465009689331
row_remove,tf_col,279,0.9206879734992981
row_remove,tf_col,299,0.8837087154388428
row_remove,tf_col,319,0.8422534465789795
row_remove,tf_col,339,0.7306256294250488
row_remove,tf_col,359,0.6181402206420898
row_remove,tf_col,379,0.39753228425979614
value_noise,tf_col,0,1.0
value_noise,tf_col,601,0.9899826049804688
value_noise,tf_col,1203,0.9783564805984497
value_noise,tf_col,1804,0.9640458226203918
value_noise,tf_col,2406,0.9466889500617981
value_noise,tf_col,3007,0.9327428340911865
value_noise,tf_col,3609,0.9154542088508606
value_noise,tf_col,4211,0.8974791765213013
value_noise,tf_col,4812,0.8746680617332458
value_noise,tf_col,5414,0.8604078888893127
value_noise,tf_col,6015,0.81264728307724
value_noise,tf_col,6617,0.7697620987892151
value_noise,tf_col,7218,0.7188383340835571
value_noise,tf_col,7820,0.6668279767036438
value_noise,tf_col,8422,0.6477317810058594
value_noise,tf_col,9023,0.6101823449134827
value_noise,tf_col,9625,0.50222247838974
value_noise,tf_col,10226,0.3628832697868347
value_noise,tf_col,10828,0.3110436797142029
value_noise,tf_col,11430,0.23083926737308502
alt_target,tf_col,0,0.679970383644104
alt_target,tf_col,1,0.4600134789943695
alt_target,tf_col,2,0.659218430519104
alt_target,tf_col,3,0.6856597065925598
alt_target,tf_col,4,0.5128670334815979
alt_target,tf_col,5,0.5513873100280762
alt_target,tf_col,6,0.5692751407623291
alt_target,tf_col,7,0.5824035406112671
alt_target,tf_col,8,0.4885416328907013
alt_target,tf_col,9,0.7209887504577637
alt_target,tf_col,10,0.5307195782661438
alt_target,tf_col,11,0.5669086575508118
alt_target,tf_col,12,0.5265325903892517
alt_target,tf_col,13,0.5557482838630676
alt_target,tf_col,14,0.6963956952095032
alt_target,tf_col,15,0.5381519198417664
alt_target,tf_col,16,0.5485119819641113
alt_target,tf_col,17,0.5241073369979858
alt_target,tf_col,18,0.6151702404022217
alt_target,tf_col,19,0.5847270488739014
alt_target,tf_col,20,0.6492280960083008
alt_target,tf_col,21,0.484809547662735
alt_target,tf_col,22,0.6394045948982239
alt_target,tf_col,23,0.6523321270942688
alt_target,tf_col,24,0.5499194264411926
alt_target,tf_col,25,0.586348831653595
alt_target,tf_col,26,0.587297797203064
alt_target,tf_col,27,0.5885706543922424
alt_target,tf_col,28,0.4930623769760132
alt_target,tf_col,29,0.5541233420372009
row_shuffle,tf_row_early,0,1.0
row_shuffle,tf_row_early,20,1.0
row_shuffle,tf_row_early,40,1.0
row_shuffle,tf_row_early,60,1.0
row_shuffle,tf_row_early,80,1.0
row_shuffle,tf_row_early,100,1.0
row_shuffle,tf_row_early,120,1.0
row_shuffle,tf_row_early,140,1.0
