experiment,layer,level,value
row_shuffle,tf_col_early,0,1.0
row_shuffle,tf_col_early,20,0.9999999999999972
row_shuffle,tf_col_early,40,0.9999999999999977
row_shuffle,tf_col_early,60,0.9999999999999979
row_shuffle,tf_col_early,80,0.9999999999999974
row_shuffle,tf_col_early,100,0.9999999999999972
row_shuffle,tf_col_early,120,0.9999999999999972
row_shuffle,tf_col_early,140,0.9999999999999971
row_shuffle,tf_col_early,160,0.9999999999999964
row_shuffle,tf_col_early,180,0.9999999999999974
row_shuffle,tf_col_early,200,0.9999999999999969
row_shuffle,tf_col_early,220,0.9999999999999969
row_shuffle,tf_col_early,240,0.9999999999999974
row_shuffle,tf_col_early,260,0.9999999999999972
row_shuffle,tf_col_early,280,0.9999999999999969
row_shuffle,tf_col_early,300,0.9999999999999972
row_shuffle,tf_col_early,320,0.9999999999999969
row_shuffle,tf_col_early,340,0.9999999999999972
row_shuffle,tf_col_early,360,0.9999999999999979
row_shuffle,tf_col_early,381,0.9999999999999972
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,1,0.9999943998362364
col_shuffle,tf_col_early,3,0.9999820847177671
col_shuffle,tf_col_early,4,0.9999749849223335
col_shuffle,tf_col_early,6,0.9999709348213418
col_shuffle,tf_col_early,7,0.999976576974412
col_shuffle,tf_col_early,9,0.9999679941024964
col_shuffle,tf_col_early,11,0.9999521036185054
col_shuffle,tf_col_early,12,0.9999522169832902
col_shuffle,tf_col_early,14,0.9999581517326822
col_shuffle,tf_col_early,15,0.9999589731487032
col_shuffle,tf_col_early,17,0.9999502699263955
col_shuffle,tf_col_early,18,0.9999459267537971
col_shuffle,tf_col_early,20,0.9999373057890644
col_shuffle,tf_col_early,22,0.9999364114794286
col_shuffle,tf_col_early,23,0.9999451046891155
col_shuffle,tf_col_early,25,0.9999560823040409
col_shuffle,tf_col_early,26,0.9999329410729979
col_shuffle,tf_col_early,28,0.9999375077237481
col_shuffle,tf_col_early,30,0.9999253952321343
random_labels,tf_col_early,0,1.0
random_labels,tf_col_early,20,0.9999759766737573
random_labels,tf_col_early,40,0.9998922847027459
random_labels,tf_col_early,60,0.9998488367091347
random_labels,tf_col_early,80,0.9998056109634494
random_labels,tf_col_early,100,0.9996596604053275
random_labels,tf_col_early,120,0.9997449784600007
random_labels,tf_col_early,140,0.9996276541909143
random_labels,tf_col_early,160,0.9996993623478702
random_labels,tf_col_early,180,0.9994025212785363
random_labels,tf_col_early,200,0.9992060978801117
random_labels,tf_col_early,220,0.9992551010564668
random_labels,tf_col_early,240,0.9991065458064153
random_labels,tf_col_early,260,0.999163677776228
random_labels,tf_col_early,280,0.9989161193772685
random_labels,tf_col_early,300,0.998703624626864
random_labels,tf_col_early,320,0.9988569163121046
random_labels,tf_col_early,340,0.99857927570662
random_labels,tf_col_early,360,0.9985056700098656
random_labels,tf_col_early,381,0.9985812088703536
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,1,0.9975424265966287
col_remove,tf_col_early,3,0.9905026354631151
col_remove,tf_col_early,4,0.9852074985042043
