experiment,layer,level,cosine_similarity
row_shuffle,tf_col_early,0,1.0
row_shuffle,tf_col_early,63,1.0
row_shuffle,tf_col_early,126,1.0
row_shuffle,tf_col_early,189,1.0
row_shuffle,tf_col_early,253,1.0
row_shuffle,tf_col_early,316,1.0
row_shuffle,tf_col_early,379,1.0
row_shuffle,tf_col_early,443,1.0
row_shuffle,tf_col_early,506,1.0
row_shuffle,tf_col_early,569,1.0
row_shuffle,tf_col_early,633,1.0
row_shuffle,tf_col_early,696,1.0
row_shuffle,tf_col_early,759,1.0
row_shuffle,tf_col_early,823,1.0
row_shuffle,tf_col_early,886,1.0
row_shuffle,tf_col_early,949,1.0
row_shuffle,tf_col_early,1013,1.0
row_shuffle,tf_col_early,1076,1.0
row_shuffle,tf_col_early,1139,1.0
row_shuffle,tf_col_early,1203,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,3,0.9997178316116333
col_shuffle,tf_col_early,6,0.9994800686836243
col_shuffle,tf_col_early,10,0.9978922605514526
col_shuffle,tf_col_early,13,0.997474730014801
col_shuffle,tf_col_early,16,0.9946765899658203
col_shuffle,tf_col_early,20,0.9943680167198181
col_shuffle,tf_col_early,23,0.99590665102005
col_shuffle,tf_col_early,26,0.994067370891571
col_shuffle,tf_col_early,30,0.9939998388290405
col_shuffle,tf_col_early,33,0.9932692050933838
col_shuffle,tf_col_early,37,0.9946997761726379
col_shuffle,tf_col_early,40,0.9919842481613159
col_shuffle,tf_col_early,43,0.9897109270095825
col_shuffle,tf_col_early,47,0.9927651882171631
col_shuffle,tf_col_early,50,0.991524338722229
col_shuffle,tf_col_early,53,0.9927026033401489
col_shuffle,tf_col_early,57,0.9916635751724243
col_shuffle,tf_col_early,60,0.9904857873916626
col_shuffle,tf_col_early,64,0.9897736310958862
random_labels,tf_col_early,0,1.0
random_labels,tf_col_early,63,0.9990702867507935
random_labels,tf_col_early,126,0.99729984998703
random_labels,tf_col_early,189,0.9939517378807068
random_labels,tf_col_early,253,0.9892469048500061
random_labels,tf_col_early,316,0.9826173186302185
random_labels,tf_col_early,379,0.9778627157211304
random_labels,tf_col_early,443,0.9676721096038818
random_labels,tf_col_early,506,0.9557042717933655
random_labels,tf_col_early,569,0.9453533887863159
random_labels,tf_col_early,633,0.9343001842498779
random_labels,tf_col_early,696,0.9263190627098083
random_labels,tf_col_early,759,0.9106829762458801
random_labels,tf_col_early,823,0.9019588232040405
random_labels,tf_col_early,886,0.8838984966278076
random_labels,tf_col_early,949,0.8728275895118713
random_labels,tf_col_early,1013,0.8611980676651001
random_labels,tf_col_early,1076,0.855925440788269
random_labels,tf_col_early,1139,0.8529345989227295
random_labels,tf_col_early,1203,0.8495822548866272
col_remove,tf_col_early,0,1.0
col_remove,tf_col_early,3,0.9974866509437561
col_remove,tf_col_early,6,0.9938231110572815
col_remove,tf_col_early,9,0.9930843114852905
col_remove,tf_col_early,13,0.9880581498146057
col_remove,tf_col_early,16,0.9816955924034119
col_remove,tf_col_early,19,0.977235734462738
col_remove,tf_col_early,23,0.9711390137672424
col_remove,tf_col_early,26,0.967021107673645
col_remove,tf_col_early,29,0.9400911927223206
col_remove,tf_col_early,33,0.9248989224433899
col_remove,tf_col_early,36,0.934689998626709
col_remove,tf_col_early,39,0.9081858396530151
col_remove,tf_col_early,43,0.8788735866546631
col_remove,tf_col_early,46,0.9091174006462097
col_remove,tf_col_early,49,0.866049587726593
col_remove,tf_col_early,53,0.8373859524726868
col_remove,tf_col_early,56,0.7880081534385681
col_remove,tf_col_early,59,0.7156794667243958
col_remove,tf_col_early,63,0.37641432881355286
row_remove,tf_col_early,0,1.0
row_remove,tf_col_early,63,0.9999722838401794
row_remove,tf_col_early,126,0.9999030828475952
row_remove,tf_col_early,189,0.9993686676025391
row_remove,tf_col_early,252,0.9997240304946899
row_remove,tf_col_early,316,0.999146044254303
row_remove,tf_col_early,379,0.9991311430931091
row_remove,tf_col_early,442,0.9983598589897156
row_remove,tf_col_early,505,0.9964612722396851
row_remove,tf_col_early,568,0.9952511787414551
row_remove,tf_col_early,632,0.9926301836967468
row_remove,tf_col_early,695,0.9876497387886047
row_remove,tf_col_early,758,0.9863185882568359
row_remove,tf_col_early,821,0.9878047108650208
row_remove,tf_col_early,884,0.9832495450973511
row_remove,tf_col_early,948,0.9790491461753845
row_remove,tf_col_early,1011,0.9324874877929688
row_remove,tf_col_early,1074,0.9458265900611877
row_remove,tf_col_early,1137,0.8276713490486145
row_remove,tf_col_early,1201,-0.07947984337806702
value_noise,tf_col_early,0,1.0
value_noise,tf_col_early,4052,0.9769742488861084
value_noise,tf_col_early,8104,0.9539245367050171
value_noise,tf_col_early,12156,0.9342681169509888
value_noise,tf_col_early,16208,0.9127018451690674
value_noise,tf_col_early,20261,0.8905298709869385
value_noise,tf_col_early,24313,0.8721507787704468
value_noise,tf_col_early,28365,0.8529059886932373
value_noise,tf_col_early,32417,0.8321869969367981
value_noise,tf_col_early,36469,0.8135629296302795
value_noise,tf_col_early,40522,0.7959476709365845
value_noise,tf_col_early,44574,0.7803447842597961
value_noise,tf_col_early,48626,0.7604194283485413
value_noise,tf_col_early,52678,0.7453877329826355
value_noise,tf_col_early,56730,0.7290967702865601
value_noise,tf_col_early,60783,0.7146168351173401
value_noise,tf_col_early,64835,0.7052858471870422
value_noise,tf_col_early,68887,0.6922690868377686
value_noise,tf_col_early,72939,0.6847811341285706
value_noise,tf_col_early,76992,0.6830082535743713
alt_target,tf_col_early,0,0.6673681139945984
alt_target,tf_col_early,1,0.806305468082428
alt_target,tf_col_early,2,0.853304386138916
alt_target,tf_col_early,3,0.8289675116539001
alt_target,tf_col_early,4,0.8061202168464661
alt_target,tf_col_early,5,0.8314709663391113
alt_target,tf_col_early,6,0.8209865093231201
alt_target,tf_col_early,7,0.7327812910079956
alt_target,tf_col_early,8,0.6804034113883972
alt_target,tf_col_early,9,0.8472451567649841
alt_target,tf_col_early,10,0.8423821330070496
alt_target,tf_col_early,11,0.8372790813446045
alt_target,tf_col_early,12,0.8143338561058044
alt_target,tf_col_early,13,0.8383069038391113
alt_target,tf_col_early,14,0.8311342000961304
alt_target,tf_col_early,15,0.736341655254364
alt_target,tf_col_early,16,0.6813074350357056
alt_target,tf_col_early,17,0.8312126994132996
alt_target,tf_col_early,18,0.8250079154968262
alt_target,tf_col_early,19,0.8387600183486938
alt_target,tf_col_early,20,0.8437779545783997
alt_target,tf_col_early,21,0.8369324803352356
alt_target,tf_col_early,22,0.8341310024261475
alt_target,tf_col_early,23,0.7225139141082764
alt_target,tf_col_early,24,0.6758596301078796
alt_target,tf_col_early,25,0.8345842361450195
alt_target,tf_col_early,26,0.8385675549507141
alt_target,tf_col_early,27,0.819513201713562
