experiment,layer,level,value
row_shuffle,tf_col_early,0,5.129537368733706
row_shuffle,tf_col_early,63,5.050006507041386
row_shuffle,tf_col_early,126,5.049305298527677
row_shuffle,tf_col_early,189,5.047906952467873
row_shuffle,tf_col_early,253,5.048048997922419
row_shuffle,tf_col_early,316,5.047778497782127
row_shuffle,tf_col_early,379,5.047972839512926
row_shuffle,tf_col_early,443,5.047023740386745
row_shuffle,tf_col_early,506,5.046050027564073
row_shuffle,tf_col_early,569,5.047223217799763
row_shuffle,tf_col_early,633,5.0465646605005805
row_shuffle,tf_col_early,696,5.047026715324615
row_shuffle,tf_col_early,759,5.046880567587322
row_shuffle,tf_col_early,823,5.046126749646003
row_shuffle,tf_col_early,886,5.047155639737394
row_shuffle,tf_col_early,949,5.046929293938131
row_shuffle,tf_col_early,1013,5.046339817827821
row_shuffle,tf_col_early,1076,5.046402354153379
row_shuffle,tf_col_early,1139,5.0466582301254
row_shuffle,tf_col_early,1203,5.047388499084837
col_shuffle,tf_col_early,0,5.129537368733706
col_shuffle,tf_col_early,3,3.1456343229423043
col_shuffle,tf_col_early,6,3.047505785686746
col_shuffle,tf_col_early,10,2.653882973785595
col_shuffle,tf_col_early,13,2.3295006628653345
col_shuffle,tf_col_early,16,2.498940072222636
col_shuffle,tf_col_early,20,2.417126451799869
col_shuffle,tf_col_early,23,2.455288094574978
col_shuffle,tf_col_early,26,2.435516620530695
col_shuffle,tf_col_early,30,2.3387844256960593
col_shuffle,tf_col_early,33,2.304817822504956
col_shuffle,tf_col_early,37,2.3739548134887443
col_shuffle,tf_col_early,40,2.412972083179427
col_shuffle,tf_col_early,43,2.322511211850001
col_shuffle,tf_col_early,47,2.2351473798869654
col_shuffle,tf_col_early,50,2.3253219273699903
col_shuffle,tf_col_early,53,2.327656104080436
col_shuffle,tf_col_early,57,2.3229975091831867
col_shuffle,tf_col_early,60,2.28848149017892
col_shuffle,tf_col_early,64,2.2516781092768676
random_labels,tf_col_early,0,5.129537368733706
random_labels,tf_col_early,63,3.720652899000858
random_labels,tf_col_early,126,3.3041329103313455
random_labels,tf_col_early,189,3.061170734944368
random_labels,tf_col_early,253,2.809238665675509
random_labels,tf_col_early,316,2.601438244895715
random_labels,tf_col_early,379,2.4502778922686637
random_labels,tf_col_early,443,2.2978991330720846
random_labels,tf_col_early,506,2.1722549962587836
random_labels,tf_col_early,569,2.0515751111360707
random_labels,tf_col_early,633,1.9464660071846844
random_labels,tf_col_early,696,1.8993570223830678
random_labels,tf_col_early,759,1.8163098776040247
random_labels,tf_col_early,823,1.7864915372452574
random_labels,tf_col_early,886,1.6485635449739968
random_labels,tf_col_early,949,1.6336332119445485
random_labels,tf_col_early,1013,1.5650989417550152
random_labels,tf_col_early,1076,1.5229328811817708
random_labels,tf_col_early,1139,1.4949309818068237
random_labels,tf_col_early,1203,1.444277800691788
col_remove,tf_col_early,0,5.129537368733706
col_remove,tf_col_early,3,1.829391130479133
col_remove,tf_col_early,6,1.3728952475512446
col_remove,tf_col_early,9,1.2368352024968756
col_remove,tf_col_early,13,1.05892977380603
col_remove,tf_col_early,16,0.8152457095804133
col_remove,tf_col_early,19,0.7553125163518897
col_remove,tf_col_early,23,0.7271294052830907
col_remove,tf_col_early,26,0.5804828440783829
col_remove,tf_col_early,29,0.6460834207296049
col_remove,tf_col_early,33,0.4893061790579982
col_remove,tf_col_early,36,0.3410337866487034
col_remove,tf_col_early,39,0.3199871220806527
col_remove,tf_col_early,43,0.34539353204465395
col_remove,tf_col_early,46,0.30712079626633193
col_remove,tf_col_early,49,0.2450865881254053
col_remove,tf_col_early,53,0.21212261265408555
col_remove,tf_col_early,56,0.11084869172006544
col_remove,tf_col_early,59,0.15313842713769477
col_remove,tf_col_early,63,0.10691922451460212
row_remove,tf_col_early,0,5.129537368733706
row_remove,tf_col_early,63,4.01681764952468
row_remove,tf_col_early,126,3.7054947439635386
row_remove,tf_col_early,189,3.5691224151303436
row_remove,tf_col_early,252,3.5039410835005116
row_remove,tf_col_early,316,2.8250996830753055
row_remove,tf_col_early,379,3.096327825572156
row_remove,tf_col_early,442,3.052650650029203
row_remove,tf_col_early,505,2.949949377967043
row_remove,tf_col_early,568,2.9152424500243637
row_remove,tf_col_early,632,2.49841479006593
row_remove,tf_col_early,695,2.3069801573798054
row_remove,tf_col_early,758,2.3262249788538627
row_remove,tf_col_early,821,2.1694870622344107
row_remove,tf_col_early,884,2.300454181651568
row_remove,tf_col_early,948,2.117841380189264
row_remove,tf_col_early,1011,1.7914478308925177
row_remove,tf_col_early,1074,1.579075436756599
row_remove,tf_col_early,1137,1.2231410277184984
row_remove,tf_col_early,1201,0.11829622736684188
value_noise,tf_col_early,0,5.129537368733706
value_noise,tf_col_early,4052,2.493158734261951
value_noise,tf_col_early,8104,2.210057930750326
value_noise,tf_col_early,12156,2.030741290053239
value_noise,tf_col_early,16208,1.9221240228863596
value_noise,tf_col_early,20261,1.7771511438752468
value_noise,tf_col_early,24313,1.7071671002026005
value_noise,tf_col_early,28365,1.5981640234261358
value_noise,tf_col_early,32417,1.5190732918597862
value_noise,tf_col_early,36469,1.4389323423906946
value_noise,tf_col_early,40522,1.3752238729132065
value_noise,tf_col_early,44574,1.312589345519109
value_noise,tf_col_early,48626,1.2481776130720696
value_noise,tf_col_early,52678,1.1898091948579974
value_noise,tf_col_early,56730,1.1475045601748808
value_noise,tf_col_early,60783,1.087589026430246
value_noise,tf_col_early,64835,1.0410313624030785
value_noise,tf_col_early,68887,0.9903523649198
value_noise,tf_col_early,72939,0.9582336473587552
value_noise,tf_col_early,76992,0.9161847579617519
alt_target,tf_col_early,0,1.277386653946288
alt_target,tf_col_early,1,1.2613375833596447
alt_target,tf_col_early,2,1.2218099357550938
alt_target,tf_col_early,3,1.2516789154757757
alt_target,tf_col_early,4,1.2594442899530143
alt_target,tf_col_early,5,1.270439056453224
alt_target,tf_col_early,6,1.306294600524429
alt_target,tf_col_early,7,1.2881417079119766
alt_target,tf_col_early,8,1.3083175669999454
alt_target,tf_col_early,9,1.2338973289635287
alt_target,tf_col_early,10,1.2034011677645071
alt_target,tf_col_early,11,1.2890967182907225
alt_target,tf_col_early,12,1.2751477002729101
alt_target,tf_col_early,13,1.2142488202263033
alt_target,tf_col_early,14,1.2722165707284674
alt_target,tf_col_early,15,1.3009871120758598
alt_target,tf_col_early,16,1.3250364960395464
alt_target,tf_col_early,17,1.1999977050652841
alt_target,tf_col_early,18,1.2197973770539439
alt_target,tf_col_early,19,1.3159454330522673
alt_target,tf_col_early,20,1.3250624621589764
alt_target,tf_col_early,21,1.2025169565038811
alt_target,tf_col_early,22,1.2295662622931605
alt_target,tf_col_early,23,1.272416576235269
alt_target,tf_col_early,24,1.3154162346879996
alt_target,tf_col_early,25,1.2147386244475569
alt_target,tf_col_early,26,1.2504520249629205
alt_target,tf_col_early,27,1.3135329068764552
alt_target,tf_col_early,28,1.3082323321867189
alt_target,tf_col_early,29,1.2174844822164936
alt_target,tf_col_early,30,1.212608151376342
alt_target,tf_col_early,31,1.2837865989003991
alt_target,tf_col_early,32,1.277386653946288
alt_target,tf_col_early,33,1.2180351329088368
alt_target,tf_col_early,34,1.2640581986839747
alt_target,tf_col_early,35,1.3787822562687673
alt_target,tf_col_early,36,1.346710765457313
alt_target,tf_col_early,37,1.231310345159725
alt_target,tf_col_early,38,1.200144049731388
alt_target,tf_col_early,39,1.277386653946288
alt_target,tf_col_early,40,1.28046830450777
alt_target,tf_col_early,41,1.2324595879829499
alt_target,tf_col_early,42,1.2730973466404367
alt_target,tf_col_early,43,1.3855792262252131
alt_target,tf_col_early,44,1.3822370893933362
alt_target,tf_col_early,45,1.215637975985098
alt_target,tf_col_early,46,1.2057755726030273
alt_target,tf_col_early,47,1.2638649021751558
alt_target,tf_col_early,48,1.3065538510778505
alt_target,tf_col_early,49,1.2646227820243143
alt_target,tf_col_early,50,1.2134462766045973
alt_target,tf_col_early,51,1.330994172983964
alt_target,tf_col_early,52,1.2887726760027614
alt_target,tf_col_early,53,1.179618280481387
alt_target,tf_col_early,54,1.2163544937054227
alt_target,tf_col_early,55,1.3200445238480534
alt_target,tf_col_early,56,1.304282526010018
alt_target,tf_col_early,57,1.2800058634480869
alt_target,tf_col_early,58,1.2323119234942945
alt_target,tf_col_early,59,1.2285137546356717
alt_target,tf_col_early,60,1.2150952697628488
alt_target,tf_col_early,61,1.229120498951157
alt_target,tf_col_early,62,1.251261107624877
alt_target,tf_col_early,63,1.3247736649521036
row_shuffle,tf_col_middle,0,5.129537368733706
row_shuffle,tf_col_middle,63,5.050006507041386
row_shuffle,tf_col_middle,126,5.049305298527677
row_shuffle,tf_col_middle,189,5.047906952467873
row_shuffle,tf_col_middle,253,5.048048997922419
row_shuffle,tf_col_middle,316,5.047778497782127
row_shuffle,tf_col_middle,379,5.047972839512926
row_shuffle,tf_col_middle,443,5.047023740386745
row_shuffle,tf_col_middle,506,5.046050027564073
row_shuffle,tf_col_middle,569,5.047223217799763
row_shuffle,tf_col_middle,633,5.0465646605005805
row_shuffle,tf_col_middle,696,5.047026715324615
row_shuffle,tf_col_middle,759,5.046880567587322
row_shuffle,tf_col_middle,823,5.046126749646003
row_shuffle,tf_col_middle,886,5.047155639737394
row_shuffle,tf_col_middle,949,5.046929293938131
row_shuffle,tf_col_middle,1013,5.046339817827821
row_shuffle,tf_col_middle,1076,5.046402354153379
