experiment,layer,level,value
row_shuffle,tf_col_early,0,2.645872004996092
row_shuffle,tf_col_early,5,2.6458720049960927
row_shuffle,tf_col_early,10,2.6458720049960927
row_shuffle,tf_col_early,15,2.645872004996092
row_shuffle,tf_col_early,21,2.645872004996092
row_shuffle,tf_col_early,26,2.6458720049960927
row_shuffle,tf_col_early,31,2.645872004996092
row_shuffle,tf_col_early,36,2.6458720049960927
row_shuffle,tf_col_early,42,2.6458720049960927
row_shuffle,tf_col_early,47,2.645872004996092
row_shuffle,tf_col_early,52,2.6458720049960927
row_shuffle,tf_col_early,57,2.645872004996092
row_shuffle,tf_col_early,63,2.6458720049960927
row_shuffle,tf_col_early,68,2.6458720049960927
row_shuffle,tf_col_early,73,2.645872004996092
row_shuffle,tf_col_early,78,2.6458720049960927
row_shuffle,tf_col_early,84,2.645872004996092
row_shuffle,tf_col_early,89,2.6458720049960927
row_shuffle,tf_col_early,94,2.6458720049960927
row_shuffle,tf_col_early,100,2.645872004996092
col_shuffle,tf_col_early,0,2.645872004996092
col_shuffle,tf_col_early,0,2.645872004996092
col_shuffle,tf_col_early,0,2.645872004996092
col_shuffle,tf_col_early,0,2.645872004996092
col_shuffle,tf_col_early,0,2.645872004996092
col_shuffle,tf_col_early,1,2.298928112887545
col_shuffle,tf_col_early,1,2.442951234794072
col_shuffle,tf_col_early,1,2.2989206950213448
col_shuffle,tf_col_early,1,2.442951234794072
col_shuffle,tf_col_early,1,2.298928112887545
col_shuffle,tf_col_early,2,2.298928112887545
col_shuffle,tf_col_early,2,2.2985708196363133
col_shuffle,tf_col_early,2,2.298928112887545
col_shuffle,tf_col_early,2,2.645872004996092
col_shuffle,tf_col_early,2,2.2989206950213448
col_shuffle,tf_col_early,3,2.298928112887545
col_shuffle,tf_col_early,3,2.2989206950213448
col_shuffle,tf_col_early,3,2.2989206950213448
col_shuffle,tf_col_early,3,2.645872004996092
col_shuffle,tf_col_early,4,2.2989206950213448
random_labels,tf_col_early,0,2.645872004996092
random_labels,tf_col_early,5,2.227429020993511
random_labels,tf_col_early,10,2.112337139764791
random_labels,tf_col_early,15,2.0959812517354424
random_labels,tf_col_early,21,1.8939564749575215
random_labels,tf_col_early,26,1.9261634088954236
random_labels,tf_col_early,31,1.8986474485262077
random_labels,tf_col_early,36,1.8384797737926093
random_labels,tf_col_early,42,1.8448404386296042
random_labels,tf_col_early,47,1.769070232657973
random_labels,tf_col_early,52,1.6910738467141448
random_labels,tf_col_early,57,1.7780172596171533
random_labels,tf_col_early,63,1.6969779241387306
random_labels,tf_col_early,68,1.641691630400508
random_labels,tf_col_early,73,1.60072080469559
random_labels,tf_col_early,78,1.680962603797366
random_labels,tf_col_early,84,1.5725711290544244
random_labels,tf_col_early,89,1.570049818598339
random_labels,tf_col_early,94,1.548363361894094
random_labels,tf_col_early,100,1.5810158126419152
col_remove,tf_col_early,0,2.645872004996092
col_remove,tf_col_early,0,2.645872004996092
col_remove,tf_col_early,0,2.645872004996092
col_remove,tf_col_early,0,2.645872004996092
col_remove,tf_col_early,0,2.645872004996092
col_remove,tf_col_early,0,2.645872004996092
col_remove,tf_col_early,0,2.645872004996092
col_remove,tf_col_early,1,1.4236436780205208
col_remove,tf_col_early,1,1.5318305033731499
col_remove,tf_col_early,1,1.2668732933207414
col_remove,tf_col_early,1,1.4236436780205208
col_remove,tf_col_early,1,1.4236436780205208
col_remove,tf_col_early,1,1.2668732933207414
col_remove,tf_col_early,2,0.7663800660464306
col_remove,tf_col_early,2,0.8308896140964153
col_remove,tf_col_early,2,0.7663800660464306
col_remove,tf_col_early,2,0.7633645783638632
col_remove,tf_col_early,2,0.754378169564325
col_remove,tf_col_early,2,0.7972467962164804
col_remove,tf_col_early,3,0.556246419986325
row_remove,tf_col_early,0,2.645872004996092
row_remove,tf_col_early,5,2.2557338497485624
row_remove,tf_col_early,10,2.2595933444205567
row_remove,tf_col_early,15,1.9939583548441608
row_remove,tf_col_early,20,1.8836875167412916
row_remove,tf_col_early,25,2.0781598862580086
row_remove,tf_col_early,30,2.217737241628333
row_remove,tf_col_early,36,1.867747731401932
row_remove,tf_col_early,41,1.5516065393077119
row_remove,tf_col_early,46,1.690459225831476
row_remove,tf_col_early,51,1.45216362340064
row_remove,tf_col_early,56,1.3766055022969161
row_remove,tf_col_early,61,1.6513830511449612
row_remove,tf_col_early,67,1.2917211642693087
row_remove,tf_col_early,72,1.507914670752149
row_remove,tf_col_early,77,1.2274181906866661
row_remove,tf_col_early,82,1.4534481770356669
row_remove,tf_col_early,87,1.3491771375861163
row_remove,tf_col_early,92,0.8809537992197959
row_remove,tf_col_early,98,0.37378056897614775
value_noise,tf_col_early,0,2.645872004996092
value_noise,tf_col_early,21,2.195147158100749
value_noise,tf_col_early,42,1.9954976492785865
value_noise,tf_col_early,63,1.9102361652019686
value_noise,tf_col_early,84,1.9798144602460046
value_noise,tf_col_early,105,1.717069124381145
value_noise,tf_col_early,126,1.6470055725849528
value_noise,tf_col_early,147,1.6295809422797283
value_noise,tf_col_early,168,1.393287259862265
value_noise,tf_col_early,189,1.5934805276671877
value_noise,tf_col_early,210,1.4601300632222205
value_noise,tf_col_early,231,1.6242295974980987
value_noise,tf_col_early,252,1.4280186926176306
value_noise,tf_col_early,273,1.3952377405331842
value_noise,tf_col_early,294,1.3086346003966187
value_noise,tf_col_early,315,1.4484221395457166
value_noise,tf_col_early,336,1.3902837212200434
value_noise,tf_col_early,357,1.3851876668762229
value_noise,tf_col_early,378,1.3703266557396057
value_noise,tf_col_early,400,1.2911697993358286
