experiment,layer,level,value
row_shuffle,tf_col_early,0,1.0
row_shuffle,tf_col_early,6,0.999999999999988
row_shuffle,tf_col_early,12,0.9999999999999835
row_shuffle,tf_col_early,18,0.9999999999999843
row_shuffle,tf_col_early,25,0.9999999999999858
row_shuffle,tf_col_early,31,0.9999999999999871
row_shuffle,tf_col_early,37,0.999999999999988
row_shuffle,tf_col_early,43,0.9999999999999867
row_shuffle,tf_col_early,50,0.9999999999999887
row_shuffle,tf_col_early,56,0.9999999999999778
row_shuffle,tf_col_early,62,0.9999999999999853
row_shuffle,tf_col_early,68,0.9999999999999845
row_shuffle,tf_col_early,75,0.9999999999999847
row_shuffle,tf_col_early,81,0.9999999999999856
row_shuffle,tf_col_early,87,0.9999999999999869
row_shuffle,tf_col_early,93,0.9999999999999819
row_shuffle,tf_col_early,100,0.9999999999999858
row_shuffle,tf_col_early,106,0.9999999999999853
row_shuffle,tf_col_early,112,0.999999999999983
row_shuffle,tf_col_early,119,0.9999999999999865
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,0,1.0
col_shuffle,tf_col_early,1,0.9999650645129573
col_shuffle,tf_col_early,2,0.9998119466719604
col_shuffle,tf_col_early,2,0.9998278422912091
col_shuffle,tf_col_early,3,0.999793298635608
col_shuffle,tf_col_early,4,0.9996670355625432
col_shuffle,tf_col_early,4,0.999791480912449
col_shuffle,tf_col_early,5,0.9997382579911333
col_shuffle,tf_col_early,6,0.9998036978093598
col_shuffle,tf_col_early,6,0.9998167435260069
col_shuffle,tf_col_early,7,0.9997557771794653
col_shuffle,tf_col_early,8,0.9996715725640571
col_shuffle,tf_col_early,8,0.9997205780359804
col_shuffle,tf_col_early,9,0.9996396943333913
col_shuffle,tf_col_early,10,0.9997293932816981
col_shuffle,tf_col_early,10,0.9997978776274404
col_shuffle,tf_col_early,11,0.9995888361940424
col_shuffle,tf_col_early,12,0.9997849614516967
col_shuffle,tf_col_early,13,0.99970370773876
random_labels,tf_col_early,0,1.0
random_labels,tf_col_early,6,0.9997030463147347
random_labels,tf_col_early,12,0.9997528961423001
random_labels,tf_col_early,18,0.9996336172946582
random_labels,tf_col_early,25,0.9990820477105995
random_labels,tf_col_early,31,0.9994386176405888
random_labels,tf_col_early,37,0.9981994777075783
random_labels,tf_col_early,43,0.9980849645563924
