experiment,layer,level,cosine_similarity
row_shuffle,1,0,1.0
row_shuffle,1,20,1.0
row_shuffle,1,40,1.0
row_shuffle,1,60,1.0
row_shuffle,1,80,1.0
row_shuffle,1,100,1.0
row_shuffle,1,120,1.0
row_shuffle,1,140,1.0
row_shuffle,1,160,1.0
row_shuffle,1,180,1.0
row_shuffle,1,200,1.0
row_shuffle,1,220,1.0
row_shuffle,1,240,1.0
row_shuffle,1,260,1.0
row_shuffle,1,280,1.0
row_shuffle,1,300,1.0
row_shuffle,1,320,1.0
row_shuffle,1,340,1.0
row_shuffle,1,360,1.0
row_shuffle,1,381,1.0
col_shuffle,1,0,1.0
col_shuffle,1,1,0.9999998211860657
col_shuffle,1,3,0.9999997019767761
col_shuffle,1,4,0.9999998211860657
col_shuffle,1,6,0.9999997019767761
col_shuffle,1,7,0.9999997019767761
col_shuffle,1,9,0.9999997019767761
col_shuffle,1,11,0.9999997019767761
col_shuffle,1,12,0.9999997019767761
col_shuffle,1,14,0.9999995827674866
col_shuffle,1,15,0.9999997019767761
col_shuffle,1,17,0.9999993443489075
col_shuffle,1,18,0.9999995231628418
col_shuffle,1,20,0.9999997019767761
col_shuffle,1,22,0.9999995231628418
col_shuffle,1,23,0.9999994039535522
col_shuffle,1,25,0.9999995231628418
col_shuffle,1,26,0.9999995231628418
col_shuffle,1,28,0.9999995231628418
col_shuffle,1,30,0.9999993443489075
random_labels,1,0,1.0
random_labels,1,20,1.0
random_labels,1,40,1.0
random_labels,1,60,0.9999998211860657
random_labels,1,80,1.0
random_labels,1,100,0.9999993443489075
random_labels,1,120,0.9999997019767761
random_labels,1,140,0.9999991655349731
random_labels,1,160,0.9999997019767761
random_labels,1,180,0.9999997019767761
random_labels,1,200,0.9999997019767761
random_labels,1,220,0.9999986886978149
random_labels,1,240,0.9999990463256836
random_labels,1,260,0.9999991059303284
random_labels,1,280,0.9999992847442627
random_labels,1,300,0.9999990463256836
random_labels,1,320,0.9999975562095642
random_labels,1,340,0.9999988079071045
random_labels,1,360,0.9999990463256836
random_labels,1,381,0.9999985098838806
col_remove,1,0,1.0
col_remove,1,1,0.9999988675117493
col_remove,1,3,0.9999990463256836
col_remove,1,4,0.9999990463256836
col_remove,1,6,0.9999983906745911
col_remove,1,7,0.9999988675117493
col_remove,1,9,0.9999985098838806
col_remove,1,10,0.9999990463256836
col_remove,1,12,0.9999982714653015
col_remove,1,13,0.9999979734420776
col_remove,1,15,0.9999980330467224
col_remove,1,16,0.999998152256012
col_remove,1,18,0.9999964237213135
col_remove,1,19,0.9999982118606567
col_remove,1,21,0.9999969005584717
col_remove,1,22,0.9999968409538269
col_remove,1,24,0.9999939799308777
col_remove,1,25,0.9999939799308777
col_remove,1,27,0.9999837875366211
col_remove,1,29,0.9999566674232483
row_remove,1,0,1.0
row_remove,1,19,0.9999998211860657
row_remove,1,39,0.9999998211860657
row_remove,1,59,0.9999997019767761
row_remove,1,79,0.9999995231628418
row_remove,1,99,0.9999988675117493
row_remove,1,119,0.9999986886978149
row_remove,1,139,0.9999983906745911
row_remove,1,159,0.999998927116394
row_remove,1,179,0.9999986886978149
row_remove,1,199,0.9999990463256836
row_remove,1,219,0.9999988079071045
row_remove,1,239,0.9999982714653015
row_remove,1,259,0.9999982714653015
row_remove,1,279,0.9999982714653015
row_remove,1,299,0.9999979138374329
row_remove,1,319,0.9999966621398926
row_remove,1,339,0.9999951124191284
row_remove,1,359,0.9999920725822449
row_remove,1,379,0.9999643564224243
value_noise,1,0,1.0
value_noise,1,601,0.9999993443489075
value_noise,1,1203,0.9999991059303284
value_noise,1,1804,0.999998927116394
value_noise,1,2406,0.9999988675117493
value_noise,1,3007,0.9999986886978149
value_noise,1,3609,0.9999984502792358
value_noise,1,4211,0.9999984502792358
value_noise,1,4812,0.9999984502792358
value_noise,1,5414,0.9999983906745911
value_noise,1,6015,0.9999982714653015
value_noise,1,6617,0.9999983906745911
value_noise,1,7218,0.9999982118606567
value_noise,1,7820,0.9999980330467224
value_noise,1,8422,0.9999982118606567
value_noise,1,9023,0.999998152256012
value_noise,1,9625,0.999998152256012
value_noise,1,10226,0.9999980330467224
value_noise,1,10828,0.9999980330467224
value_noise,1,11430,0.9999979734420776
row_shuffle,2,0,1.0
row_shuffle,2,20,0.9999993443489075
row_shuffle,2,40,0.9999997019767761
row_shuffle,2,60,0.9999994039535522
row_shuffle,2,80,0.9999995827674866
row_shuffle,2,100,0.9999992847442627
row_shuffle,2,120,0.9999995231628418
row_shuffle,2,140,0.9999980330467224
row_shuffle,2,160,0.9999991655349731
row_shuffle,2,180,0.9999991655349731
row_shuffle,2,200,0.9999993443489075
row_shuffle,2,220,0.9999995231628418
row_shuffle,2,240,0.9999995231628418
row_shuffle,2,260,0.9999993443489075
row_shuffle,2,280,0.9999995231628418
row_shuffle,2,300,0.9999993443489075
row_shuffle,2,320,0.9999966025352478
row_shuffle,2,340,0.9999994039535522
row_shuffle,2,360,0.9999995231628418
row_shuffle,2,381,0.9999993443489075
col_shuffle,2,0,1.0
col_shuffle,2,1,0.9999957084655762
col_shuffle,2,3,0.9999836683273315
col_shuffle,2,4,0.9999822974205017
col_shuffle,2,6,0.9998889565467834
col_shuffle,2,7,0.9999303817749023
col_shuffle,2,9,0.999973714351654
col_shuffle,2,11,0.9998878240585327
col_shuffle,2,12,0.9999192953109741
col_shuffle,2,14,0.9999672174453735
col_shuffle,2,15,0.9999771118164062
col_shuffle,2,17,0.999857485294342
col_shuffle,2,18,0.9999396204948425
col_shuffle,2,20,0.999940037727356
col_shuffle,2,22,0.9998555183410645
col_shuffle,2,23,0.9998886585235596
col_shuffle,2,25,0.9999735355377197
col_shuffle,2,26,0.9999620318412781
col_shuffle,2,28,0.9999209642410278
col_shuffle,2,30,0.9999633431434631
random_labels,2,0,1.0
random_labels,2,20,0.9999869465827942
random_labels,2,40,0.9999377727508545
random_labels,2,60,0.9997484683990479
random_labels,2,80,0.9999537467956543
random_labels,2,100,0.9989511966705322
random_labels,2,120,0.9996674060821533
random_labels,2,140,0.9980561137199402
random_labels,2,160,0.9994640946388245
random_labels,2,180,0.9986607432365417
random_labels,2,200,0.9985294938087463
random_labels,2,220,0.9961492419242859
random_labels,2,240,0.9961987733840942
random_labels,2,260,0.9971654415130615
random_labels,2,280,0.9978654980659485
random_labels,2,300,0.9966809749603271
random_labels,2,320,0.9935621023178101
random_labels,2,340,0.9953573346138
random_labels,2,360,0.9950816631317139
random_labels,2,381,0.9956175088882446
col_remove,2,0,1.0
col_remove,2,1,0.9996784329414368
col_remove,2,3,0.9999287128448486
col_remove,2,4,0.9996598362922668
col_remove,2,6,0.9995297193527222
col_remove,2,7,0.9998133182525635
col_remove,2,9,0.9995714426040649
col_remove,2,10,0.9997063279151917
col_remove,2,12,0.9993321895599365
col_remove,2,13,0.9986962676048279
col_remove,2,15,0.9990578293800354
col_remove,2,16,0.9991199374198914
col_remove,2,18,0.9972603917121887
col_remove,2,19,0.9982019662857056
col_remove,2,21,0.9937164783477783
col_remove,2,22,0.9971228837966919
col_remove,2,24,0.994275689125061
col_remove,2,25,0.9935641884803772
col_remove,2,27,0.9868649244308472
col_remove,2,29,0.9755136370658875
row_remove,2,0,1.0
row_remove,2,19,0.9999879598617554
row_remove,2,39,0.9999365210533142
row_remove,2,59,0.9999317526817322
row_remove,2,79,0.9998189806938171
row_remove,2,99,0.9993552565574646
row_remove,2,119,0.9997868537902832
row_remove,2,139,0.9994697570800781
row_remove,2,159,0.9977743029594421
row_remove,2,179,0.9990833401679993
row_remove,2,199,0.9992162585258484
row_remove,2,219,0.998670220375061
row_remove,2,239,0.9985644817352295
row_remove,2,259,0.9979459047317505
row_remove,2,279,0.9994097948074341
row_remove,2,299,0.9990075826644897
row_remove,2,319,0.9981389045715332
row_remove,2,339,0.9981322884559631
row_remove,2,359,0.9922916293144226
row_remove,2,379,0.9773522019386292
value_noise,2,0,1.0
value_noise,2,601,0.9997490644454956
value_noise,2,1203,0.999616265296936
value_noise,2,1804,0.9987797737121582
value_noise,2,2406,0.9946767091751099
value_noise,2,3007,0.9958708882331848
value_noise,2,3609,0.9944643974304199
value_noise,2,4211,0.9914978742599487
value_noise,2,4812,0.9924905896186829
value_noise,2,5414,0.9887406229972839
value_noise,2,6015,0.9809496998786926
value_noise,2,6617,0.9797914624214172
value_noise,2,7218,0.9792435169219971
value_noise,2,7820,0.9763047099113464
value_noise,2,8422,0.9744107723236084
value_noise,2,9023,0.9753150343894958
value_noise,2,9625,0.973780632019043
value_noise,2,10226,0.972690999507904
value_noise,2,10828,0.9707591533660889
value_noise,2,11430,0.9724158644676208
row_shuffle,3,0,1.0
row_shuffle,3,20,0.9999993443489075
row_shuffle,3,40,0.9999995827674866
row_shuffle,3,60,0.9999993443489075
row_shuffle,3,80,0.9999995231628418
row_shuffle,3,100,0.9999994039535522
row_shuffle,3,120,0.9999992847442627
row_shuffle,3,140,0.9999991655349731
row_shuffle,3,160,0.9999993443489075
row_shuffle,3,180,0.9999995231628418
row_shuffle,3,200,0.9999995231628418
row_shuffle,3,220,0.9999997019767761
row_shuffle,3,240,0.9999995827674866
row_shuffle,3,260,0.9999994039535522
row_shuffle,3,280,0.9999991655349731
row_shuffle,3,300,0.9999993443489075
row_shuffle,3,320,0.9999986886978149
row_shuffle,3,340,0.9999995231628418
row_shuffle,3,360,0.9999994039535522
row_shuffle,3,381,0.9999995231628418
col_shuffle,3,0,1.0
col_shuffle,3,1,0.9999933242797852
col_shuffle,3,3,0.9999797344207764
col_shuffle,3,4,0.9999818205833435
col_shuffle,3,6,0.9999600648880005
col_shuffle,3,7,0.9999633431434631
col_shuffle,3,9,0.9999719262123108
col_shuffle,3,11,0.9999526143074036
col_shuffle,3,12,0.9999165534973145
col_shuffle,3,14,0.9999682903289795
col_shuffle,3,15,0.9999645948410034
col_shuffle,3,17,0.9999317526817322
col_shuffle,3,18,0.999931812286377
col_shuffle,3,20,0.9999454617500305
col_shuffle,3,22,0.9999079704284668
col_shuffle,3,23,0.999873697757721
col_shuffle,3,25,0.9999660849571228
col_shuffle,3,26,0.9999368786811829
col_shuffle,3,28,0.9999562501907349
col_shuffle,3,30,0.9999468922615051
random_labels,3,0,1.0
random_labels,3,20,0.9999918937683105
random_labels,3,40,0.9999725818634033
random_labels,3,60,0.9998840093612671
random_labels,3,80,0.9999208450317383
random_labels,3,100,0.9994531273841858
random_labels,3,120,0.9996346235275269
random_labels,3,140,0.9990023374557495
random_labels,3,160,0.9997188448905945
random_labels,3,180,0.9995043873786926
random_labels,3,200,0.9994615316390991
random_labels,3,220,0.997875452041626
random_labels,3,240,0.9984667897224426
random_labels,3,260,0.9987117648124695
random_labels,3,280,0.9990131855010986
random_labels,3,300,0.9984115362167358
random_labels,3,320,0.9961221814155579
random_labels,3,340,0.9978206753730774
random_labels,3,360,0.9979429841041565
random_labels,3,381,0.9977291226387024
col_remove,3,0,1.0
col_remove,3,1,0.9996865391731262
col_remove,3,3,0.9997465014457703
col_remove,3,4,0.9996147751808167
col_remove,3,6,0.9991697072982788
col_remove,3,7,0.9997567534446716
col_remove,3,9,0.999613344669342
col_remove,3,10,0.999358057975769
col_remove,3,12,0.9995303750038147
col_remove,3,13,0.9989727735519409
col_remove,3,15,0.9993770122528076
col_remove,3,16,0.9989473223686218
col_remove,3,18,0.9982374310493469
col_remove,3,19,0.9986215233802795
col_remove,3,21,0.9968766570091248
col_remove,3,22,0.9977906942367554
col_remove,3,24,0.9968230724334717
col_remove,3,25,0.995597243309021
col_remove,3,27,0.9933843612670898
col_remove,3,29,0.9872831106185913
row_remove,3,0,1.0
row_remove,3,19,0.9999756217002869
row_remove,3,39,0.9999369978904724
row_remove,3,59,0.9999196529388428
row_remove,3,79,0.9998741745948792
row_remove,3,99,0.9996154308319092
row_remove,3,119,0.9995714426040649
row_remove,3,139,0.9993966221809387
row_remove,3,159,0.9988088607788086
row_remove,3,179,0.9995349049568176
row_remove,3,199,0.9994839429855347
row_remove,3,219,0.9990683794021606
row_remove,3,239,0.9988948702812195
row_remove,3,259,0.998628556728363
row_remove,3,279,0.9992622137069702
row_remove,3,299,0.9987146854400635
row_remove,3,319,0.9975689649581909
row_remove,3,339,0.9960021376609802
row_remove,3,359,0.9918878674507141
row_remove,3,379,0.977310836315155
value_noise,3,0,1.0
value_noise,3,601,0.9998108744621277
value_noise,3,1203,0.9996957778930664
value_noise,3,1804,0.9993093013763428
value_noise,3,2406,0.9968522191047668
value_noise,3,3007,0.997891366481781
value_noise,3,3609,0.9957942366600037
value_noise,3,4211,0.9953423142433167
value_noise,3,4812,0.995268702507019
value_noise,3,5414,0.9919071793556213
value_noise,3,6015,0.9856143593788147
value_noise,3,6617,0.9841263890266418
value_noise,3,7218,0.9826903939247131
value_noise,3,7820,0.9817912578582764
value_noise,3,8422,0.9784249067306519
value_noise,3,9023,0.9759031534194946
value_noise,3,9625,0.9724223613739014
value_noise,3,10226,0.9703971147537231
value_noise,3,10828,0.9661041498184204
value_noise,3,11430,0.9725187420845032
row_shuffle,last,0,0.99951171875
row_shuffle,last,20,0.99951171875
row_shuffle,last,40,0.99951171875
row_shuffle,last,60,0.99951171875
row_shuffle,last,80,0.99951171875
row_shuffle,last,100,0.99951171875
row_shuffle,last,120,0.99951171875
row_shuffle,last,140,0.99951171875
row_shuffle,last,160,0.99951171875
row_shuffle,last,180,0.99951171875
row_shuffle,last,200,0.99951171875
row_shuffle,last,220,0.99951171875
row_shuffle,last,240,0.99951171875
row_shuffle,last,260,0.99951171875
row_shuffle,last,280,0.99951171875
row_shuffle,last,300,0.99951171875
row_shuffle,last,320,0.99951171875
row_shuffle,last,340,0.99951171875
row_shuffle,last,360,0.99951171875
row_shuffle,last,381,0.99951171875
col_shuffle,last,0,0.99951171875
col_shuffle,last,1,0.9990234375
col_shuffle,last,3,0.99755859375
col_shuffle,last,4,0.99267578125
col_shuffle,last,6,0.99462890625
col_shuffle,last,7,0.99755859375
col_shuffle,last,9,0.99658203125
col_shuffle,last,11,0.9951171875
col_shuffle,last,12,0.9931640625
col_shuffle,last,14,0.994140625
col_shuffle,last,15,0.994140625
col_shuffle,last,17,0.99267578125
col_shuffle,last,18,0.98876953125
col_shuffle,last,20,0.9951171875
col_shuffle,last,22,0.9931640625
col_shuffle,last,23,0.9931640625
col_shuffle,last,25,0.9951171875
col_shuffle,last,26,0.994140625
col_shuffle,last,28,0.99462890625
col_shuffle,last,30,0.994140625
random_labels,last,0,0.99951171875
random_labels,last,20,0.97119140625
random_labels,last,40,0.94384765625
random_labels,last,60,0.92529296875
random_labels,last,80,0.9248046875
random_labels,last,100,0.91259765625
random_labels,last,120,0.91064453125
random_labels,last,140,0.90966796875
random_labels,last,160,0.90234375
random_labels,last,180,0.89501953125
random_labels,last,200,0.88916015625
random_labels,last,220,0.8837890625
random_labels,last,240,0.88232421875
random_labels,last,260,0.87548828125
random_labels,last,280,0.8759765625
random_labels,last,300,0.86474609375
random_labels,last,320,0.845703125
random_labels,last,340,0.85107421875
random_labels,last,360,0.85107421875
random_labels,last,381,0.84912109375
col_remove,last,0,0.99951171875
col_remove,last,1,0.9931640625
col_remove,last,3,0.99267578125
col_remove,last,4,0.9892578125
col_remove,last,6,0.99169921875
col_remove,last,7,0.99072265625
col_remove,last,9,0.984375
col_remove,last,10,0.98779296875
col_remove,last,12,0.9892578125
col_remove,last,13,0.986328125
col_remove,last,15,0.9775390625
col_remove,last,16,0.98095703125
col_remove,last,18,0.97216796875
col_remove,last,19,0.9853515625
col_remove,last,21,0.97265625
col_remove,last,22,0.97216796875
col_remove,last,24,0.9736328125
col_remove,last,25,0.96142578125
col_remove,last,27,0.96337890625
col_remove,last,29,0.947265625
row_remove,last,0,0.99951171875
row_remove,last,19,0.998046875
row_remove,last,39,0.99658203125
row_remove,last,59,0.9853515625
row_remove,last,79,0.994140625
row_remove,last,99,0.990234375
row_remove,last,119,0.9873046875
row_remove,last,139,0.98291015625
row_remove,last,159,0.98095703125
row_remove,last,179,0.9814453125
row_remove,last,199,0.978515625
row_remove,last,219,0.97119140625
row_remove,last,239,0.97509765625
row_remove,last,259,0.9736328125
row_remove,last,279,0.9677734375
row_remove,last,299,0.95361328125
row_remove,last,319,0.9580078125
row_remove,last,339,0.94384765625
row_remove,last,359,0.9150390625
row_remove,last,379,0.84765625
value_noise,last,0,0.99951171875
value_noise,last,601,0.9912109375
value_noise,last,1203,0.9853515625
value_noise,last,1804,0.98876953125
value_noise,last,2406,0.98291015625
value_noise,last,3007,0.982421875
value_noise,last,3609,0.9765625
value_noise,last,4211,0.97265625
value_noise,last,4812,0.97900390625
value_noise,last,5414,0.97216796875
value_noise,last,6015,0.9658203125
value_noise,last,6617,0.96240234375
value_noise,last,7218,0.95654296875
value_noise,last,7820,0.955078125
value_noise,last,8422,0.9541015625
value_noise,last,9023,0.9453125
value_noise,last,9625,0.91845703125
value_noise,last,10226,0.88818359375
value_noise,last,10828,0.86767578125
value_noise,last,11430,0.85986328125
