experiment,layer,level,value
row_shuffle,early,0,1.0
row_shuffle,early,63,0.9929763413124397
row_shuffle,early,126,0.9920194770383558
row_shuffle,early,189,0.9932743733110263
row_shuffle,early,253,0.9921526562374319
row_shuffle,early,316,0.992492359055866
row_shuffle,early,379,0.9918356297681288
row_shuffle,early,443,0.9907947685648061
row_shuffle,early,506,0.9932677109112198
row_shuffle,early,569,0.9923838434194708
row_shuffle,early,633,0.9930608245689256
row_shuffle,early,696,0.9917557743617552
row_shuffle,early,759,0.9932800296560578
row_shuffle,early,823,0.9922021583087696
row_shuffle,early,886,0.9923298659258292
row_shuffle,early,949,0.9911699012702125
row_shuffle,early,1013,0.9929308004000181
row_shuffle,early,1076,0.9923093156333962
row_shuffle,early,1139,0.9936432177529544
row_shuffle,early,1203,0.9906768776917514
col_shuffle,early,0,1.0
col_shuffle,early,3,0.9704210713104673
col_shuffle,early,6,0.9380472840313667
col_shuffle,early,10,0.9430813161859596
col_shuffle,early,13,0.9299235690293521
col_shuffle,early,16,0.9319255901202508
col_shuffle,early,20,0.912858958396186
col_shuffle,early,23,0.9147675682770197
col_shuffle,early,26,0.9068598204383371
col_shuffle,early,30,0.9025891118998863
col_shuffle,early,33,0.9005764778449935
col_shuffle,early,37,0.896237301160795
col_shuffle,early,40,0.897550525698286
col_shuffle,early,43,0.8936974995567517
col_shuffle,early,47,0.8989689978473772
col_shuffle,early,50,0.8918708425675064
col_shuffle,early,53,0.9066212707104669
col_shuffle,early,57,0.9040448424933811
col_shuffle,early,60,0.8870249904403974
col_shuffle,early,64,0.9009078970688786
random_labels,early,0,1.0
random_labels,early,63,0.9989471978955141
random_labels,early,126,0.9997904542993775
random_labels,early,189,0.9998396386611669
random_labels,early,253,0.9997862677113436
random_labels,early,316,0.9999340578407008
random_labels,early,379,0.9992849894040498
random_labels,early,443,0.9994743881245921
random_labels,early,506,0.9994832967833713
random_labels,early,569,0.9993947999851368
random_labels,early,633,0.9997635469118573
random_labels,early,696,0.9992384369039536
random_labels,early,759,0.9994904408784258
random_labels,early,823,0.9993347048257021
random_labels,early,886,0.999696889428237
random_labels,early,949,0.9982805190646776
random_labels,early,1013,0.9997651911308926
random_labels,early,1076,0.9993067148646466
random_labels,early,1139,0.9993275277642075
random_labels,early,1203,0.9986914258483627
col_remove,early,0,1.0
col_remove,early,3,0.758248216101848
col_remove,early,6,0.6507771449677029
col_remove,early,9,0.6462097296542446
col_remove,early,13,0.5963175308617746
col_remove,early,16,0.5968183171652204
col_remove,early,19,0.5703111578581287
col_remove,early,23,0.42507354103583117
col_remove,early,26,0.3678507370433622
col_remove,early,29,0.3560945887094926
