experiment,layer,level,value
row_shuffle,early,0,4.49420497738569
row_shuffle,early,63,2.9113545487150585
row_shuffle,early,126,2.8328321957069047
row_shuffle,early,189,2.898944290710496
row_shuffle,early,253,2.81610417766335
row_shuffle,early,316,2.845654818625092
row_shuffle,early,379,2.8355020757546576
row_shuffle,early,443,2.740787769007242
row_shuffle,early,506,2.91538925055864
row_shuffle,early,569,2.8718798989083423
row_shuffle,early,633,2.9510823372205337
row_shuffle,early,696,2.847099777239185
row_shuffle,early,759,2.9370915909794597
row_shuffle,early,823,2.8329761378317584
row_shuffle,early,886,2.8405574438866354
row_shuffle,early,949,2.7883094013975893
row_shuffle,early,1013,2.878688098018854
row_shuffle,early,1076,2.859862091321348
row_shuffle,early,1139,2.952592894692901
row_shuffle,early,1203,2.795798094047374
col_shuffle,early,0,4.49420497738569
col_shuffle,early,3,2.0551587491321763
col_shuffle,early,6,1.6643441005255994
col_shuffle,early,10,1.6698697003278855
col_shuffle,early,13,1.5543146922964328
col_shuffle,early,16,1.5912848268452309
col_shuffle,early,20,1.430598580013955
col_shuffle,early,23,1.411258355736638
col_shuffle,early,26,1.355163073437788
col_shuffle,early,30,1.3735601616246493
col_shuffle,early,33,1.3423129300276324
col_shuffle,early,37,1.3060743056174853
col_shuffle,early,40,1.3507782868205243
col_shuffle,early,43,1.3247347190444125
col_shuffle,early,47,1.3041613495169593
col_shuffle,early,50,1.3455710586692085
col_shuffle,early,53,1.3635899362002362
col_shuffle,early,57,1.3090920441144251
col_shuffle,early,60,1.2909561698436487
col_shuffle,early,64,1.2599921821065587
random_labels,early,0,4.49420497738569
random_labels,early,63,2.9404295629778545
random_labels,early,126,3.1558541863981238
random_labels,early,189,3.1219380952522577
random_labels,early,253,3.189850697599379
random_labels,early,316,3.410059776438734
random_labels,early,379,2.939927748511707
random_labels,early,443,2.8726584460619744
random_labels,early,506,2.8746160633964486
random_labels,early,569,2.9658673944591616
random_labels,early,633,3.0416092006711697
random_labels,early,696,2.969808480292123
random_labels,early,759,2.919915676646264
random_labels,early,823,2.742796933436293
random_labels,early,886,2.9583952236198603
random_labels,early,949,2.6658820878339973
random_labels,early,1013,3.1583805371259257
random_labels,early,1076,2.65050933493559
random_labels,early,1139,2.7271479790236373
random_labels,early,1203,2.470695539037018
col_remove,early,0,4.49420497738569
col_remove,early,3,0.8991975903264182
col_remove,early,6,0.7647128224967237
col_remove,early,9,0.7611923301711058
col_remove,early,13,0.712919003247412
