experiment,layer,level,value
row_shuffle,early,0,2.626415272492485
row_shuffle,early,5,2.438826482809945
row_shuffle,early,10,2.5229922701476073
row_shuffle,early,15,2.4349280227630477
row_shuffle,early,21,2.4859506147543895
row_shuffle,early,26,2.500218212607925
row_shuffle,early,31,2.5054291726548223
row_shuffle,early,36,2.4806628036072036
row_shuffle,early,42,2.4933927030480403
row_shuffle,early,47,2.4845984287459535
row_shuffle,early,52,2.4908907076476074
row_shuffle,early,57,2.49200741038931
row_shuffle,early,63,2.438974672294072
row_shuffle,early,68,2.4944027589643465
row_shuffle,early,73,2.4900733826115324
row_shuffle,early,78,2.490786067496092
row_shuffle,early,84,2.5278982834051833
row_shuffle,early,89,2.504210794678632
row_shuffle,early,94,2.476206702416727
row_shuffle,early,100,2.4743057283907532
col_shuffle,early,0,2.626415272492485
col_shuffle,early,0,2.626415272492485
col_shuffle,early,0,2.626415272492485
col_shuffle,early,0,2.626415272492485
col_shuffle,early,0,2.626415272492485
col_shuffle,early,1,0.9628841866535374
col_shuffle,early,1,1.1122435356274738
col_shuffle,early,1,0.9171358161111329
col_shuffle,early,1,1.1122435356274738
col_shuffle,early,1,0.9534236077726612
col_shuffle,early,2,0.8951243190020759
col_shuffle,early,2,0.9672964552072942
col_shuffle,early,2,0.9446880092121162
col_shuffle,early,2,2.626415272492485
col_shuffle,early,2,0.9303273058570335
col_shuffle,early,3,0.9534236077726612
col_shuffle,early,3,0.8822571979944203
col_shuffle,early,3,0.9171358161111329
col_shuffle,early,3,0.8843006933065087
col_shuffle,early,4,0.8778140610692917
random_labels,early,0,2.626415272492485
random_labels,early,5,2.2141226640592513
random_labels,early,10,2.173899414652408
random_labels,early,15,1.8141399716481246
random_labels,early,21,1.7450975738141365
random_labels,early,26,1.5751994511741714
random_labels,early,31,1.6189704741561812
random_labels,early,36,1.504402214251701
random_labels,early,42,1.506866487352385
random_labels,early,47,1.3752495364388126
random_labels,early,52,1.2974544654698343
random_labels,early,57,1.3517943149061056
random_labels,early,63,1.3116225061676912
random_labels,early,68,1.3035618370030964
random_labels,early,73,1.1144592340160606
random_labels,early,78,1.1441487957413945
random_labels,early,84,1.2807101972121644
random_labels,early,89,0.9572232123087568
random_labels,early,94,1.3214095449841006
random_labels,early,100,1.0511614089588202
col_remove,early,0,2.626415272492485
col_remove,early,0,2.626415272492485
col_remove,early,0,2.626415272492485
col_remove,early,0,2.626415272492485
col_remove,early,0,2.626415272492485
col_remove,early,0,2.626415272492485
col_remove,early,0,2.626415272492485
col_remove,early,1,0.6107271743192698
col_remove,early,1,0.4934524259592096
col_remove,early,1,0.592016381607612
col_remove,early,1,0.6107271743192698
col_remove,early,1,0.6107271743192698
col_remove,early,1,0.592016381607612
col_remove,early,2,0.44691896792788266
col_remove,early,2,0.5015397326601432
col_remove,early,2,0.44691896792788266
col_remove,early,2,0.36699482176267
col_remove,early,2,0.3134549078489029
col_remove,early,2,0.42242783310918175
col_remove,early,3,0.28649161768034964
row_remove,early,0,2.626415272492485
row_remove,early,5,1.1358902398221948
row_remove,early,10,1.1668819571789801
row_remove,early,15,1.0257675005877225
row_remove,early,20,0.997904017250394
row_remove,early,25,1.065778195963425
row_remove,early,30,1.0402625552895928
row_remove,early,36,0.9832172544280894
row_remove,early,41,0.9137780513625753
row_remove,early,46,0.772564481615205
row_remove,early,51,0.7623428588387244
row_remove,early,56,0.6956846429829244
row_remove,early,61,0.7117565869548991
row_remove,early,67,0.635152678462875
row_remove,early,72,0.5838720137544516
row_remove,early,77,0.518523160711649
row_remove,early,82,0.632572429209522
row_remove,early,87,0.4849561620996269
row_remove,early,92,0.30291807294333023
row_remove,early,98,0.25054359730600695
value_noise,early,0,2.626415272492485
value_noise,early,21,1.0862778809465277
value_noise,early,42,1.0688091020535904
value_noise,early,63,0.8964646325604142
value_noise,early,84,0.9120104496660271
value_noise,early,105,0.7016553511057805
value_noise,early,126,0.8394206634089436
value_noise,early,147,0.714908875520035
value_noise,early,168,0.7089326372580209
value_noise,early,189,0.6869776367446048
value_noise,early,210,0.620847419972483
value_noise,early,231,0.6966933135697245
value_noise,early,252,0.6861207551041579
value_noise,early,273,0.5782026541819683
value_noise,early,294,0.5814749490912728
value_noise,early,315,0.5567100350196637
value_noise,early,336,0.5585422218944536
value_noise,early,357,0.49785229231501515
value_noise,early,378,0.48348968738469045
value_noise,early,400,0.5033296308050059
alt_target,early,0,0.4007534652339508
alt_target,early,1,0.3643065760658321
alt_target,early,2,0.3363950357900467
alt_target,early,3,0.36785015523305986
row_shuffle,middle,0,2.645439713329426
row_shuffle,middle,5,2.4557804871389495
row_shuffle,middle,10,2.592012629996092
row_shuffle,middle,15,2.452543000667088
row_shuffle,middle,21,2.565861588329426
row_shuffle,middle,26,2.5963742371389493
row_shuffle,middle,31,2.600809504996092
row_shuffle,middle,36,2.5645461121389497
row_shuffle,middle,42,2.5672261716627585
row_shuffle,middle,47,2.5645014692818067
row_shuffle,middle,52,2.5641584633294254
row_shuffle,middle,57,2.5634211121389496
row_shuffle,middle,63,2.5022972282103777
row_shuffle,middle,68,2.5642782549960925
row_shuffle,middle,73,2.560504445472283
row_shuffle,middle,78,2.5629545942818064
row_shuffle,middle,84,2.594575129996092
row_shuffle,middle,89,2.590572153805616
row_shuffle,middle,94,2.5655773621389493
row_shuffle,middle,100,2.564244028805616
col_shuffle,middle,0,2.645439713329426
col_shuffle,middle,0,2.645439713329426
col_shuffle,middle,0,2.645439713329426
col_shuffle,middle,0,2.645439713329426
col_shuffle,middle,0,2.645439713329426
col_shuffle,middle,1,1.205476850079609
col_shuffle,middle,1,1.1534220051904986
col_shuffle,middle,1,1.0456382037775847
col_shuffle,middle,1,1.1534220051904986
col_shuffle,middle,1,1.0268817761729316
col_shuffle,middle,2,0.9773847645776513
col_shuffle,middle,2,0.9210777024276888
col_shuffle,middle,2,0.9971405448600099
col_shuffle,middle,2,2.645439713329426
col_shuffle,middle,2,0.9825341213694795
col_shuffle,middle,3,1.0268817761729316
col_shuffle,middle,3,0.9247283737397127
col_shuffle,middle,3,1.0456382037775847
col_shuffle,middle,3,0.9461894261407949
col_shuffle,middle,4,0.9466119781197669
random_labels,middle,0,2.645439713329426
random_labels,middle,5,1.2840367628758758
random_labels,middle,10,1.0209536410903246
random_labels,middle,15,0.8820213941891859
random_labels,middle,21,0.7419407474950628
random_labels,middle,26,0.7478188793293428
random_labels,middle,31,0.6114619172391056
random_labels,middle,36,0.6383845824268383
random_labels,middle,42,0.7053616350902252
random_labels,middle,47,0.5709844669232564
random_labels,middle,52,0.5021037323490962
random_labels,middle,57,0.46968253444222996
random_labels,middle,63,0.3436008092594003
random_labels,middle,68,0.4011203555864207
random_labels,middle,73,0.25043815769959593
random_labels,middle,78,0.25688050975275534
random_labels,middle,84,0.1391002361165294
random_labels,middle,89,0.21910773951718793
random_labels,middle,94,0.282674907471561
random_labels,middle,100,0.1445348553799652
col_remove,middle,0,2.645439713329426
col_remove,middle,0,2.645439713329426
col_remove,middle,0,2.645439713329426
col_remove,middle,0,2.645439713329426
col_remove,middle,0,2.645439713329426
col_remove,middle,0,2.645439713329426
col_remove,middle,0,2.645439713329426
col_remove,middle,1,0.6609301167581215
col_remove,middle,1,0.7290653485618955
col_remove,middle,1,0.8074714685806041
col_remove,middle,1,0.6609301167581215
col_remove,middle,1,0.6609301167581215
col_remove,middle,1,0.8074714685806041
col_remove,middle,2,0.5852166829108707
col_remove,middle,2,0.5636726468920008
col_remove,middle,2,0.5852166829108707
col_remove,middle,2,0.6692239213809549
col_remove,middle,2,0.3887563838250323
