experiment,layer,level,value
row_shuffle,early,0,1.0
row_shuffle,early,6,0.9979219977995423
row_shuffle,early,12,0.9958071644469932
row_shuffle,early,18,0.9919684142837325
row_shuffle,early,25,0.9967786213199674
row_shuffle,early,31,0.9966495902542062
row_shuffle,early,37,0.9970226018008927
row_shuffle,early,43,0.9855886639341881
row_shuffle,early,50,0.9966048419253614
row_shuffle,early,56,0.9874530357507814
row_shuffle,early,62,0.9831994006442035
row_shuffle,early,68,0.9916078597318276
row_shuffle,early,75,0.9956208530173176
row_shuffle,early,81,0.9904656354927
row_shuffle,early,87,0.9881676342364414
row_shuffle,early,93,0.9848675796440082
row_shuffle,early,100,0.9923596114488102
row_shuffle,early,106,0.9923121690288798
row_shuffle,early,112,0.9905102268230948
row_shuffle,early,119,0.995935985399829
col_shuffle,early,0,1.0
col_shuffle,early,0,1.0
col_shuffle,early,1,0.951483547780418
col_shuffle,early,2,0.8985209240880534
col_shuffle,early,2,0.8677399782396169
col_shuffle,early,3,0.8612867961352202
col_shuffle,early,4,0.8557569635463373
col_shuffle,early,4,0.8943858225896052
col_shuffle,early,5,0.8474355859064056
col_shuffle,early,6,0.8846144119008227
col_shuffle,early,6,0.834130261797809
col_shuffle,early,7,0.8213566636367106
col_shuffle,early,8,0.797926117194768
col_shuffle,early,8,0.8621269501956592
col_shuffle,early,9,0.821592554079631
col_shuffle,early,10,0.8424429996327667
col_shuffle,early,10,0.845585755579932
col_shuffle,early,11,0.8841874670618708
col_shuffle,early,12,0.8475720906149606
col_shuffle,early,13,0.8743448105007497
random_labels,early,0,1.0
random_labels,early,6,0.9998866427029952
random_labels,early,12,0.9991275849968212
random_labels,early,18,0.9998027362801174
random_labels,early,25,0.9987912969161349
random_labels,early,31,0.998773967310105
random_labels,early,37,0.9989318151184498
random_labels,early,43,0.9965496318975509
random_labels,early,50,0.9963271380828833
random_labels,early,56,0.9951522275022929
random_labels,early,62,0.9984679123064759
random_labels,early,68,0.9754781528627171
random_labels,early,75,0.997540853464802
random_labels,early,81,0.9926950074990954
random_labels,early,87,0.9971589370477759
random_labels,early,93,0.993620175202421
random_labels,early,100,0.9742721573900169
random_labels,early,106,0.9904961673590142
random_labels,early,112,0.9773955483988326
random_labels,early,119,0.992066538431348
col_remove,early,0,1.0
col_remove,early,0,1.0
col_remove,early,1,0.6026136446142745
col_remove,early,1,0.7566398141255778
col_remove,early,2,0.65202083845544
col_remove,early,3,0.45658211863991205
col_remove,early,3,0.4559960392016151
col_remove,early,4,0.407248078603473
col_remove,early,5,0.48669349760252717
col_remove,early,5,0.4297459173214892
col_remove,early,6,0.4399696403953679
col_remove,early,6,0.4631778084000807
col_remove,early,7,0.48229924073395347
col_remove,early,8,0.2868928090563629
col_remove,early,8,0.3437419971834505
col_remove,early,9,0.2432536518463305
col_remove,early,10,0.15893297925039482
col_remove,early,10,0.26671236917097974
col_remove,early,11,0.14849411803443266
col_remove,early,12,0.14579681524825594
row_remove,early,0,1.0
row_remove,early,6,0.9421247241830265
row_remove,early,12,0.802514625710684
row_remove,early,18,0.8040421662298516
row_remove,early,24,0.7982000164229379
row_remove,early,30,0.7691380806194552
row_remove,early,36,0.6551754404016319
row_remove,early,43,0.8173665387615843
row_remove,early,49,0.7436594652046657
row_remove,early,55,0.6423522211054359
row_remove,early,61,0.7196369456697634
row_remove,early,67,0.6514147762751391
row_remove,early,73,0.6350776674855166
row_remove,early,80,0.47195330209247066
row_remove,early,86,0.6663366984662558
row_remove,early,92,0.6427482719094533
row_remove,early,98,0.5375210523667997
row_remove,early,104,0.3290764761897157
row_remove,early,110,0.40453927890485697
row_remove,early,117,0.15945302383278745
value_noise,early,0,1.0
value_noise,early,81,0.8441452886297182
value_noise,early,162,0.7974023927324062
value_noise,early,244,0.825638493753749
value_noise,early,325,0.8132529423184491
value_noise,early,407,0.8199277980660523
value_noise,early,488,0.8184546266681009
value_noise,early,569,0.7754117491092672
value_noise,early,651,0.6855796930009759
value_noise,early,732,0.7571488034397778
value_noise,early,814,0.7286266921649627
value_noise,early,895,0.7331712163755181
value_noise,early,977,0.5719975472810136
value_noise,early,1058,0.6802013030481202
value_noise,early,1139,0.7614801872489948
value_noise,early,1221,0.7231229789674727
value_noise,early,1302,0.5948814938137325
value_noise,early,1384,0.7310195474435793
value_noise,early,1465,0.6405374377480577
value_noise,early,1547,0.6467223154471772
alt_target,early,0,0.7268625413586325
alt_target,early,1,0.663136397808622
alt_target,early,2,0.7092404660988949
