experiment,layer,level,value
row_shuffle,early,0,2.7886303125683636
row_shuffle,early,6,2.5371218942564497
row_shuffle,early,12,2.40486801621023
row_shuffle,early,18,2.3197216451054823
row_shuffle,early,25,2.4979450810895387
row_shuffle,early,31,2.526545993081743
row_shuffle,early,37,2.5169792904753905
row_shuffle,early,43,2.3234923890166193
row_shuffle,early,50,2.4878777110077217
row_shuffle,early,56,2.4132126270108225
row_shuffle,early,62,2.309118762128561
row_shuffle,early,68,2.4545245156024014
row_shuffle,early,75,2.419829772200535
row_shuffle,early,81,2.428043188500152
row_shuffle,early,87,2.2805249883487084
row_shuffle,early,93,2.2617336867393862
row_shuffle,early,100,2.4333534638434258
row_shuffle,early,106,2.486018065397248
row_shuffle,early,112,2.3054954584894194
row_shuffle,early,119,2.4184762133424957
col_shuffle,early,0,2.7886303125683636
col_shuffle,early,0,2.7886303125683636
col_shuffle,early,1,1.6397270247465872
col_shuffle,early,2,1.1827309118791502
col_shuffle,early,2,1.111870530974553
col_shuffle,early,3,1.0208410833818085
col_shuffle,early,4,1.053128255409455
col_shuffle,early,4,1.1412784865000551
col_shuffle,early,5,1.0289298497646877
col_shuffle,early,6,1.1360127672621423
col_shuffle,early,6,1.0070163362786348
col_shuffle,early,7,1.0706696944956209
col_shuffle,early,8,0.9553691891091232
col_shuffle,early,8,1.0698750284756302
col_shuffle,early,9,0.8985688691670981
col_shuffle,early,10,0.9563577151879701
col_shuffle,early,10,0.992506955123901
col_shuffle,early,11,1.070806753075857
col_shuffle,early,12,1.1752092032137311
col_shuffle,early,13,0.9833323425852382
random_labels,early,0,2.7886303125683636
random_labels,early,6,2.47761904013144
random_labels,early,12,2.1026205941909692
random_labels,early,18,2.400918846373649
random_labels,early,25,2.278865631756011
random_labels,early,31,2.201289557391977
random_labels,early,37,2.2745188520526023
random_labels,early,43,2.098139781172065
random_labels,early,50,1.9368440018325925
random_labels,early,56,1.9097379977728728
random_labels,early,62,1.5988790545639326
random_labels,early,68,1.4661183647941034
random_labels,early,75,1.8950438974669943
random_labels,early,81,1.7234047732692694
random_labels,early,87,1.4163586593005457
random_labels,early,93,1.627057104109522
random_labels,early,100,1.4123292477269407
random_labels,early,106,1.6035474209568896
random_labels,early,112,1.4722302484803866
random_labels,early,119,1.2860206326958428
col_remove,early,0,2.7886303125683636
col_remove,early,0,2.7886303125683636
col_remove,early,1,0.5394611796562363
col_remove,early,1,0.7109992509273706
col_remove,early,2,0.5408596040023284
col_remove,early,3,0.38693125820902774
col_remove,early,3,0.3708541232305651
col_remove,early,4,0.322228235662922
col_remove,early,5,0.2992967596666277
col_remove,early,5,0.3225867652353457
col_remove,early,6,0.2664884850165209
col_remove,early,6,0.2774568238037003
col_remove,early,7,0.28052371402801646
col_remove,early,8,0.1475960495195932
col_remove,early,8,0.1894105320958731
col_remove,early,9,0.12949250577491536
col_remove,early,10,0.06944453314793553
col_remove,early,10,0.12760443731284846
col_remove,early,11,0.06159828959313368
