experiment,layer,level,cosine_similarity
row_shuffle,tf_col,0,1.0
row_shuffle,tf_col,20,0.9999523758888245
row_shuffle,tf_col,40,0.9999492168426514
row_shuffle,tf_col,60,0.9999300241470337
row_shuffle,tf_col,80,0.9999569654464722
row_shuffle,tf_col,100,0.9999349117279053
row_shuffle,tf_col,120,0.999947726726532
row_shuffle,tf_col,140,0.9999504685401917
row_shuffle,tf_col,160,0.9999498128890991
row_shuffle,tf_col,180,0.9999240040779114
row_shuffle,tf_col,200,0.9999573230743408
row_shuffle,tf_col,220,0.9999508857727051
row_shuffle,tf_col,240,0.9999517798423767
row_shuffle,tf_col,260,0.9999553561210632
row_shuffle,tf_col,280,0.9999176263809204
row_shuffle,tf_col,300,0.9999423027038574
row_shuffle,tf_col,320,0.999953031539917
row_shuffle,tf_col,340,0.999945878982544
row_shuffle,tf_col,360,0.9999029040336609
row_shuffle,tf_col,381,0.9999313354492188
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,1,0.9995173811912537
col_shuffle,tf_col,3,0.9991913437843323
col_shuffle,tf_col,4,0.9984021186828613
col_shuffle,tf_col,6,0.9993095993995667
col_shuffle,tf_col,7,0.9992203116416931
col_shuffle,tf_col,9,0.9983702301979065
col_shuffle,tf_col,11,0.9973728656768799
col_shuffle,tf_col,12,0.9986042976379395
col_shuffle,tf_col,14,0.9961302876472473
col_shuffle,tf_col,15,0.9977942705154419
col_shuffle,tf_col,17,0.9969922304153442
col_shuffle,tf_col,18,0.9976115226745605
col_shuffle,tf_col,20,0.9919821619987488
col_shuffle,tf_col,22,0.9984626770019531
col_shuffle,tf_col,23,0.998313307762146
col_shuffle,tf_col,25,0.9979196190834045
col_shuffle,tf_col,26,0.9960663318634033
col_shuffle,tf_col,28,0.9957641959190369
col_shuffle,tf_col,30,0.9982174634933472
random_labels,tf_col,0,1.0
random_labels,tf_col,20,0.99586421251297
random_labels,tf_col,40,0.9807485938072205
random_labels,tf_col,60,0.9346120357513428
random_labels,tf_col,80,0.9329540133476257
random_labels,tf_col,100,0.9052497148513794
random_labels,tf_col,120,0.880562424659729
random_labels,tf_col,140,0.867792010307312
random_labels,tf_col,160,0.8348234295845032
random_labels,tf_col,180,0.7837198376655579
random_labels,tf_col,200,0.7159724831581116
random_labels,tf_col,220,0.6973982453346252
random_labels,tf_col,240,0.6554253101348877
random_labels,tf_col,260,0.671288013458252
random_labels,tf_col,280,0.6261305212974548
random_labels,tf_col,300,0.5464985370635986
random_labels,tf_col,320,0.4756458103656769
random_labels,tf_col,340,0.37510696053504944
random_labels,tf_col,360,0.3684619665145874
random_labels,tf_col,381,0.3850718140602112
col_remove,tf_col,0,1.0
col_remove,tf_col,1,0.9981032013893127
col_remove,tf_col,3,0.9972527623176575
col_remove,tf_col,4,0.9983729124069214
col_remove,tf_col,6,0.9957448244094849
col_remove,tf_col,7,0.9960304498672485
col_remove,tf_col,9,0.9967330098152161
col_remove,tf_col,10,0.9960320591926575
col_remove,tf_col,12,0.9928730130195618
col_remove,tf_col,13,0.9957820773124695
col_remove,tf_col,15,0.9937695264816284
col_remove,tf_col,16,0.9908110499382019
col_remove,tf_col,18,0.9794787764549255
col_remove,tf_col,19,0.9931144118309021
col_remove,tf_col,21,0.979364812374115
col_remove,tf_col,22,0.9824725389480591
col_remove,tf_col,24,0.9819241762161255
col_remove,tf_col,25,0.983558177947998
col_remove,tf_col,27,0.9556804299354553
col_remove,tf_col,29,0.7502752542495728
row_remove,tf_col,0,1.0
row_remove,tf_col,19,0.9998230338096619
row_remove,tf_col,39,0.9995818734169006
row_remove,tf_col,59,0.9996389746665955
row_remove,tf_col,79,0.9990012049674988
row_remove,tf_col,99,0.9992206692695618
row_remove,tf_col,119,0.9980582594871521
row_remove,tf_col,139,0.9978821277618408
row_remove,tf_col,159,0.9936034083366394
row_remove,tf_col,179,0.9955371022224426
row_remove,tf_col,199,0.9904072284698486
row_remove,tf_col,219,0.9841545820236206
row_remove,tf_col,239,0.9880536794662476
row_remove,tf_col,259,0.9878849387168884
row_remove,tf_col,279,0.969937264919281
row_remove,tf_col,299,0.9600516557693481
row_remove,tf_col,319,0.9556366205215454
row_remove,tf_col,339,0.9026145339012146
row_remove,tf_col,359,0.8352964520454407
row_remove,tf_col,379,0.4948049485683441
value_noise,tf_col,0,1.0
value_noise,tf_col,601,0.9954510927200317
value_noise,tf_col,1203,0.9854721426963806
value_noise,tf_col,1804,0.9702661633491516
value_noise,tf_col,2406,0.9542882442474365
value_noise,tf_col,3007,0.9294585585594177
value_noise,tf_col,3609,0.92329341173172
value_noise,tf_col,4211,0.8926820158958435
value_noise,tf_col,4812,0.8778858780860901
value_noise,tf_col,5414,0.8619512915611267
value_noise,tf_col,6015,0.8121677041053772
value_noise,tf_col,6617,0.7612674236297607
value_noise,tf_col,7218,0.7048469185829163
value_noise,tf_col,7820,0.6650036573410034
value_noise,tf_col,8422,0.6365336179733276
value_noise,tf_col,9023,0.5825512409210205
value_noise,tf_col,9625,0.4872179329395294
value_noise,tf_col,10226,0.38822141289711
value_noise,tf_col,10828,0.3914213478565216
value_noise,tf_col,11430,0.36251506209373474
alt_target,tf_col,0,0.8472797870635986
alt_target,tf_col,1,0.6386958360671997
alt_target,tf_col,2,0.8481600880622864
alt_target,tf_col,3,0.851981520652771
alt_target,tf_col,4,0.7321272492408752
alt_target,tf_col,5,0.8236058950424194
alt_target,tf_col,6,0.8214970827102661
alt_target,tf_col,7,0.8356545567512512
alt_target,tf_col,8,0.6922219395637512
alt_target,tf_col,9,0.8120316863059998
alt_target,tf_col,10,0.772710919380188
alt_target,tf_col,11,0.679612398147583
alt_target,tf_col,12,0.775151789188385
alt_target,tf_col,13,0.7851250767707825
alt_target,tf_col,14,0.795645534992218
alt_target,tf_col,15,0.7752479314804077
alt_target,tf_col,16,0.7644489407539368
alt_target,tf_col,17,0.7435927987098694
alt_target,tf_col,18,0.689512312412262
alt_target,tf_col,19,0.7647117376327515
alt_target,tf_col,20,0.8446634411811829
alt_target,tf_col,21,0.6664779186248779
alt_target,tf_col,22,0.8449830412864685
alt_target,tf_col,23,0.8463201522827148
alt_target,tf_col,24,0.7831574082374573
alt_target,tf_col,25,0.815366804599762
alt_target,tf_col,26,0.8032947182655334
alt_target,tf_col,27,0.8216838240623474
alt_target,tf_col,28,0.7095786333084106
alt_target,tf_col,29,0.7995802164077759
row_shuffle,tf_row,0,1.0
row_shuffle,tf_row,20,0.999941885471344
row_shuffle,tf_row,40,0.9999297261238098
row_shuffle,tf_row,60,0.999891459941864
row_shuffle,tf_row,80,0.9999297261238098
row_shuffle,tf_row,100,0.9998233914375305
row_shuffle,tf_row,120,0.999886691570282
row_shuffle,tf_row,140,0.9999203085899353
row_shuffle,tf_row,160,0.9998761415481567
row_shuffle,tf_row,180,0.9997819066047668
row_shuffle,tf_row,200,0.9999430179595947
row_shuffle,tf_row,220,0.9999140501022339
row_shuffle,tf_row,240,0.999946117401123
row_shuffle,tf_row,260,0.9998829364776611
row_shuffle,tf_row,280,0.9997049570083618
row_shuffle,tf_row,300,0.999893844127655
row_shuffle,tf_row,320,0.9999055862426758
row_shuffle,tf_row,340,0.9999493360519409
row_shuffle,tf_row,360,0.9995185136795044
row_shuffle,tf_row,381,0.999761700630188
col_shuffle,tf_row,0,1.0
