experiment,layer,level,value
row_shuffle,tf_col,0,3.97765959176788
row_shuffle,tf_col,20,2.6481997671564903
row_shuffle,tf_col,40,2.6794989033172367
row_shuffle,tf_col,60,2.612073763061229
row_shuffle,tf_col,80,2.6573918533882264
row_shuffle,tf_col,100,2.6139725613625924
row_shuffle,tf_col,120,2.6597445220216125
row_shuffle,tf_col,140,2.6599521525730347
row_shuffle,tf_col,160,2.669203101847444
row_shuffle,tf_col,180,2.6145765913140724
row_shuffle,tf_col,200,2.696261903187983
row_shuffle,tf_col,220,2.715655771171695
row_shuffle,tf_col,240,2.648117524714322
row_shuffle,tf_col,260,2.6916890048840605
row_shuffle,tf_col,280,2.6431517230976613
row_shuffle,tf_col,300,2.6552000472346826
row_shuffle,tf_col,320,2.658222773866802
row_shuffle,tf_col,340,2.6337030287044794
row_shuffle,tf_col,360,2.6531128625344835
row_shuffle,tf_col,381,2.6612343152167695
col_shuffle,tf_col,0,3.97765959176788
col_shuffle,tf_col,1,2.406270249203935
col_shuffle,tf_col,3,2.2247535081004637
col_shuffle,tf_col,4,2.0209974192663527
col_shuffle,tf_col,6,2.08683161251056
col_shuffle,tf_col,7,2.058201270191728
col_shuffle,tf_col,9,1.879323841026371
col_shuffle,tf_col,11,1.9503835486744974
col_shuffle,tf_col,12,1.9319070313804025
col_shuffle,tf_col,14,1.7801738649414451
col_shuffle,tf_col,15,1.8843505540938927
col_shuffle,tf_col,17,1.7859177979202623
col_shuffle,tf_col,18,1.8178507651163334
col_shuffle,tf_col,20,1.663017516145382
col_shuffle,tf_col,22,1.859652849758071
col_shuffle,tf_col,23,1.7353973324202623
col_shuffle,tf_col,25,1.8819197597316097
col_shuffle,tf_col,26,1.817640920541777
col_shuffle,tf_col,28,1.7508819154680129
col_shuffle,tf_col,30,1.7676604963054396
random_labels,tf_col,0,3.97765959176788
random_labels,tf_col,20,2.623875936950025
random_labels,tf_col,40,2.210405021029543
random_labels,tf_col,60,2.0014320023197714
random_labels,tf_col,80,1.9316949159779702
random_labels,tf_col,100,1.7932530400263722
random_labels,tf_col,120,1.7560569313612413
random_labels,tf_col,140,1.6805126936400172
random_labels,tf_col,160,1.5857418220812989
random_labels,tf_col,180,1.5157132970087122
random_labels,tf_col,200,1.348132308769929
random_labels,tf_col,220,1.3578965168812762
random_labels,tf_col,240,1.2891682022004518
random_labels,tf_col,260,1.285750960074568
random_labels,tf_col,280,1.0720973145635935
random_labels,tf_col,300,1.0323865067930782
random_labels,tf_col,320,1.0495598546566884
random_labels,tf_col,340,0.946641416614088
random_labels,tf_col,360,0.9043007701142531
random_labels,tf_col,381,0.8379942384124603
col_remove,tf_col,0,3.97765959176788
col_remove,tf_col,1,1.7765370598504164
col_remove,tf_col,3,1.657107136578678
col_remove,tf_col,4,1.6452366462173074
col_remove,tf_col,6,1.4595809425510655
col_remove,tf_col,7,1.4936127146050264
col_remove,tf_col,9,1.3302806125024995
col_remove,tf_col,10,1.3276910828722106
col_remove,tf_col,12,1.2875493459584355
col_remove,tf_col,13,1.1091649791031246
col_remove,tf_col,15,1.115204223188023
col_remove,tf_col,16,0.9557804105359105
col_remove,tf_col,18,0.968665719579212
col_remove,tf_col,19,1.0710744625246904
col_remove,tf_col,21,0.9487946609960148
col_remove,tf_col,22,0.7871505518605928
col_remove,tf_col,24,0.8502092783220447
col_remove,tf_col,25,0.5923690706844974
col_remove,tf_col,27,0.7042111351361268
col_remove,tf_col,29,0.29484666378638724
row_remove,tf_col,0,3.97765959176788
row_remove,tf_col,19,2.5746737482260595
row_remove,tf_col,39,2.521148818751488
row_remove,tf_col,59,2.4891676609602933
row_remove,tf_col,79,2.3654064729162343
row_remove,tf_col,99,2.1997629715883473
row_remove,tf_col,119,2.220517037582642
row_remove,tf_col,139,1.9280822212942978
row_remove,tf_col,159,1.98794457684872
row_remove,tf_col,179,2.16964030103245
row_remove,tf_col,199,1.915557432764591
row_remove,tf_col,219,1.9431530209549774
row_remove,tf_col,239,1.8353874290063148
row_remove,tf_col,259,1.7189182886863357
row_remove,tf_col,279,1.5672911228433248
row_remove,tf_col,299,1.6377041616460193
row_remove,tf_col,319,1.375477697854322
row_remove,tf_col,339,1.313436736078204
row_remove,tf_col,359,0.9603161109127871
row_remove,tf_col,379,0.41134155907490466
value_noise,tf_col,0,3.97765959176788
value_noise,tf_col,601,2.062875345236116
value_noise,tf_col,1203,1.8459991035443335
value_noise,tf_col,1804,1.718626845246725
value_noise,tf_col,2406,1.5369957792702644
value_noise,tf_col,3007,1.4958858825534977
value_noise,tf_col,3609,1.4236359984966758
value_noise,tf_col,4211,1.358328105765721
value_noise,tf_col,4812,1.3488621421042577
value_noise,tf_col,5414,1.2867173687635405
value_noise,tf_col,6015,1.1939722970291622
value_noise,tf_col,6617,1.1602120337774378
value_noise,tf_col,7218,1.041807316790849
value_noise,tf_col,7820,1.0445029471359542
value_noise,tf_col,8422,1.015900842728973
value_noise,tf_col,9023,0.9868054777282137
value_noise,tf_col,9625,0.8508837937590299
value_noise,tf_col,10226,0.7861774208442587
value_noise,tf_col,10828,0.7115831088367557
value_noise,tf_col,11430,0.7157369724538476
alt_target,tf_col,0,0.7785934915342118
alt_target,tf_col,1,0.7743336625092281
alt_target,tf_col,2,0.7924577546868096
alt_target,tf_col,3,0.769808852598592
alt_target,tf_col,4,0.6820596955971925
alt_target,tf_col,5,0.752990837051003
alt_target,tf_col,6,0.8100822010341027
alt_target,tf_col,7,0.8515000649642768
alt_target,tf_col,8,0.7396060416199162
alt_target,tf_col,9,0.6572729189348385
alt_target,tf_col,10,0.7815006522876506
alt_target,tf_col,11,0.7581034164938452
alt_target,tf_col,12,0.7937138329665535
alt_target,tf_col,13,0.8111627395010113
alt_target,tf_col,14,0.7601903190531587
alt_target,tf_col,15,0.7153142679119271
alt_target,tf_col,16,0.7859205593914325
alt_target,tf_col,17,0.779984036710683
alt_target,tf_col,18,0.8059369819497892
alt_target,tf_col,19,0.67976835302478
alt_target,tf_col,20,0.8190572648392147
alt_target,tf_col,21,0.7266707374351977
alt_target,tf_col,22,0.8242912543468705
alt_target,tf_col,23,0.8254075505696622
alt_target,tf_col,24,0.7015088583137596
alt_target,tf_col,25,0.7135326434635921
alt_target,tf_col,26,0.7958186326514055
alt_target,tf_col,27,0.8287296896425222
alt_target,tf_col,28,0.7098522433345138
alt_target,tf_col,29,0.6265482671352552
row_shuffle,tf_row,0,3.977662362157951
row_shuffle,tf_row,20,3.402876800165159
row_shuffle,tf_row,40,3.360024644501406
row_shuffle,tf_row,60,3.2696162107941085
row_shuffle,tf_row,80,3.376148472090642
row_shuffle,tf_row,100,3.1374018090791305
row_shuffle,tf_row,120,3.2660531494935277
row_shuffle,tf_row,140,3.3308398495401286
row_shuffle,tf_row,160,3.275281605785409
row_shuffle,tf_row,180,3.1534414451970454
row_shuffle,tf_row,200,3.4214855280883687
row_shuffle,tf_row,220,3.30593216652721
row_shuffle,tf_row,240,3.41705956287974
row_shuffle,tf_row,260,3.281965006764608
row_shuffle,tf_row,280,3.1071649634436103
row_shuffle,tf_row,300,3.3041472570897197
row_shuffle,tf_row,320,3.334525773210892
row_shuffle,tf_row,340,3.438836322708152
row_shuffle,tf_row,360,2.969759698720339
row_shuffle,tf_row,381,3.1135972706738873
col_shuffle,tf_row,0,3.977662362157951
col_shuffle,tf_row,1,1.8812771419128262
col_shuffle,tf_row,3,1.1049323274144434
col_shuffle,tf_row,4,0.9138494769902865
col_shuffle,tf_row,6,0.9529865973777278
col_shuffle,tf_row,7,0.9467081314334428
col_shuffle,tf_row,9,0.7086990785479205
col_shuffle,tf_row,11,0.7673164633658707
col_shuffle,tf_row,12,0.5927242963232771
col_shuffle,tf_row,14,0.542878344448838
col_shuffle,tf_row,15,0.6280768266657444
col_shuffle,tf_row,17,0.5116486415757797
col_shuffle,tf_row,18,0.6131842460839587
col_shuffle,tf_row,20,0.47766474940985737
col_shuffle,tf_row,22,0.4667194889772599
col_shuffle,tf_row,23,0.518920697520091
col_shuffle,tf_row,25,0.47165188516932605
col_shuffle,tf_row,26,0.46390400409342536
col_shuffle,tf_row,28,0.46428987021231516
col_shuffle,tf_row,30,0.3602599114975805
random_labels,tf_row,0,3.977662362157951
random_labels,tf_row,20,1.9660893169280707
random_labels,tf_row,40,1.3838851308471303
random_labels,tf_row,60,1.5127092659310932
random_labels,tf_row,80,1.352775956833408
random_labels,tf_row,100,1.3094545478221797
random_labels,tf_row,120,1.3878751384122117
random_labels,tf_row,140,1.0549809222612079
random_labels,tf_row,160,1.0426336489619212
random_labels,tf_row,180,1.1018020061165765
random_labels,tf_row,200,1.034798164009768
random_labels,tf_row,220,1.0505807701759045
random_labels,tf_row,240,1.019169829071437
random_labels,tf_row,260,0.9632202237535086
random_labels,tf_row,280,0.7571606734182731
random_labels,tf_row,300,0.7101003783532142
random_labels,tf_row,320,0.8900100744191191
random_labels,tf_row,340,0.604062727033703
random_labels,tf_row,360,0.6048057973520399
random_labels,tf_row,381,0.5092360788484401
col_remove,tf_row,0,3.977662362157951
col_remove,tf_row,1,0.48482969570477735
col_remove,tf_row,3,0.3674831031744125
col_remove,tf_row,4,0.3751096522736749
col_remove,tf_row,6,0.3115240109580011
col_remove,tf_row,7,0.30941904324635816
col_remove,tf_row,9,0.3447023404844071
col_remove,tf_row,10,0.3680062136486141
col_remove,tf_row,12,0.35304560600216783
col_remove,tf_row,13,0.27768801801506426
col_remove,tf_row,15,0.3400803790346392
col_remove,tf_row,16,0.32244199598789036
col_remove,tf_row,18,0.31737104066299293
col_remove,tf_row,19,0.28309832896880816
