experiment,layer,level,cosine_similarity
row_shuffle,tf_col,0,1.0
row_shuffle,tf_col,63,0.999984085559845
row_shuffle,tf_col,126,0.9999849796295166
row_shuffle,tf_col,189,0.99998539686203
row_shuffle,tf_col,253,0.9999849796295166
row_shuffle,tf_col,316,0.9999848008155823
row_shuffle,tf_col,379,0.9999855160713196
row_shuffle,tf_col,443,0.9999827146530151
row_shuffle,tf_col,506,0.9999827146530151
row_shuffle,tf_col,569,0.9999842643737793
row_shuffle,tf_col,633,0.999983549118042
row_shuffle,tf_col,696,0.9999845027923584
row_shuffle,tf_col,759,0.9999858140945435
row_shuffle,tf_col,823,0.9999836683273315
row_shuffle,tf_col,886,0.9999865293502808
row_shuffle,tf_col,949,0.9999833703041077
row_shuffle,tf_col,1013,0.999981701374054
row_shuffle,tf_col,1076,0.9999858140945435
row_shuffle,tf_col,1139,0.9999829530715942
row_shuffle,tf_col,1203,0.999984085559845
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,3,0.9998773336410522
col_shuffle,tf_col,6,0.999879777431488
col_shuffle,tf_col,10,0.9997221827507019
col_shuffle,tf_col,13,0.9997344613075256
col_shuffle,tf_col,16,0.9998869895935059
col_shuffle,tf_col,20,0.9995970129966736
col_shuffle,tf_col,23,0.9996981024742126
col_shuffle,tf_col,26,0.9997034668922424
col_shuffle,tf_col,30,0.9996634721755981
col_shuffle,tf_col,33,0.9997632503509521
col_shuffle,tf_col,37,0.9996153712272644
col_shuffle,tf_col,40,0.9994807839393616
col_shuffle,tf_col,43,0.9996525049209595
col_shuffle,tf_col,47,0.9997619390487671
col_shuffle,tf_col,50,0.9996231198310852
col_shuffle,tf_col,53,0.9996793866157532
col_shuffle,tf_col,57,0.999538004398346
col_shuffle,tf_col,60,0.9996545314788818
col_shuffle,tf_col,64,0.9997626543045044
random_labels,tf_col,0,1.0
random_labels,tf_col,63,0.9982377886772156
random_labels,tf_col,126,0.9935678839683533
random_labels,tf_col,189,0.9858682155609131
random_labels,tf_col,253,0.9760191440582275
random_labels,tf_col,316,0.9591521620750427
random_labels,tf_col,379,0.9454165697097778
random_labels,tf_col,443,0.9223051071166992
random_labels,tf_col,506,0.8863165974617004
random_labels,tf_col,569,0.8556113839149475
random_labels,tf_col,633,0.8124533295631409
random_labels,tf_col,696,0.7886731624603271
random_labels,tf_col,759,0.7264901399612427
random_labels,tf_col,823,0.6689854860305786
random_labels,tf_col,886,0.566651463508606
random_labels,tf_col,949,0.5138615965843201
random_labels,tf_col,1013,0.4515712261199951
random_labels,tf_col,1076,0.40299192070961
random_labels,tf_col,1139,0.40282392501831055
random_labels,tf_col,1203,0.39169302582740784
col_remove,tf_col,0,1.0
col_remove,tf_col,3,0.9995517730712891
col_remove,tf_col,6,0.9981280565261841
col_remove,tf_col,9,0.9985476136207581
col_remove,tf_col,13,0.997255802154541
col_remove,tf_col,16,0.9976319670677185
col_remove,tf_col,19,0.9937915802001953
col_remove,tf_col,23,0.9971126317977905
col_remove,tf_col,26,0.9959973692893982
col_remove,tf_col,29,0.9864251017570496
col_remove,tf_col,33,0.9896803498268127
col_remove,tf_col,36,0.9924465417861938
col_remove,tf_col,39,0.9866770505905151
col_remove,tf_col,43,0.9787100553512573
col_remove,tf_col,46,0.9855942726135254
col_remove,tf_col,49,0.9755597114562988
col_remove,tf_col,53,0.9731239676475525
col_remove,tf_col,56,0.8688012361526489
col_remove,tf_col,59,0.9672368764877319
col_remove,tf_col,63,0.6179506182670593
row_remove,tf_col,0,1.0
row_remove,tf_col,63,0.9998717904090881
row_remove,tf_col,126,0.9996035695075989
row_remove,tf_col,189,0.9985807538032532
row_remove,tf_col,252,0.9992921352386475
row_remove,tf_col,316,0.9982870221138
row_remove,tf_col,379,0.9977645874023438
row_remove,tf_col,442,0.9966076016426086
row_remove,tf_col,505,0.9953233003616333
row_remove,tf_col,568,0.9949378967285156
row_remove,tf_col,632,0.992555558681488
row_remove,tf_col,695,0.9877111911773682
row_remove,tf_col,758,0.9860907793045044
row_remove,tf_col,821,0.9780154228210449
row_remove,tf_col,884,0.9727622866630554
row_remove,tf_col,948,0.952157199382782
row_remove,tf_col,1011,0.9463950991630554
row_remove,tf_col,1074,0.8978977203369141
row_remove,tf_col,1137,0.8410711288452148
row_remove,tf_col,1201,0.43377119302749634
value_noise,tf_col,0,1.0
value_noise,tf_col,4052,0.988799512386322
value_noise,tf_col,8104,0.9775834679603577
value_noise,tf_col,12156,0.9667035937309265
value_noise,tf_col,16208,0.9509630799293518
value_noise,tf_col,20261,0.929479718208313
value_noise,tf_col,24313,0.9041699767112732
value_noise,tf_col,28365,0.8832551836967468
value_noise,tf_col,32417,0.8421410322189331
value_noise,tf_col,36469,0.8085112571716309
value_noise,tf_col,40522,0.7688237428665161
value_noise,tf_col,44574,0.7143555879592896
value_noise,tf_col,48626,0.6621397733688354
value_noise,tf_col,52678,0.5848659873008728
value_noise,tf_col,56730,0.5225465893745422
value_noise,tf_col,60783,0.44348692893981934
value_noise,tf_col,64835,0.404147207736969
value_noise,tf_col,68887,0.36225274205207825
value_noise,tf_col,72939,0.3466053605079651
value_noise,tf_col,76992,0.3423294723033905
alt_target,tf_col,0,0.6421881914138794
alt_target,tf_col,1,0.9198209643363953
alt_target,tf_col,2,0.9294551610946655
alt_target,tf_col,3,0.8411096334457397
alt_target,tf_col,4,0.7561479210853577
alt_target,tf_col,5,0.879297137260437
alt_target,tf_col,6,0.9217785000801086
alt_target,tf_col,7,0.8745824098587036
alt_target,tf_col,8,0.6725685000419617
alt_target,tf_col,9,0.9166238307952881
alt_target,tf_col,10,0.9155439734458923
alt_target,tf_col,11,0.8803002238273621
alt_target,tf_col,12,0.7952600121498108
alt_target,tf_col,13,0.8972698450088501
alt_target,tf_col,14,0.8912842869758606
alt_target,tf_col,15,0.8901948928833008
alt_target,tf_col,16,0.6573172807693481
alt_target,tf_col,17,0.8964278697967529
alt_target,tf_col,18,0.881825864315033
alt_target,tf_col,19,0.8791981935501099
alt_target,tf_col,20,0.9167661070823669
alt_target,tf_col,21,0.9040234684944153
alt_target,tf_col,22,0.9101758003234863
alt_target,tf_col,23,0.8852465152740479
alt_target,tf_col,24,0.6961854696273804
alt_target,tf_col,25,0.9064129590988159
alt_target,tf_col,26,0.8981090784072876
alt_target,tf_col,27,0.8483169674873352
alt_target,tf_col,28,0.8823214173316956
alt_target,tf_col,29,0.8961712718009949
alt_target,tf_col,30,0.9389161467552185
alt_target,tf_col,31,0.693871259689331
alt_target,tf_col,32,0.6421881914138794
alt_target,tf_col,33,0.9166701436042786
alt_target,tf_col,34,0.905246913433075
alt_target,tf_col,35,0.8696708083152771
alt_target,tf_col,36,0.8286713361740112
alt_target,tf_col,37,0.8554218411445618
alt_target,tf_col,38,0.9076758027076721
alt_target,tf_col,39,0.6421881914138794
alt_target,tf_col,40,0.772780179977417
alt_target,tf_col,41,0.9132331013679504
alt_target,tf_col,42,0.9208824038505554
alt_target,tf_col,43,0.9094668030738831
alt_target,tf_col,44,0.908713161945343
alt_target,tf_col,45,0.8625593185424805
alt_target,tf_col,46,0.9233097434043884
alt_target,tf_col,47,0.8620269298553467
alt_target,tf_col,48,0.6811041831970215
alt_target,tf_col,49,0.8340329527854919
alt_target,tf_col,50,0.9011076092720032
alt_target,tf_col,51,0.8572514057159424
alt_target,tf_col,52,0.8428715467453003
alt_target,tf_col,53,0.8884990215301514
alt_target,tf_col,54,0.9453776478767395
alt_target,tf_col,55,0.9055342078208923
alt_target,tf_col,56,0.6579663753509521
alt_target,tf_col,57,0.9158766865730286
alt_target,tf_col,58,0.9381040930747986
alt_target,tf_col,59,0.8562055826187134
alt_target,tf_col,60,0.7754499912261963
alt_target,tf_col,61,0.9085995554924011
alt_target,tf_col,62,0.922821581363678
alt_target,tf_col,63,0.9178043603897095
row_shuffle,tf_row,0,1.0
row_shuffle,tf_row,63,0.9999995827674866
row_shuffle,tf_row,126,0.9999994039535522
row_shuffle,tf_row,189,0.9999995827674866
row_shuffle,tf_row,253,0.9999995827674866
row_shuffle,tf_row,316,0.9999991655349731
row_shuffle,tf_row,379,0.9999995827674866
row_shuffle,tf_row,443,0.9999994039535522
row_shuffle,tf_row,506,0.9999995827674866
row_shuffle,tf_row,569,0.9999995827674866
row_shuffle,tf_row,633,0.9999995827674866
row_shuffle,tf_row,696,0.9999995827674866
row_shuffle,tf_row,759,0.9999994039535522
row_shuffle,tf_row,823,0.9999995827674866
row_shuffle,tf_row,886,0.9999995827674866
row_shuffle,tf_row,949,0.9999995827674866
row_shuffle,tf_row,1013,0.9999994039535522
row_shuffle,tf_row,1076,0.9999994039535522
row_shuffle,tf_row,1139,0.9999995827674866
row_shuffle,tf_row,1203,0.9999994039535522
col_shuffle,tf_row,0,1.0
col_shuffle,tf_row,3,0.994663417339325
col_shuffle,tf_row,6,0.9886095523834229
col_shuffle,tf_row,10,0.9940056204795837
col_shuffle,tf_row,13,0.9861838817596436
col_shuffle,tf_row,16,0.9900433421134949
col_shuffle,tf_row,20,0.9836174249649048
col_shuffle,tf_row,23,0.9862784147262573
col_shuffle,tf_row,26,0.9796639680862427
col_shuffle,tf_row,30,0.9866855144500732
col_shuffle,tf_row,33,0.983339250087738
col_shuffle,tf_row,37,0.980792224407196
col_shuffle,tf_row,40,0.9787303805351257
col_shuffle,tf_row,43,0.9819566011428833
col_shuffle,tf_row,47,0.981034517288208
col_shuffle,tf_row,50,0.9776537418365479
col_shuffle,tf_row,53,0.9803633093833923
col_shuffle,tf_row,57,0.9791679978370667
col_shuffle,tf_row,60,0.9785566329956055
col_shuffle,tf_row,64,0.9824594855308533
random_labels,tf_row,0,1.0
random_labels,tf_row,63,0.9996633529663086
random_labels,tf_row,126,0.9991781711578369
random_labels,tf_row,189,0.9988163709640503
random_labels,tf_row,253,0.9974143505096436
random_labels,tf_row,316,0.9929378032684326
random_labels,tf_row,379,0.9966646432876587
random_labels,tf_row,443,0.9952244758605957
random_labels,tf_row,506,0.9932590126991272
random_labels,tf_row,569,0.9902475476264954
random_labels,tf_row,633,0.9900921583175659
random_labels,tf_row,696,0.9871870279312134
random_labels,tf_row,759,0.9855948686599731
random_labels,tf_row,823,0.9842122197151184
random_labels,tf_row,886,0.9802054762840271
random_labels,tf_row,949,0.9731743335723877
random_labels,tf_row,1013,0.9703702926635742
random_labels,tf_row,1076,0.9560881853103638
random_labels,tf_row,1139,0.9558549523353577
random_labels,tf_row,1203,0.9559774398803711
col_remove,tf_row,0,1.0
col_remove,tf_row,3,0.9509870409965515
col_remove,tf_row,6,0.9461513757705688
col_remove,tf_row,9,0.9518296718597412
col_remove,tf_row,13,0.94438236951828
col_remove,tf_row,16,0.9471229910850525
col_remove,tf_row,19,0.9380289912223816
col_remove,tf_row,23,0.9420620203018188
col_remove,tf_row,26,0.9446653723716736
col_remove,tf_row,29,0.9460182189941406
col_remove,tf_row,33,0.9348354339599609
col_remove,tf_row,36,0.9384880661964417
col_remove,tf_row,39,0.9387974739074707
col_remove,tf_row,43,0.931121289730072
col_remove,tf_row,46,0.9406945109367371
col_remove,tf_row,49,0.924139142036438
col_remove,tf_row,53,0.9254900217056274
col_remove,tf_row,56,0.9146759510040283
col_remove,tf_row,59,0.9138814210891724
col_remove,tf_row,63,0.8980602025985718
row_remove,tf_row,0,1.0
row_remove,tf_row,63,0.9985490441322327
row_remove,tf_row,126,0.9971264004707336
row_remove,tf_row,189,0.9579882621765137
row_remove,tf_row,252,0.9979026317596436
row_remove,tf_row,316,0.9783851504325867
row_remove,tf_row,379,0.9940598607063293
row_remove,tf_row,442,0.9570342302322388
row_remove,tf_row,505,0.9536767601966858
row_remove,tf_row,568,0.9508001208305359
row_remove,tf_row,632,0.9522191286087036
row_remove,tf_row,695,0.9519318342208862
row_remove,tf_row,758,0.952370822429657
row_remove,tf_row,821,0.9522010684013367
row_remove,tf_row,884,0.9519108533859253
row_remove,tf_row,948,0.9527830481529236
row_remove,tf_row,1011,0.9521641731262207
row_remove,tf_row,1074,0.9566335678100586
row_remove,tf_row,1137,0.9472423195838928
row_remove,tf_row,1201,0.8371867537498474
value_noise,tf_row,0,1.0
value_noise,tf_row,4052,0.974037230014801
value_noise,tf_row,8104,0.9742474555969238
value_noise,tf_row,12156,0.9750816226005554
value_noise,tf_row,16208,0.9736667275428772
value_noise,tf_row,20261,0.9732765555381775
value_noise,tf_row,24313,0.9720173478126526
value_noise,tf_row,28365,0.9721176028251648
value_noise,tf_row,32417,0.9599313735961914
value_noise,tf_row,36469,0.9501772522926331
value_noise,tf_row,40522,0.9469528198242188
value_noise,tf_row,44574,0.9469309449195862
value_noise,tf_row,48626,0.9534000754356384
value_noise,tf_row,52678,0.9597873687744141
value_noise,tf_row,56730,0.9514733552932739
value_noise,tf_row,60783,0.9460440874099731
value_noise,tf_row,64835,0.9447376728057861
value_noise,tf_row,68887,0.9372760057449341
value_noise,tf_row,72939,0.9334380030632019
value_noise,tf_row,76992,0.9335201978683472
alt_target,tf_row,0,0.9559942483901978
alt_target,tf_row,1,0.9316698908805847
alt_target,tf_row,2,0.9308214783668518
alt_target,tf_row,3,0.9307688474655151
alt_target,tf_row,4,0.932358980178833
alt_target,tf_row,5,0.9344175457954407
alt_target,tf_row,6,0.9352554678916931
alt_target,tf_row,7,0.9356321692466736
