experiment,layer,level,cosine_similarity
row_shuffle,tf_col,0,1.0
row_shuffle,tf_col,5,0.9970351457595825
row_shuffle,tf_col,10,0.9964680671691895
row_shuffle,tf_col,15,0.996578574180603
row_shuffle,tf_col,21,0.9955486059188843
row_shuffle,tf_col,26,0.9981266856193542
row_shuffle,tf_col,31,0.9955206513404846
row_shuffle,tf_col,36,0.9983120560646057
row_shuffle,tf_col,42,0.9954888224601746
row_shuffle,tf_col,47,0.9940502047538757
row_shuffle,tf_col,52,0.9964048862457275
row_shuffle,tf_col,57,0.995544970035553
row_shuffle,tf_col,63,0.9947066307067871
row_shuffle,tf_col,68,0.9961890578269958
row_shuffle,tf_col,73,0.996632993221283
row_shuffle,tf_col,78,0.9953177571296692
row_shuffle,tf_col,84,0.9967564344406128
row_shuffle,tf_col,89,0.99680495262146
row_shuffle,tf_col,94,0.9962344169616699
row_shuffle,tf_col,100,0.9955846667289734
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,1,0.9916620850563049
col_shuffle,tf_col,1,0.9944954514503479
col_shuffle,tf_col,1,0.9902968406677246
col_shuffle,tf_col,1,0.9944954514503479
col_shuffle,tf_col,1,0.9940586090087891
col_shuffle,tf_col,2,0.9927909970283508
col_shuffle,tf_col,2,0.9928125739097595
col_shuffle,tf_col,2,0.9936073422431946
col_shuffle,tf_col,2,1.0
col_shuffle,tf_col,2,0.9904157519340515
col_shuffle,tf_col,3,0.9940586090087891
col_shuffle,tf_col,3,0.9924226403236389
col_shuffle,tf_col,3,0.9902968406677246
col_shuffle,tf_col,3,0.9899153113365173
col_shuffle,tf_col,4,0.994382381439209
random_labels,tf_col,0,1.0
random_labels,tf_col,5,0.9758408069610596
random_labels,tf_col,10,0.9703977108001709
random_labels,tf_col,15,0.9474459290504456
random_labels,tf_col,21,0.9125696420669556
random_labels,tf_col,26,0.9032232165336609
random_labels,tf_col,31,0.8463550806045532
random_labels,tf_col,36,0.7491528987884521
random_labels,tf_col,42,0.7321072220802307
random_labels,tf_col,47,0.7124096751213074
random_labels,tf_col,52,0.6380231976509094
random_labels,tf_col,57,0.6090257167816162
random_labels,tf_col,63,0.5452983975410461
random_labels,tf_col,68,0.5043744444847107
random_labels,tf_col,73,0.4239681661128998
random_labels,tf_col,78,0.5192557573318481
random_labels,tf_col,84,0.4680422246456146
random_labels,tf_col,89,0.35810405015945435
random_labels,tf_col,94,0.3970400094985962
random_labels,tf_col,100,0.41071438789367676
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,1,0.9735963344573975
col_remove,tf_col,1,0.9866756200790405
col_remove,tf_col,1,0.9785320162773132
col_remove,tf_col,1,0.9735963344573975
col_remove,tf_col,1,0.9735963344573975
col_remove,tf_col,1,0.9785320162773132
col_remove,tf_col,2,0.951082706451416
col_remove,tf_col,2,0.9626919031143188
col_remove,tf_col,2,0.951082706451416
col_remove,tf_col,2,0.9485853314399719
col_remove,tf_col,2,0.9010793566703796
col_remove,tf_col,2,0.9310638308525085
col_remove,tf_col,3,0.7401804327964783
row_remove,tf_col,0,1.0
row_remove,tf_col,5,0.9968653917312622
row_remove,tf_col,10,0.99547278881073
row_remove,tf_col,15,0.9940141439437866
row_remove,tf_col,20,0.9933860898017883
row_remove,tf_col,25,0.9936608672142029
row_remove,tf_col,30,0.9904927015304565
row_remove,tf_col,36,0.9924579858779907
row_remove,tf_col,41,0.9906455278396606
row_remove,tf_col,46,0.9756858944892883
row_remove,tf_col,51,0.9765281081199646
row_remove,tf_col,56,0.9743825793266296
row_remove,tf_col,61,0.975779116153717
row_remove,tf_col,67,0.9763952493667603
row_remove,tf_col,72,0.9280300140380859
row_remove,tf_col,77,0.9281855225563049
row_remove,tf_col,82,0.9171791672706604
row_remove,tf_col,87,0.8328097462654114
row_remove,tf_col,92,0.7858388423919678
row_remove,tf_col,98,0.2466406673192978
value_noise,tf_col,0,1.0
value_noise,tf_col,21,0.9938940405845642
value_noise,tf_col,42,0.9865145087242126
value_noise,tf_col,63,0.9670805931091309
value_noise,tf_col,84,0.969434380531311
value_noise,tf_col,105,0.9337043166160583
value_noise,tf_col,126,0.9198676347732544
value_noise,tf_col,147,0.8630111813545227
value_noise,tf_col,168,0.8582901954650879
value_noise,tf_col,189,0.8823193311691284
value_noise,tf_col,210,0.786165714263916
value_noise,tf_col,231,0.6629186868667603
value_noise,tf_col,252,0.5515885353088379
value_noise,tf_col,273,0.6574260592460632
value_noise,tf_col,294,0.40945520997047424
value_noise,tf_col,315,0.593818724155426
value_noise,tf_col,336,0.44471755623817444
value_noise,tf_col,357,0.3580659031867981
value_noise,tf_col,378,0.32420143485069275
value_noise,tf_col,400,0.34165623784065247
alt_target,tf_col,0,0.809475302696228
alt_target,tf_col,1,0.7709476947784424
alt_target,tf_col,2,0.8184612393379211
alt_target,tf_col,3,0.8156800270080566
row_shuffle,tf_row,0,1.0
row_shuffle,tf_row,5,0.9974323511123657
row_shuffle,tf_row,10,0.9977801442146301
row_shuffle,tf_row,15,0.9982264637947083
row_shuffle,tf_row,21,0.9980373978614807
row_shuffle,tf_row,26,0.9979428052902222
row_shuffle,tf_row,31,0.9977562427520752
row_shuffle,tf_row,36,0.9987847208976746
row_shuffle,tf_row,42,0.9976533651351929
row_shuffle,tf_row,47,0.9969662427902222
row_shuffle,tf_row,52,0.9978940486907959
row_shuffle,tf_row,57,0.9980373978614807
row_shuffle,tf_row,63,0.9981967806816101
row_shuffle,tf_row,68,0.9975600242614746
row_shuffle,tf_row,73,0.9982587695121765
row_shuffle,tf_row,78,0.9976238012313843
row_shuffle,tf_row,84,0.9981712102890015
row_shuffle,tf_row,89,0.998583972454071
row_shuffle,tf_row,94,0.9974868893623352
row_shuffle,tf_row,100,0.9977390170097351
col_shuffle,tf_row,0,1.0
col_shuffle,tf_row,0,1.0
col_shuffle,tf_row,0,1.0
col_shuffle,tf_row,0,1.0
col_shuffle,tf_row,0,1.0
col_shuffle,tf_row,1,0.9830185174942017
col_shuffle,tf_row,1,0.9930351376533508
col_shuffle,tf_row,1,0.9818747043609619
col_shuffle,tf_row,1,0.9930351376533508
col_shuffle,tf_row,1,0.9917508959770203
col_shuffle,tf_row,2,0.9850569367408752
col_shuffle,tf_row,2,0.9900608062744141
col_shuffle,tf_row,2,0.9758395552635193
col_shuffle,tf_row,2,1.0
col_shuffle,tf_row,2,0.9893487691879272
col_shuffle,tf_row,3,0.9917508959770203
col_shuffle,tf_row,3,0.9836266040802002
col_shuffle,tf_row,3,0.9818747043609619
col_shuffle,tf_row,3,0.9796063303947449
col_shuffle,tf_row,4,0.9828336834907532
random_labels,tf_row,0,1.0
random_labels,tf_row,5,0.9988093376159668
random_labels,tf_row,10,0.9981133937835693
random_labels,tf_row,15,0.996367335319519
random_labels,tf_row,21,0.9957333207130432
random_labels,tf_row,26,0.9952885508537292
random_labels,tf_row,31,0.9934825301170349
random_labels,tf_row,36,0.9923943877220154
random_labels,tf_row,42,0.9932757616043091
random_labels,tf_row,47,0.9902392029762268
random_labels,tf_row,52,0.9837634563446045
random_labels,tf_row,57,0.9893472790718079
random_labels,tf_row,63,0.9855703115463257
random_labels,tf_row,68,0.9822299480438232
random_labels,tf_row,73,0.97590172290802
random_labels,tf_row,78,0.9812900424003601
random_labels,tf_row,84,0.9746567606925964
random_labels,tf_row,89,0.9689989686012268
random_labels,tf_row,94,0.9719198346138
random_labels,tf_row,100,0.9680730700492859
col_remove,tf_row,0,1.0
col_remove,tf_row,0,1.0
col_remove,tf_row,0,1.0
col_remove,tf_row,0,1.0
col_remove,tf_row,0,1.0
col_remove,tf_row,0,1.0
col_remove,tf_row,0,1.0
col_remove,tf_row,1,0.9671722650527954
col_remove,tf_row,1,0.9676427245140076
col_remove,tf_row,1,0.9636579155921936
col_remove,tf_row,1,0.9671722650527954
col_remove,tf_row,1,0.9671722650527954
col_remove,tf_row,1,0.9636579155921936
col_remove,tf_row,2,0.961524486541748
col_remove,tf_row,2,0.9746840596199036
col_remove,tf_row,2,0.961524486541748
col_remove,tf_row,2,0.9631349444389343
col_remove,tf_row,2,0.958566427230835
col_remove,tf_row,2,0.9775354862213135
col_remove,tf_row,3,0.9575386047363281
row_remove,tf_row,0,1.0
row_remove,tf_row,5,0.9973498582839966
row_remove,tf_row,10,0.9972875118255615
row_remove,tf_row,15,0.9971152544021606
row_remove,tf_row,20,0.9968038201332092
row_remove,tf_row,25,0.996198296546936
row_remove,tf_row,30,0.9973549842834473
row_remove,tf_row,36,0.9950618147850037
row_remove,tf_row,41,0.9959098100662231
row_remove,tf_row,46,0.9942479133605957
row_remove,tf_row,51,0.9939929842948914
row_remove,tf_row,56,0.9939066171646118
row_remove,tf_row,61,0.9949316382408142
row_remove,tf_row,67,0.990566611289978
row_remove,tf_row,72,0.992574155330658
row_remove,tf_row,77,0.9896231889724731
row_remove,tf_row,82,0.9860213398933411
row_remove,tf_row,87,0.9816480875015259
row_remove,tf_row,92,0.9732687473297119
row_remove,tf_row,98,0.8319105505943298
value_noise,tf_row,0,1.0
value_noise,tf_row,21,0.9960676431655884
value_noise,tf_row,42,0.9941765666007996
value_noise,tf_row,63,0.9930600523948669
value_noise,tf_row,84,0.9944837689399719
value_noise,tf_row,105,0.9918335676193237
value_noise,tf_row,126,0.9908095598220825
value_noise,tf_row,147,0.9905785918235779
value_noise,tf_row,168,0.985848069190979
value_noise,tf_row,189,0.9898068308830261
value_noise,tf_row,210,0.986793577671051
value_noise,tf_row,231,0.9871261119842529
value_noise,tf_row,252,0.9804930686950684
value_noise,tf_row,273,0.9829668402671814
value_noise,tf_row,294,0.9747065901756287
