experiment,layer,level,value
row_shuffle,tf_col,0,1.0
row_shuffle,tf_col,5,0.9859523149916867
row_shuffle,tf_col,10,0.9904005327819919
row_shuffle,tf_col,15,0.9902124398802485
row_shuffle,tf_col,21,0.9900906497145913
row_shuffle,tf_col,26,0.989694239375622
row_shuffle,tf_col,31,0.9859462289261937
row_shuffle,tf_col,36,0.9946909618016937
row_shuffle,tf_col,42,0.9863683857924176
row_shuffle,tf_col,47,0.9850035683237901
row_shuffle,tf_col,52,0.9879879357916515
row_shuffle,tf_col,57,0.990091204969579
row_shuffle,tf_col,63,0.9901267944166726
row_shuffle,tf_col,68,0.9898584627549523
row_shuffle,tf_col,73,0.9895334453228117
row_shuffle,tf_col,78,0.9886301469292506
row_shuffle,tf_col,84,0.9865225844229017
row_shuffle,tf_col,89,0.991240292709347
row_shuffle,tf_col,94,0.9854765383593861
row_shuffle,tf_col,100,0.9888773486501682
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,1,0.9797419098445037
col_shuffle,tf_col,1,0.9828370852025703
col_shuffle,tf_col,1,0.9867369865302507
col_shuffle,tf_col,1,0.9828370852025703
col_shuffle,tf_col,1,0.9854684024037602
col_shuffle,tf_col,2,0.9842428507975998
col_shuffle,tf_col,2,0.9844919573938505
col_shuffle,tf_col,2,0.9847830646668075
col_shuffle,tf_col,2,1.0
col_shuffle,tf_col,2,0.9840491577138802
col_shuffle,tf_col,3,0.9854684024037602
col_shuffle,tf_col,3,0.985804655254487
col_shuffle,tf_col,3,0.9867369865302507
col_shuffle,tf_col,3,0.9842885718220346
col_shuffle,tf_col,4,0.9868721697038205
random_labels,tf_col,0,1.0
random_labels,tf_col,5,0.9991370077942052
random_labels,tf_col,10,0.9988886555408024
random_labels,tf_col,15,0.9982627653960041
random_labels,tf_col,21,0.9970064755629889
random_labels,tf_col,26,0.9964039824203853
random_labels,tf_col,31,0.9974844295256887
random_labels,tf_col,36,0.9962442419967538
random_labels,tf_col,42,0.9970143767557669
random_labels,tf_col,47,0.9936750763555426
random_labels,tf_col,52,0.9863398943024939
random_labels,tf_col,57,0.9944522450135619
random_labels,tf_col,63,0.9931719269677908
random_labels,tf_col,68,0.9891899478845149
random_labels,tf_col,73,0.9835613373243706
random_labels,tf_col,78,0.9877495183110743
random_labels,tf_col,84,0.9813456191833584
random_labels,tf_col,89,0.9819785523147198
random_labels,tf_col,94,0.9826628179108742
random_labels,tf_col,100,0.983381622179983
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,1,0.9551351417575693
col_remove,tf_col,1,0.9674843527572632
col_remove,tf_col,1,0.9600864706169562
col_remove,tf_col,1,0.9551351417575693
col_remove,tf_col,1,0.9551351417575693
col_remove,tf_col,1,0.9600864706169562
col_remove,tf_col,2,0.8953176835768114
col_remove,tf_col,2,0.9603955382887072
col_remove,tf_col,2,0.8953176835768114
col_remove,tf_col,2,0.8915580823227116
col_remove,tf_col,2,0.7970454912828993
col_remove,tf_col,2,0.9604447822639843
col_remove,tf_col,3,0.6795731994242289
row_remove,tf_col,0,1.0
row_remove,tf_col,5,0.9881151382905276
row_remove,tf_col,10,0.9860978865597927
row_remove,tf_col,15,0.9848429428419622
row_remove,tf_col,20,0.9854532313748334
row_remove,tf_col,25,0.9821574436218996
row_remove,tf_col,30,0.9884964064499142
row_remove,tf_col,36,0.9799239457653771
row_remove,tf_col,41,0.9817760749603971
row_remove,tf_col,46,0.9807839441359424
row_remove,tf_col,51,0.9863736526978056
row_remove,tf_col,56,0.9831463798086428
row_remove,tf_col,61,0.980963849758006
row_remove,tf_col,67,0.9803731094783649
row_remove,tf_col,72,0.9798830041096406
row_remove,tf_col,77,0.9772622383432228
row_remove,tf_col,82,0.975553725026338
row_remove,tf_col,87,0.9669460617231702
row_remove,tf_col,92,0.9477510758502089
row_remove,tf_col,98,0.39901707533005815
value_noise,tf_col,0,1.0
value_noise,tf_col,21,0.98018198406367
value_noise,tf_col,42,0.9863448410551484
value_noise,tf_col,63,0.9842971018870997
value_noise,tf_col,84,0.9844136412578588
value_noise,tf_col,105,0.983579777932146
value_noise,tf_col,126,0.9823338675362799
value_noise,tf_col,147,0.9838124466364533
value_noise,tf_col,168,0.964207152459838
value_noise,tf_col,189,0.9815480540550902
value_noise,tf_col,210,0.9774604201916233
value_noise,tf_col,231,0.9728636980613085
value_noise,tf_col,252,0.9620079212926943
value_noise,tf_col,273,0.9402468753326952
value_noise,tf_col,294,0.9331322146084956
value_noise,tf_col,315,0.9747233387470867
value_noise,tf_col,336,0.9095332089279817
value_noise,tf_col,357,0.8512183791397419
value_noise,tf_col,378,0.8239622327767531
value_noise,tf_col,400,0.9477220072835355
alt_target,tf_col,0,0.9672999752626169
alt_target,tf_col,1,0.9733465357851808
alt_target,tf_col,2,0.9622527432783791
alt_target,tf_col,3,0.951940364666719
row_shuffle,tf_row,0,1.0
row_shuffle,tf_row,5,0.9960872795622155
