experiment,layer,level,cosine_similarity
row_shuffle,tf_col,0,1.0
row_shuffle,tf_col,6,0.9996156692504883
row_shuffle,tf_col,12,0.9995778799057007
row_shuffle,tf_col,18,0.99954754114151
row_shuffle,tf_col,25,0.9995481967926025
row_shuffle,tf_col,31,0.9995664358139038
row_shuffle,tf_col,37,0.9994534850120544
row_shuffle,tf_col,43,0.9993763566017151
row_shuffle,tf_col,50,0.9995042085647583
row_shuffle,tf_col,56,0.9990152716636658
row_shuffle,tf_col,62,0.9995236396789551
row_shuffle,tf_col,68,0.9995417594909668
row_shuffle,tf_col,75,0.9996736645698547
row_shuffle,tf_col,81,0.9993674159049988
row_shuffle,tf_col,87,0.9996201395988464
row_shuffle,tf_col,93,0.9995352625846863
row_shuffle,tf_col,100,0.9996991157531738
row_shuffle,tf_col,106,0.9996345043182373
row_shuffle,tf_col,112,0.9995676279067993
row_shuffle,tf_col,119,0.9992891550064087
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,0,1.0
col_shuffle,tf_col,1,0.999579906463623
col_shuffle,tf_col,2,0.9964807033538818
col_shuffle,tf_col,2,0.9937059879302979
col_shuffle,tf_col,3,0.9958155155181885
col_shuffle,tf_col,4,0.9968873262405396
col_shuffle,tf_col,4,0.9966809749603271
col_shuffle,tf_col,5,0.9927161335945129
col_shuffle,tf_col,6,0.9954205751419067
col_shuffle,tf_col,6,0.9958549737930298
col_shuffle,tf_col,7,0.997789740562439
col_shuffle,tf_col,8,0.9915480017662048
col_shuffle,tf_col,8,0.9974530339241028
col_shuffle,tf_col,9,0.9946634769439697
col_shuffle,tf_col,10,0.9885225892066956
col_shuffle,tf_col,10,0.9956941604614258
col_shuffle,tf_col,11,0.9978329539299011
col_shuffle,tf_col,12,0.9929654598236084
col_shuffle,tf_col,13,0.9882220029830933
random_labels,tf_col,0,1.0
random_labels,tf_col,6,0.997515857219696
random_labels,tf_col,12,0.981687605381012
random_labels,tf_col,18,0.9797539114952087
random_labels,tf_col,25,0.9286485910415649
random_labels,tf_col,31,0.8604276776313782
random_labels,tf_col,37,0.9062924981117249
random_labels,tf_col,43,0.8190467357635498
random_labels,tf_col,50,0.8029129505157471
random_labels,tf_col,56,0.6973297595977783
random_labels,tf_col,62,0.6856690049171448
random_labels,tf_col,68,0.6694490313529968
random_labels,tf_col,75,0.6690385341644287
random_labels,tf_col,81,0.5875356197357178
random_labels,tf_col,87,0.5288002490997314
random_labels,tf_col,93,0.44615235924720764
random_labels,tf_col,100,0.3665924370288849
random_labels,tf_col,106,0.3855453431606293
random_labels,tf_col,112,0.40700629353523254
random_labels,tf_col,119,0.4440503418445587
col_remove,tf_col,0,1.0
col_remove,tf_col,0,1.0
col_remove,tf_col,1,0.9935331344604492
col_remove,tf_col,1,0.9933649301528931
col_remove,tf_col,2,0.9931910634040833
col_remove,tf_col,3,0.9943405985832214
col_remove,tf_col,3,0.9909704923629761
col_remove,tf_col,4,0.9848929047584534
col_remove,tf_col,5,0.9827534556388855
col_remove,tf_col,5,0.98372483253479
col_remove,tf_col,6,0.9860093593597412
col_remove,tf_col,6,0.9670526385307312
col_remove,tf_col,7,0.9761953949928284
col_remove,tf_col,8,0.9621771574020386
col_remove,tf_col,8,0.9164708852767944
col_remove,tf_col,9,0.9630598425865173
col_remove,tf_col,10,0.9398223161697388
col_remove,tf_col,10,0.815445065498352
col_remove,tf_col,11,0.8862301707267761
col_remove,tf_col,12,0.3519994914531708
row_remove,tf_col,0,1.0
row_remove,tf_col,6,0.9994273781776428
row_remove,tf_col,12,0.9989096522331238
row_remove,tf_col,18,0.9985390305519104
row_remove,tf_col,24,0.9972042441368103
row_remove,tf_col,30,0.9968701601028442
row_remove,tf_col,36,0.9934340715408325
row_remove,tf_col,43,0.9957061409950256
row_remove,tf_col,49,0.9927260279655457
row_remove,tf_col,55,0.9923272132873535
row_remove,tf_col,61,0.9860718846321106
row_remove,tf_col,67,0.9676295518875122
row_remove,tf_col,73,0.9725763201713562
row_remove,tf_col,80,0.9567662477493286
row_remove,tf_col,86,0.9539868235588074
row_remove,tf_col,92,0.9390085339546204
row_remove,tf_col,98,0.9130653142929077
row_remove,tf_col,104,0.8542090654373169
row_remove,tf_col,110,0.7848169207572937
row_remove,tf_col,117,0.4460896849632263
value_noise,tf_col,0,1.0
value_noise,tf_col,81,0.9961668848991394
value_noise,tf_col,162,0.99277663230896
value_noise,tf_col,244,0.975215494632721
value_noise,tf_col,325,0.9605767130851746
value_noise,tf_col,407,0.9434700608253479
value_noise,tf_col,488,0.9333794713020325
value_noise,tf_col,569,0.8779473304748535
value_noise,tf_col,651,0.8880006670951843
value_noise,tf_col,732,0.8083330392837524
value_noise,tf_col,814,0.7693880796432495
value_noise,tf_col,895,0.7505950331687927
value_noise,tf_col,977,0.5909790992736816
value_noise,tf_col,1058,0.6366895437240601
value_noise,tf_col,1139,0.6307220458984375
value_noise,tf_col,1221,0.4640253484249115
value_noise,tf_col,1302,0.41975584626197815
value_noise,tf_col,1384,0.384815514087677
value_noise,tf_col,1465,0.3897819221019745
value_noise,tf_col,1547,0.40718862414360046
alt_target,tf_col,0,0.7099591493606567
alt_target,tf_col,1,0.7714330554008484
alt_target,tf_col,2,0.5211778879165649
alt_target,tf_col,3,0.7687627077102661
alt_target,tf_col,4,0.6878900527954102
alt_target,tf_col,5,0.8537380695343018
alt_target,tf_col,6,0.8986721634864807
alt_target,tf_col,7,0.7125723958015442
alt_target,tf_col,8,0.7549697160720825
alt_target,tf_col,9,0.8748711943626404
